model,benchmark,bank_type,variant,roc_auc,roc_auc_ci_lower,roc_auc_ci_upper,pr_auc,pr_auc_ci_lower,pr_auc_ci_upper,status,n_rows,split_strategy,feature_source,reference_root,reason
qwen3-vl-8b,POPE popular,object_conditioned,drift_only,0.8476690783265177,0.8243678688362958,0.8713750371577971,0.12716350897036272,0.09837945310938301,0.16388638641560768,ok,3000.0,image_grouped,outputs/decisive_round_2026_04/features/bankid-qwen3-vl-8b-popular-object-object-heldout/popular.parquet,outputs/round2_2026_04/reference_banks,
qwen3-vl-8b,POPE popular,object_conditioned,no_manifold,0.7751997483485372,0.7348588736051992,0.8162609940332498,0.10786007500114247,0.07887622793672677,0.14769988379704668,ok,3000.0,image_grouped,computed:no_manifold_neighbor_residual,outputs/round2_2026_04/reference_banks,
qwen3-vl-8b,POPE popular,object_conditioned,full_curve,0.8886914123938346,0.8670345876663824,0.9096296442475341,0.18063398290761254,0.14051449386888468,0.2282752984094954,ok,3000.0,image_grouped,outputs/decisive_round_2026_04/features/bankid-qwen3-vl-8b-popular-object-object-heldout/popular.parquet,outputs/round2_2026_04/reference_banks,
qwen3-vl-8b,POPE popular,shared,drift_only,0.8948505819440075,0.8798402635905542,0.9095135375808744,0.16676864449798984,0.1326265643147512,0.2104652503384421,ok,3000.0,image_grouped,outputs/decisive_round_2026_04/features/bankid-qwen3-vl-8b-popular-shared-object-heldout/popular.parquet,outputs/decisive_round_2026_04/reference_banks_shared,
qwen3-vl-8b,POPE popular,shared,no_manifold,0.7402673796791445,0.6998854361937834,0.7802210902583279,0.09456963337447162,0.067837007887077,0.13271022596502074,ok,3000.0,image_grouped,computed:no_manifold_neighbor_residual,outputs/decisive_round_2026_04/reference_banks_shared,
qwen3-vl-8b,POPE popular,shared,full_curve,0.8995973576596414,0.8859603451770264,0.9135672898175398,0.1696461743072539,0.13714978786109047,0.22028397478575512,ok,3000.0,image_grouped,outputs/decisive_round_2026_04/features/bankid-qwen3-vl-8b-popular-shared-object-heldout/popular.parquet,outputs/decisive_round_2026_04/reference_banks_shared,
qwen3-vl-8b,POPE popular,shuffled_object,drift_only,0.8783139351997484,0.8473295448819707,0.9074552657599785,0.2925790112692116,0.20968150860170404,0.38216503275074515,ok,3000.0,image_grouped,outputs/decisive_round_2026_04/features/bankid-qwen3-vl-8b-popular-shuffled_object-object-heldout/popular.parquet,outputs/decisive_round_2026_04/reference_banks_shuffled,
qwen3-vl-8b,POPE popular,shuffled_object,no_manifold,0.8118370556778861,0.7754848193777966,0.8464862072431871,0.13015497471399046,0.09276882906088642,0.18027716976395872,ok,3000.0,image_grouped,computed:no_manifold_neighbor_residual,outputs/decisive_round_2026_04/reference_banks_shuffled,
qwen3-vl-8b,POPE popular,shuffled_object,full_curve,0.9038628499528153,0.8743697125014327,0.9288224094392198,0.3509257381678437,0.2634851174758894,0.4457457578624741,ok,3000.0,image_grouped,outputs/decisive_round_2026_04/features/bankid-qwen3-vl-8b-popular-shuffled_object-object-heldout/popular.parquet,outputs/decisive_round_2026_04/reference_banks_shuffled,
qwen3-vl-8b,DASH-B,object_conditioned,drift_only,0.9174422000271376,0.9026001378965599,0.9313540800986011,0.7354527091082966,0.6973186494151457,0.7711185674163986,ok,2682.0,image_grouped,outputs/decisive_round_2026_04/features/bankid-qwen3-vl-8b-dash-b-object/main.parquet,outputs/round2_2026_04/reference_banks_dash_b,
qwen3-vl-8b,DASH-B,object_conditioned,no_manifold,0.9179702018205739,0.9037842559930753,0.9320499913091727,0.7397270964063073,0.7008975470755294,0.7762334672322471,ok,2682.0,image_grouped,computed:no_manifold_neighbor_residual,outputs/round2_2026_04/reference_banks_dash_b,
qwen3-vl-8b,DASH-B,object_conditioned,full_curve,0.9169672933861137,0.9019031531073561,0.9308839614570911,0.7330705864138898,0.693035745906914,0.7709593004043533,ok,2682.0,image_grouped,outputs/decisive_round_2026_04/features/bankid-qwen3-vl-8b-dash-b-object/main.parquet,outputs/round2_2026_04/reference_banks_dash_b,
qwen3-vl-8b,DASH-B,shared,drift_only,0.8987025609561847,0.8826475916332908,0.9127691663771631,0.7169899087138586,0.6783892809348643,0.756233261874549,ok,2682.0,image_grouped,outputs/decisive_round_2026_04/features/bankid-qwen3-vl-8b-dash-b-shared/main.parquet,outputs/decisive_round_2026_04/reference_banks_dash_b_shared,
qwen3-vl-8b,DASH-B,shared,no_manifold,0.9448422484027209,0.9346410025931023,0.954507907909459,0.8634642502344175,0.8419073936166335,0.8823693699027354,ok,2682.0,image_grouped,computed:no_manifold_neighbor_residual,outputs/decisive_round_2026_04/reference_banks_dash_b_shared,
qwen3-vl-8b,DASH-B,shared,full_curve,0.8989518131994549,0.8821107640317666,0.91387049755248,0.7200354482885127,0.6848028501536728,0.7584306743111819,ok,2682.0,image_grouped,outputs/decisive_round_2026_04/features/bankid-qwen3-vl-8b-dash-b-shared/main.parquet,outputs/decisive_round_2026_04/reference_banks_dash_b_shared,
qwen3-vl-8b,DASH-B,shuffled_object,drift_only,0.9089086291421592,0.8958236469253976,0.921175091974756,0.7388030763224774,0.6983572278101011,0.778137108180741,ok,2682.0,image_grouped,outputs/decisive_round_2026_04/features/bankid-qwen3-vl-8b-dash-b-shuffled_object/main.parquet,outputs/decisive_round_2026_04/reference_banks_dash_b_shuffled,
qwen3-vl-8b,DASH-B,shuffled_object,no_manifold,0.8021364899384686,0.7829224714546807,0.8227263760645264,0.5777935865432724,0.5320355787755573,0.6235847905226425,ok,2682.0,image_grouped,computed:no_manifold_neighbor_residual,outputs/decisive_round_2026_04/reference_banks_dash_b_shuffled,
qwen3-vl-8b,DASH-B,shuffled_object,full_curve,0.9086461031107859,0.8956058989679299,0.9215680336121359,0.7331368215388749,0.6917891250492232,0.7744793613351566,ok,2682.0,image_grouped,outputs/decisive_round_2026_04/features/bankid-qwen3-vl-8b-dash-b-shuffled_object/main.parquet,outputs/decisive_round_2026_04/reference_banks_dash_b_shuffled,
internvl3.5-8b,POPE popular,object_conditioned,drift_only,0.8801532889941691,0.8621831461208864,0.8981931200579923,0.4270284859110366,0.36801755965336297,0.4887887052061788,ok,3000.0,image_grouped,outputs/round2_2026_04/features/round2-internvl3.5-8b-popular/popular.parquet,outputs/round2_2026_04/reference_banks,
internvl3.5-8b,POPE popular,object_conditioned,no_manifold,0.8308725311618272,0.8078608785698208,0.8546530519239366,0.33695090245737813,0.28272188753838645,0.396056447043826,ok,3000.0,image_grouped,computed:no_manifold_neighbor_residual,outputs/round2_2026_04/reference_banks,
internvl3.5-8b,POPE popular,object_conditioned,full_curve,0.897751343841108,0.8810067176364405,0.9139832984677446,0.509211160569455,0.45282616922457636,0.5669385194589959,ok,3000.0,image_grouped,outputs/round2_2026_04/features/round2-internvl3.5-8b-popular/popular.parquet,outputs/round2_2026_04/reference_banks,
internvl3.5-8b,POPE popular,shared,drift_only,0.8650394656952033,0.8471812133780209,0.8824211813010673,0.34972094455001607,0.2982765776648862,0.4023820975754468,ok,3000.0,image_grouped,outputs/geometry_value_2026_04/bank_identity/features/bankid-internvl3.5-8b-popular-shared-object-heldout/popular.parquet,outputs/geometry_value_2026_04/bank_identity/reference_banks/popular/shared,
internvl3.5-8b,POPE popular,shared,no_manifold,0.6772741883638702,0.6409719625727263,0.7131388881747236,0.16074355286992623,0.1323330690682166,0.19716578634410317,ok,3000.0,image_grouped,computed:no_manifold_neighbor_residual,outputs/geometry_value_2026_04/bank_identity/reference_banks/popular/shared,
internvl3.5-8b,POPE popular,shared,full_curve,0.8717154184078002,0.8546048856513123,0.8881936988345281,0.35733820415872325,0.3037886391142864,0.4118602784958093,ok,3000.0,image_grouped,outputs/geometry_value_2026_04/bank_identity/features/bankid-internvl3.5-8b-popular-shared-object-heldout/popular.parquet,outputs/geometry_value_2026_04/bank_identity/reference_banks/popular/shared,
internvl3.5-8b,POPE popular,shuffled_object,drift_only,0.8703510839672846,0.8500325629258307,0.890753373486283,0.4517281372508279,0.38803987465541084,0.5086772296139348,ok,3000.0,image_grouped,outputs/geometry_value_2026_04/bank_identity/features/bankid-internvl3.5-8b-popular-shuffled_object-object-heldout/popular.parquet,outputs/geometry_value_2026_04/bank_identity/reference_banks/popular/shuffled_object,
internvl3.5-8b,POPE popular,shuffled_object,no_manifold,0.8434801242901532,0.8199344,0.8646126352703882,0.381812881414405,0.32481433249498465,0.4486540051320139,ok,3000.0,image_grouped,computed:no_manifold_neighbor_residual,outputs/geometry_value_2026_04/bank_identity/reference_banks/popular/shuffled_object,
internvl3.5-8b,POPE popular,shuffled_object,full_curve,0.8757198471373977,0.856298403346837,0.8950957198567541,0.44964747654686077,0.38628750762958297,0.5085983150444635,ok,3000.0,image_grouped,outputs/geometry_value_2026_04/bank_identity/features/bankid-internvl3.5-8b-popular-shuffled_object-object-heldout/popular.parquet,outputs/geometry_value_2026_04/bank_identity/reference_banks/popular/shuffled_object,
internvl3.5-8b,DASH-B,object_conditioned,drift_only,0.8593222846897081,0.8425771097697751,0.8746853239268378,0.7054100187955769,0.6635902825046293,0.740854826753369,ok,2682.0,image_grouped,outputs/round2_2026_04/features/round2-internvl3.5-8b-dash-b/main.parquet,outputs/round2_2026_04/reference_banks_dash_b,
internvl3.5-8b,DASH-B,object_conditioned,no_manifold,,,,,,,missing_cache,,,,,missing eval cache
internvl3.5-8b,DASH-B,object_conditioned,full_curve,0.8574000536965954,0.8403618040411194,0.8727836624421008,0.7083988071448049,0.6668797556096268,0.7436535829890573,ok,2682.0,image_grouped,outputs/round2_2026_04/features/round2-internvl3.5-8b-dash-b/main.parquet,outputs/round2_2026_04/reference_banks_dash_b,
internvl3.5-8b,DASH-B,shared,drift_only,,,,,,,missing_cache,,,,,missing eval cache
internvl3.5-8b,DASH-B,shared,no_manifold,,,,,,,missing_cache,,,,,missing eval cache
internvl3.5-8b,DASH-B,shared,full_curve,,,,,,,missing_cache,,,,,missing eval cache
internvl3.5-8b,DASH-B,shuffled_object,drift_only,,,,,,,missing_cache,,,,,missing eval cache
internvl3.5-8b,DASH-B,shuffled_object,no_manifold,,,,,,,missing_cache,,,,,missing eval cache
internvl3.5-8b,DASH-B,shuffled_object,full_curve,,,,,,,missing_cache,,,,,missing eval cache
llava-onevision-7b,POPE popular,object_conditioned,drift_only,0.8030214722150386,0.7707850480599677,0.836396303413947,0.09411668593758324,0.06826592166280142,0.13319583399149948,ok,3000.0,image_grouped,outputs/round2_2026_04/features/round2-llava-onevision-7b-popular/popular.parquet,outputs/round2_2026_04/reference_banks,
llava-onevision-7b,POPE popular,object_conditioned,no_manifold,0.7659246793449102,0.7177249860904935,0.813129224753983,0.08099518264118793,0.058954244828628405,0.11361967075922882,ok,3000.0,image_grouped,computed:no_manifold_neighbor_residual,outputs/round2_2026_04/reference_banks,
llava-onevision-7b,POPE popular,object_conditioned,full_curve,0.8085487438194527,0.7808960918665436,0.8404986536331182,0.0874037731645798,0.06422413394329503,0.12251469872368215,ok,3000.0,image_grouped,outputs/round2_2026_04/features/round2-llava-onevision-7b-popular/popular.parquet,outputs/round2_2026_04/reference_banks,
llava-onevision-7b,POPE popular,shared,drift_only,0.8492544745039158,0.8229336054684266,0.8748562332980352,0.10119706910292538,0.07685699922659167,0.13513698759865303,ok,3000.0,image_grouped,outputs/geometry_value_2026_04/bank_identity/features/bankid-llava-onevision-7b-popular-shared-object-heldout/popular.parquet,outputs/geometry_value_2026_04/bank_identity/reference_banks/popular/shared,
llava-onevision-7b,POPE popular,shared,no_manifold,0.6909629881233137,0.6448399354278141,0.7368407506046736,0.061727445315262766,0.04080046877136959,0.0977512285012198,ok,3000.0,image_grouped,computed:no_manifold_neighbor_residual,outputs/geometry_value_2026_04/bank_identity/reference_banks/popular/shared,
llava-onevision-7b,POPE popular,shared,full_curve,0.8504047028126556,0.8236758656863249,0.8771138263877678,0.10415524756508612,0.07813126425027728,0.14071274921942384,ok,3000.0,image_grouped,outputs/geometry_value_2026_04/bank_identity/features/bankid-llava-onevision-7b-popular-shared-object-heldout/popular.parquet,outputs/geometry_value_2026_04/bank_identity/reference_banks/popular/shared,
llava-onevision-7b,POPE popular,shuffled_object,drift_only,0.8578194295948339,0.8275446285180894,0.8869341476893075,0.19855558475628057,0.1271506298911759,0.28440408199782247,ok,3000.0,image_grouped,outputs/geometry_value_2026_04/bank_identity/features/bankid-llava-onevision-7b-popular-shuffled_object-object-heldout/popular.parquet,outputs/geometry_value_2026_04/bank_identity/reference_banks/popular/shuffled_object,
llava-onevision-7b,POPE popular,shuffled_object,no_manifold,0.7249487608026894,0.6715627805805111,0.7745696021421412,0.09824897078685577,0.06257356017183498,0.1553775328854296,ok,3000.0,image_grouped,computed:no_manifold_neighbor_residual,outputs/geometry_value_2026_04/bank_identity/reference_banks/popular/shuffled_object,
llava-onevision-7b,POPE popular,shuffled_object,full_curve,0.8635744309650725,0.8342147437864594,0.8900324103904161,0.20126149130259374,0.1322032837335428,0.2900431383706383,ok,3000.0,image_grouped,outputs/geometry_value_2026_04/bank_identity/features/bankid-llava-onevision-7b-popular-shuffled_object-object-heldout/popular.parquet,outputs/geometry_value_2026_04/bank_identity/reference_banks/popular/shuffled_object,
llava-onevision-7b,DASH-B,object_conditioned,drift_only,0.8664053862979639,0.8488334695989463,0.8830257032258064,0.7431348203566623,0.7105072689503824,0.7735883239138313,ok,2682.0,image_grouped,outputs/round2_2026_04/features/round2-llava-onevision-7b-dash-b/main.parquet,outputs/round2_2026_04/reference_banks_dash_b,
llava-onevision-7b,DASH-B,object_conditioned,no_manifold,,,,,,,missing_cache,,,,,missing eval cache
llava-onevision-7b,DASH-B,object_conditioned,full_curve,0.8404477668594639,0.820840984763253,0.8599185906854216,0.7233878251692594,0.6893386706020199,0.7552551858121278,ok,2682.0,image_grouped,outputs/round2_2026_04/features/round2-llava-onevision-7b-dash-b/main.parquet,outputs/round2_2026_04/reference_banks_dash_b,
llava-onevision-7b,DASH-B,shared,drift_only,,,,,,,missing_cache,,,,,missing eval cache
llava-onevision-7b,DASH-B,shared,no_manifold,,,,,,,missing_cache,,,,,missing eval cache
llava-onevision-7b,DASH-B,shared,full_curve,,,,,,,missing_cache,,,,,missing eval cache
llava-onevision-7b,DASH-B,shuffled_object,drift_only,,,,,,,missing_cache,,,,,missing eval cache
llava-onevision-7b,DASH-B,shuffled_object,no_manifold,,,,,,,missing_cache,,,,,missing eval cache
llava-onevision-7b,DASH-B,shuffled_object,full_curve,,,,,,,missing_cache,,,,,missing eval cache
molmo-7b-d-0924,POPE popular,object_conditioned,drift_only,0.852758598772596,0.8239406965784645,0.8780120607662235,0.23379274359613672,0.18525934848841313,0.2868231002746983,ok,3000.0,image_grouped,outputs/decisive_round_2026_04/features/bankid-molmo-7b-d-0924-popular-object-object-heldout/popular.parquet,outputs/round2_2026_04/reference_banks,
molmo-7b-d-0924,POPE popular,object_conditioned,no_manifold,0.8063766628452516,0.7682752604496851,0.8403953062072091,0.18662981179897042,0.14617321321147267,0.24186733406764563,ok,3000.0,image_grouped,computed:no_manifold_neighbor_residual,outputs/round2_2026_04/reference_banks,
molmo-7b-d-0924,POPE popular,object_conditioned,full_curve,0.8914686710656098,0.8688441842136652,0.913805027097557,0.35772144015306456,0.28142120311087654,0.4427150573818261,ok,3000.0,image_grouped,outputs/decisive_round_2026_04/features/bankid-molmo-7b-d-0924-popular-object-object-heldout/popular.parquet,outputs/round2_2026_04/reference_banks,
molmo-7b-d-0924,POPE popular,shared,drift_only,0.8665698365579957,0.8376105906715142,0.8926401701898581,0.26882234668287036,0.21155874490195734,0.340596529871847,ok,3000.0,image_grouped,outputs/decisive_round_2026_04/features/bankid-molmo-7b-d-0924-popular-shared-object-heldout/popular.parquet,outputs/decisive_round_2026_04/reference_banks_shared,
molmo-7b-d-0924,POPE popular,shared,no_manifold,0.6716988505151849,0.6329991344731173,0.7100998955257665,0.09068783367489486,0.07073580423988401,0.12017886162711972,ok,3000.0,image_grouped,computed:no_manifold_neighbor_residual,outputs/decisive_round_2026_04/reference_banks_shared,
molmo-7b-d-0924,POPE popular,shared,full_curve,0.8683000666197425,0.8391795085502946,0.8946961376107296,0.2872596553243765,0.22464448021076527,0.36831357489683936,ok,3000.0,image_grouped,outputs/decisive_round_2026_04/features/bankid-molmo-7b-d-0924-popular-shared-object-heldout/popular.parquet,outputs/decisive_round_2026_04/reference_banks_shared,
