model,benchmark,benchmark_key,bank_type,variant,status,split_strategy,feature_source,metrics_path,predictions_path,n_rows,roc_auc,roc_auc_ci_lower,roc_auc_ci_upper,pr_auc,pr_auc_ci_lower,pr_auc_ci_upper
qwen3-vl-8b,POPE popular,popular,object_conditioned,drift_only,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/qwen3-vl-8b/popular/object_conditioned/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/qwen3-vl-8b/popular/object_conditioned/drift_only.json,outputs/gpu_round_2026_04/bank_identity/predictions/qwen3-vl-8b/popular/object_conditioned/drift_only.parquet,3000,0.8476439118385315,0.8223552703857422,0.870715320110321,0.1333426684141159,0.10375417768955231,0.17481526732444763
qwen3-vl-8b,POPE popular,popular,object_conditioned,no_manifold,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/qwen3-vl-8b/popular/object_conditioned/no_manifold.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/qwen3-vl-8b/popular/object_conditioned/no_manifold.json,outputs/gpu_round_2026_04/bank_identity/predictions/qwen3-vl-8b/popular/object_conditioned/no_manifold.parquet,3000,0.7739163041114807,0.729730486869812,0.8142558932304382,0.11001831293106079,0.07973409444093704,0.14870430529117584
qwen3-vl-8b,POPE popular,popular,object_conditioned,full_curve,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/qwen3-vl-8b/popular/object_conditioned/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/qwen3-vl-8b/popular/object_conditioned/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/qwen3-vl-8b/popular/object_conditioned/full_curve.parquet,3000,0.8881598114967346,0.8649688363075256,0.9077277779579163,0.1931885927915573,0.1507718563079834,0.2496933937072754
qwen3-vl-8b,POPE popular,popular,shared,drift_only,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/qwen3-vl-8b/popular/shared/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/qwen3-vl-8b/popular/shared/drift_only.json,outputs/gpu_round_2026_04/bank_identity/predictions/qwen3-vl-8b/popular/shared/drift_only.parquet,3000,0.8939257860183716,0.8765565752983093,0.9091026782989502,0.17011480033397675,0.1349431574344635,0.21409419178962708
qwen3-vl-8b,POPE popular,popular,shared,no_manifold,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/qwen3-vl-8b/popular/shared/no_manifold.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/qwen3-vl-8b/popular/shared/no_manifold.json,outputs/gpu_round_2026_04/bank_identity/predictions/qwen3-vl-8b/popular/shared/no_manifold.parquet,3000,0.739845871925354,0.6981893181800842,0.7816959023475647,0.09755329042673111,0.06948570907115936,0.13534888625144958
qwen3-vl-8b,POPE popular,popular,shared,full_curve,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/qwen3-vl-8b/popular/shared/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/qwen3-vl-8b/popular/shared/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/qwen3-vl-8b/popular/shared/full_curve.parquet,3000,0.9012991786003113,0.8848850727081299,0.9157569408416748,0.1833290308713913,0.1461544930934906,0.23232914507389069
qwen3-vl-8b,POPE popular,popular,shuffled_object,drift_only,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/qwen3-vl-8b/popular/shuffled_object/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/qwen3-vl-8b/popular/shuffled_object/drift_only.json,outputs/gpu_round_2026_04/bank_identity/predictions/qwen3-vl-8b/popular/shuffled_object/drift_only.parquet,3000,0.8785026669502258,0.8476117253303528,0.9072760939598083,0.29448214173316956,0.22167199850082397,0.39027300477027893
qwen3-vl-8b,POPE popular,popular,shuffled_object,no_manifold,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/qwen3-vl-8b/popular/shuffled_object/no_manifold.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/qwen3-vl-8b/popular/shuffled_object/no_manifold.json,outputs/gpu_round_2026_04/bank_identity/predictions/qwen3-vl-8b/popular/shuffled_object/no_manifold.parquet,3000,0.8108587861061096,0.7768016457557678,0.8452187776565552,0.13311012089252472,0.09631440788507462,0.18592038750648499
qwen3-vl-8b,POPE popular,popular,shuffled_object,full_curve,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/qwen3-vl-8b/popular/shuffled_object/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/qwen3-vl-8b/popular/shuffled_object/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/qwen3-vl-8b/popular/shuffled_object/full_curve.parquet,3000,0.9034444689750671,0.8756569027900696,0.9296644926071167,0.3600841760635376,0.28061389923095703,0.4657309353351593
qwen3-vl-8b,DASH-B,dash-b,object_conditioned,drift_only,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/qwen3-vl-8b/dash-b/object_conditioned/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/qwen3-vl-8b/dash-b/object_conditioned/drift_only.json,outputs/gpu_round_2026_04/bank_identity/predictions/qwen3-vl-8b/dash-b/object_conditioned/drift_only.parquet,2682,0.9173794984817505,0.9021773934364319,0.9312477707862854,0.7358266711235046,0.6972610950469971,0.7707642912864685
