model,benchmark,distance_type,roc_auc,roc_auc_ci_lower,roc_auc_ci_upper,pr_auc,pr_auc_ci_lower,pr_auc_ci_upper,status,source_report,split_strategy,n_rows,reason
qwen3-vl-8b,POPE popular,full_MIND_saved,0.9145157618677868,0.894568576601589,0.9332313532747849,0.25929207910543384,0.19943511181645818,0.3335238964502833,ok,outputs/decisive_round_2026_04/reports/round2-qwen3-vl-8b-popular-final,image_grouped,3000.0,
qwen3-vl-8b,POPE popular,no_manifold,0.8384989350721438,0.7957611210653698,0.87825844697524,0.19827687273244454,0.13851138562825,0.2657468680789365,ok,outputs/decisive_round_2026_04/reports/round2-qwen3-vl-8b-popular-final,image_grouped,3000.0,
qwen3-vl-8b,POPE popular,euclidean_pca_residual,0.8908160496945544,0.8694330384008021,0.9105432644808839,0.17411458706818783,0.13748113779400228,0.2168857129227088,ok,,image_grouped,3000.0,
qwen3-vl-8b,POPE popular,centroid_angular,0.8879584775086504,0.8615011397854933,0.9138571956082687,0.18889504332198995,0.14401877426868895,0.24013379091537812,ok,,image_grouped,3000.0,
qwen3-vl-8b,POPE popular,knn_angular_k10,0.8940044039005978,0.8727421228170945,0.9134907133808579,0.189515553307315,0.14478411058075574,0.2493060300571067,ok,,image_grouped,3000.0,
qwen3-vl-8b,POPE popular,centroid_euclidean,0.898288770053476,0.8735050705218638,0.9215548099477541,0.20384754585142367,0.15400910919992666,0.25802878796367895,ok,,image_grouped,3000.0,
qwen3-vl-8b,DASH-B,full_MIND_saved,0.9290798706211669,0.9154335833701249,0.9421923450933141,0.7697326430229062,0.7318829424311458,0.8063519070258359,ok,outputs/decisive_round_2026_04/reports/round2-qwen3-vl-8b-dash-b,image_grouped,2682.0,
qwen3-vl-8b,DASH-B,no_manifold,0.9290114901285773,0.9161817078442477,0.9415031162426905,0.7784343587751716,0.7432616643145911,0.8117828621136397,ok,outputs/decisive_round_2026_04/reports/round2-qwen3-vl-8b-dash-b,image_grouped,2682.0,
qwen3-vl-8b,DASH-B,euclidean_pca_residual,0.9193433708053532,0.904895971054543,0.933238577546423,0.7373856452783484,0.6964562040544199,0.7755034017360354,ok,,image_grouped,2682.0,
qwen3-vl-8b,DASH-B,centroid_angular,0.9709289291887649,0.964450595460629,0.977372662674019,0.902373659580922,0.8752640947205398,0.9248125803019629,ok,,image_grouped,2682.0,
qwen3-vl-8b,DASH-B,knn_angular_k10,0.9733019875285387,0.9670354296430355,0.9793637291401375,0.9135271305027894,0.8891892242958895,0.9342153785480244,ok,,image_grouped,2682.0,
qwen3-vl-8b,DASH-B,centroid_euclidean,0.9718934911242603,0.9656241377807022,0.9781749754993627,0.9027039116721198,0.8742284293602028,0.9260528124794181,ok,,image_grouped,2682.0,
qwen3-vl-8b,POPE adversarial,full_MIND_saved,0.8693422913719943,0.8471028906056323,0.8897406513640109,0.2533328541566392,0.20080757050793982,0.31092788838453356,ok,outputs/decisive_round_2026_04/reports/round2-qwen3-vl-8b-adversarial,row,3000.0,
qwen3-vl-8b,POPE adversarial,no_manifold,0.798109026018881,0.7670981324965471,0.8286532388876101,0.21341712322612855,0.1681206311765565,0.27041204307193917,ok,outputs/decisive_round_2026_04/reports/round2-qwen3-vl-8b-adversarial,row,3000.0,
