model,benchmark,benchmark_key,method,status,split_strategy,feature_source,metrics_path,predictions_path,n_rows,roc_auc,roc_auc_ci_lower,roc_auc_ci_upper,pr_auc,pr_auc_ci_lower,pr_auc_ci_upper
qwen3-vl-8b,POPE popular,popular,object_cond,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/qwen3-vl-8b/popular/object_conditioned/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/qwen3-vl-8b/popular/object_conditioned/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/qwen3-vl-8b/popular/object_conditioned/full_curve.parquet,3000,0.8881598114967346,0.8649688363075256,0.9077277779579164,0.1931885927915573,0.1507718563079834,0.2496933937072754
qwen3-vl-8b,POPE popular,popular,shared,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/qwen3-vl-8b/popular/shared/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/qwen3-vl-8b/popular/shared/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/qwen3-vl-8b/popular/shared/full_curve.parquet,3000,0.9012991786003112,0.8848850727081299,0.9157569408416748,0.1833290308713913,0.1461544930934906,0.2323291450738906
qwen3-vl-8b,POPE popular,popular,shuffled,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/qwen3-vl-8b/popular/shuffled_object/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/qwen3-vl-8b/popular/shuffled_object/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/qwen3-vl-8b/popular/shuffled_object/full_curve.parquet,3000,0.9034444689750672,0.8756569027900696,0.9296644926071168,0.3600841760635376,0.280613899230957,0.4657309353351593
qwen3-vl-8b,POPE popular,popular,query_local_k30,ok,image_grouped,outputs/gpu_round_2026_04/query_local_bank/features/qwen3-vl-8b/popular/query_local_k30.parquet,outputs/gpu_round_2026_04/query_local_bank/metrics/qwen3-vl-8b/popular/query_local_k30.json,outputs/gpu_round_2026_04/query_local_bank/predictions/qwen3-vl-8b/popular/query_local_k30.parquet,3000,0.9281975626945496,0.9102061986923218,0.9449917674064636,0.3001331686973572,0.23726192116737366,0.3878900110721588
qwen3-vl-8b,POPE popular,popular,no_manifold,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/qwen3-vl-8b/popular/object_conditioned/no_manifold.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/qwen3-vl-8b/popular/object_conditioned/no_manifold.json,outputs/gpu_round_2026_04/bank_identity/predictions/qwen3-vl-8b/popular/object_conditioned/no_manifold.parquet,3000,0.7739163041114807,0.729730486869812,0.8142558932304382,0.1100183129310607,0.079734094440937,0.1487043052911758
qwen3-vl-8b,POPE popular,popular,linear_probe,ok,image_grouped,outputs/gpu_round_2026_04/query_local_bank/features/qwen3-vl-8b/popular/linear_probe.parquet,outputs/gpu_round_2026_04/query_local_bank/metrics/qwen3-vl-8b/popular/linear_probe.json,outputs/gpu_round_2026_04/query_local_bank/predictions/qwen3-vl-8b/popular/linear_probe.parquet,3000,0.9459987282752991,0.9286320209503174,0.9610782265663147,0.4551638662815094,0.36201542615890503,0.5551186800003052
qwen3-vl-8b,DASH-B,dash-b,object_cond,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/qwen3-vl-8b/dash-b/object_conditioned/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/qwen3-vl-8b/dash-b/object_conditioned/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/qwen3-vl-8b/dash-b/object_conditioned/full_curve.parquet,2682,0.9169554710388184,0.9015706777572632,0.9309592247009276,0.7336445450782776,0.695375382900238,0.7698362469673157
qwen3-vl-8b,DASH-B,dash-b,shared,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/qwen3-vl-8b/dash-b/shared/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/qwen3-vl-8b/dash-b/shared/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/qwen3-vl-8b/dash-b/shared/full_curve.parquet,2682,0.8989282250404358,0.8808786273002625,0.9136216640472412,0.7206990718841553,0.6849570870399475,0.7531892657279968
qwen3-vl-8b,DASH-B,dash-b,shuffled,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/qwen3-vl-8b/dash-b/shuffled_object/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/qwen3-vl-8b/dash-b/shuffled_object/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/qwen3-vl-8b/dash-b/shuffled_object/full_curve.parquet,2682,0.9086284041404724,0.89471834897995,0.9197845458984376,0.7344229221343994,0.688469648361206,0.7712796926498413
qwen3-vl-8b,DASH-B,dash-b,query_local_k30,ok,image_grouped,outputs/gpu_round_2026_04/query_local_bank/features/qwen3-vl-8b/dash-b/query_local_k30.parquet,outputs/gpu_round_2026_04/query_local_bank/metrics/qwen3-vl-8b/dash-b/query_local_k30.json,outputs/gpu_round_2026_04/query_local_bank/predictions/qwen3-vl-8b/dash-b/query_local_k30.parquet,2682,0.9939324259757996,0.9915651082992554,0.9960320591926575,0.9836505055427551,0.977746844291687,0.9886744022369385
qwen3-vl-8b,DASH-B,dash-b,no_manifold,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/qwen3-vl-8b/dash-b/object_conditioned/no_manifold.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/qwen3-vl-8b/dash-b/object_conditioned/no_manifold.json,outputs/gpu_round_2026_04/bank_identity/predictions/qwen3-vl-8b/dash-b/object_conditioned/no_manifold.parquet,2682,0.9176678657531738,0.9013059735298156,0.9307673573493958,0.7391559481620789,0.70258629322052,0.7753475904464722
qwen3-vl-8b,DASH-B,dash-b,linear_probe,ok,image_grouped,outputs/gpu_round_2026_04/query_local_bank/features/qwen3-vl-8b/dash-b/linear_probe.parquet,outputs/gpu_round_2026_04/query_local_bank/metrics/qwen3-vl-8b/dash-b/linear_probe.json,outputs/gpu_round_2026_04/query_local_bank/predictions/qwen3-vl-8b/dash-b/linear_probe.parquet,2682,0.9957014918327332,0.9941356182098389,0.9968905448913574,0.9879677891731262,0.9834981560707092,0.9912537336349487
internvl3.5-8b,POPE popular,popular,object_cond,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/internvl3.5-8b/popular/object_conditioned/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/internvl3.5-8b/popular/object_conditioned/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/internvl3.5-8b/popular/object_conditioned/full_curve.parquet,3000,0.8966191411018372,0.8787159323692322,0.9131590127944946,0.507196307182312,0.4436483681201935,0.5632781386375427
internvl3.5-8b,POPE popular,popular,shared,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/internvl3.5-8b/popular/shared/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/internvl3.5-8b/popular/shared/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/internvl3.5-8b/popular/shared/full_curve.parquet,3000,0.8707196712493896,0.8546988368034363,0.8869520425796509,0.3551049828529358,0.3056537806987762,0.4057139158248901
internvl3.5-8b,POPE popular,popular,shuffled,ok,image_grouped,outputs/gpu_round_2026_04/bank_identity/features/internvl3.5-8b/popular/shuffled_object/local_pca.parquet,outputs/gpu_round_2026_04/bank_identity/metrics/internvl3.5-8b/popular/shuffled_object/full_curve.json,outputs/gpu_round_2026_04/bank_identity/predictions/internvl3.5-8b/popular/shuffled_object/full_curve.parquet,3000,0.8759641647338867,0.8567528128623962,0.894320011138916,0.4543534815311432,0.3904207348823547,0.5128692984580994
internvl3.5-8b,POPE popular,popular,query_local_k30,ok,image_grouped,outputs/gpu_round_2026_04/query_local_bank/features/internvl3.5-8b/popular/query_local_k30.parquet,outputs/gpu_round_2026_04/query_local_bank/metrics/internvl3.5-8b/popular/query_local_k30.json,outputs/gpu_round_2026_04/query_local_bank/predictions/internvl3.5-8b/popular/query_local_k30.parquet,3000,0.9099525213241577,0.895714282989502,0.92342609167099,0.46556368470191956,0.4061835706233978,0.5245200395584106
