model,benchmark,protocol,bank_scope,variant,report_path,random_state,accuracy,precision,recall,f1,roc_auc,pr_auc,tpr_at_fpr_0.01,false_positive_rate
InternVL3.5-8B,POPE adversarial,image_grouped,object,full,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,13,0.891,0.6290322580645161,0.1137026239067055,0.1925925925925926,0.8582686582886286,0.4339539611452505,0.1224489795918367,0.0086563793752352
InternVL3.5-8B,POPE adversarial,image_grouped,object,full,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,17,0.8873333333333333,0.5396825396825397,0.0991253644314868,0.167487684729064,0.8589116597227633,0.4288956575212136,0.0962099125364431,0.0109145652992096
InternVL3.5-8B,POPE adversarial,image_grouped,object,full,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,19,0.8883333333333333,0.5625,0.1049562682215743,0.1769041769041769,0.8563122221844273,0.426181761534634,0.1049562682215743,0.0105382009785472
InternVL3.5-8B,POPE adversarial,image_grouped,object,full,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,23,0.8886666666666667,0.576271186440678,0.0991253644314868,0.1691542288557214,0.8564581593699904,0.4330788763190183,0.1020408163265306,0.00940910801656
InternVL3.5-8B,POPE adversarial,image_grouped,object,full,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,29,0.8886666666666667,0.576271186440678,0.0991253644314868,0.1691542288557214,0.8582785337372757,0.4305326920638823,0.1020408163265306,0.00940910801656
InternVL3.5-8B,POPE adversarial,image_grouped,object,drift_only,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,13,0.888,0.6129032258064516,0.0553935860058309,0.1016042780748663,0.849616668001681,0.403724170840432,0.1049562682215743,0.0045163718479488
InternVL3.5-8B,POPE adversarial,image_grouped,object,drift_only,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,17,0.888,0.6206896551724138,0.0524781341107871,0.0967741935483871,0.849728589753015,0.3966836643138516,0.0932944606413994,0.0041400075272864
InternVL3.5-8B,POPE adversarial,image_grouped,object,drift_only,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,19,0.8856666666666667,0.5,0.0553935860058309,0.0997375328083989,0.8483668751117847,0.3867655988783208,0.0787172011661807,0.0071509220925856
InternVL3.5-8B,POPE adversarial,image_grouped,object,drift_only,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,23,0.8873333333333333,0.5862068965517241,0.0495626822157434,0.0913978494623656,0.8508785308843685,0.4067395646077673,0.0816326530612244,0.0045163718479488
InternVL3.5-8B,POPE adversarial,image_grouped,object,drift_only,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,29,0.8873333333333333,0.5806451612903226,0.0524781341107871,0.0962566844919786,0.8494059917638759,0.3989052922963178,0.1049562682215743,0.0048927361686112
InternVL3.5-8B,POPE adversarial,image_grouped,object,no_manifold,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,13,0.8843333333333333,0.4714285714285714,0.0962099125364431,0.1598062953995157,0.8012544014325984,0.3423313049328777,0.075801749271137,0.0139254798645088
InternVL3.5-8B,POPE adversarial,image_grouped,object,no_manifold,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,17,0.885,0.4857142857142857,0.0991253644314868,0.1646489104116222,0.8009252198110278,0.3377014655236852,0.0816326530612244,0.0135491155438464
InternVL3.5-8B,POPE adversarial,image_grouped,object,no_manifold,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,19,0.8843333333333333,0.4705882352941176,0.0932944606413994,0.1557177615571776,0.8029562704161184,0.340673568951286,0.0874635568513119,0.0135491155438464
InternVL3.5-8B,POPE adversarial,image_grouped,object,no_manifold,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,23,0.8846666666666667,0.4794520547945205,0.1020408163265306,0.1682692307692307,0.8028037495981241,0.3471712736538445,0.0903790087463556,0.0143018441851712
InternVL3.5-8B,POPE adversarial,image_grouped,object,no_manifold,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,29,0.887,0.5303030303030303,0.1020408163265306,0.1711491442542787,0.801325724117272,0.3430520762073505,0.0903790087463556,0.0116672939405344
InternVL3.5-8B,POPE adversarial,image_grouped,object,linear_probe,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,13,0.8746666666666667,0.4646680942184154,0.6326530612244898,0.5358024691358024,0.8554706145052784,0.480553474526816,0.1224489795918367,0.0940910801656003
InternVL3.5-8B,POPE adversarial,image_grouped,object,linear_probe,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,17,0.8746666666666667,0.4645161290322581,0.6297376093294461,0.5346534653465347,0.8568048973447112,0.501685073531323,0.1486880466472303,0.0937147158449379
InternVL3.5-8B,POPE adversarial,image_grouped,object,linear_probe,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,19,0.8723333333333333,0.4567099567099567,0.6151603498542274,0.5242236024844721,0.8605213578522435,0.5029840837231563,0.1661807580174927,0.0944674444862627
InternVL3.5-8B,POPE adversarial,image_grouped,object,linear_probe,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,23,0.8736666666666667,0.4589041095890411,0.5860058309037901,0.5147247119078106,0.8570627562816083,0.5010147833355406,0.1632653061224489,0.089198343996989
InternVL3.5-8B,POPE adversarial,image_grouped,object,linear_probe,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,29,0.868,0.4427645788336933,0.597667638483965,0.5086848635235732,0.8540353826352305,0.4693556259188618,0.1049562682215743,0.0971019947308995
InternVL3.5-8B,POPE adversarial,image_grouped,object,output_p_yes,/home/team/zhanghaonan/mind/outputs/decisive_round_2026_04/reports/round2-internvl3.5-8b-adversarial,13,0.8856666666666667,0.0,0.0,0.0,0.554777467737458,0.1146241913166776,0.0,0.0
