model_name,dataset_family,subset,num_entries,num_correct,num_hard_hallucination,num_false_negative_error,num_parsed_none,num_primary_population,hallucination_rate_in_primary_population
llava-onevision-qwen2-7b-ov-hf,repope,pooled,8185,7712,260,213,0,7972,0.03261414952333166
llava-onevision-qwen2-7b-ov-hf,repope,adversarial,2684,2483,125,76,0,2608,0.04792944785276074
llava-onevision-qwen2-7b-ov-hf,repope,popular,2727,2565,83,79,0,2648,0.03134441087613293
llava-onevision-qwen2-7b-ov-hf,repope,random,2774,2664,52,58,0,2716,0.01914580265095729
llava-onevision-qwen2-7b-ov-hf,pope,pooled,9000,8095,266,639,0,8361,0.03181437627078101
llava-onevision-qwen2-7b-ov-hf,pope,adversarial,3000,2638,149,213,0,2787,0.05346250448510944
llava-onevision-qwen2-7b-ov-hf,pope,popular,3000,2696,91,213,0,2787,0.03265159669895946
llava-onevision-qwen2-7b-ov-hf,pope,random,3000,2761,26,213,0,2787,0.009329027628274129
llava-onevision-qwen2-7b-ov-hf,dash-b,pooled,2682,1644,1002,36,0,2646,0.3786848072562358
llava-onevision-qwen2-7b-ov-hf,dash-b,all,2682,1644,1002,36,0,2646,0.3786848072562358
glm-4.6v-flash,repope,pooled,8185,0,0,0,8185,0,
glm-4.6v-flash,repope,adversarial,2684,0,0,0,2684,0,
glm-4.6v-flash,repope,popular,2727,0,0,0,2727,0,
glm-4.6v-flash,repope,random,2774,0,0,0,2774,0,
glm-4.6v-flash,pope,pooled,9000,0,0,0,9000,0,
glm-4.6v-flash,pope,adversarial,3000,0,0,0,3000,0,
glm-4.6v-flash,pope,popular,3000,0,0,0,3000,0,
glm-4.6v-flash,pope,random,3000,0,0,0,3000,0,
glm-4.6v-flash,dash-b,pooled,2682,0,0,0,2682,0,
glm-4.6v-flash,dash-b,all,2682,0,0,0,2682,0,
qwen3-vl-8b,repope,pooled,8185,7708,278,199,0,7986,0.03481091910843977
qwen3-vl-8b,repope,adversarial,2684,2478,137,69,0,2615,0.052390057361376675
qwen3-vl-8b,repope,popular,2727,2562,92,73,0,2654,0.0346646571213263
qwen3-vl-8b,repope,random,2774,2668,49,57,0,2717,0.0180345969819654
qwen3-vl-8b,pope,pooled,9000,8028,309,663,0,8337,0.03706369197553076
qwen3-vl-8b,pope,adversarial,3000,2607,172,221,0,2779,0.061892767182439724
qwen3-vl-8b,pope,popular,3000,2669,110,221,0,2779,0.039582583663188196
qwen3-vl-8b,pope,random,3000,2752,27,221,0,2779,0.009715725080964376
qwen3-vl-8b,dash-b,pooled,2682,1962,680,40,0,2642,0.2573807721423164
qwen3-vl-8b,dash-b,all,2682,1962,680,40,0,2642,0.2573807721423164
internvl3.5-8b,repope,pooled,8185,7417,671,97,0,8088,0.08296241345202769
internvl3.5-8b,repope,adversarial,2684,2343,307,34,0,2650,0.11584905660377358
internvl3.5-8b,repope,popular,2727,2446,246,35,0,2692,0.0913818722139673
internvl3.5-8b,repope,random,2774,2628,118,28,0,2746,0.04297159504734159
internvl3.5-8b,pope,pooled,9000,7962,663,375,0,8625,0.0768695652173913
internvl3.5-8b,pope,adversarial,3000,2532,343,125,0,2875,0.11930434782608695
internvl3.5-8b,pope,popular,3000,2619,256,125,0,2875,0.08904347826086957
internvl3.5-8b,pope,random,3000,2811,64,125,0,2875,0.022260869565217393
internvl3.5-8b,dash-b,pooled,2682,1823,787,72,0,2610,0.3015325670498084
internvl3.5-8b,dash-b,all,2682,1823,787,72,0,2610,0.3015325670498084
minicpm-v-2_6,repope,pooled,8185,7606,132,447,0,7738,0.01705867149134143
minicpm-v-2_6,repope,adversarial,2684,2465,65,154,0,2530,0.025691699604743084
minicpm-v-2_6,repope,popular,2727,2526,40,161,0,2566,0.01558846453624318
minicpm-v-2_6,repope,random,2774,2615,27,132,0,2642,0.010219530658591975
minicpm-v-2_6,pope,pooled,9000,7876,116,1008,0,7992,0.014514514514514515
minicpm-v-2_6,pope,adversarial,3000,2594,70,336,0,2664,0.026276276276276277
minicpm-v-2_6,pope,popular,3000,2629,35,336,0,2664,0.013138138138138139
minicpm-v-2_6,pope,random,3000,2653,11,336,0,2664,0.004129129129129129
minicpm-v-2_6,dash-b,pooled,2682,2003,557,122,0,2560,0.217578125
minicpm-v-2_6,dash-b,all,2682,2003,557,122,0,2560,0.217578125
gemma-3-12b-it,repope,pooled,8185,7166,826,193,0,7992,0.10335335335335336
gemma-3-12b-it,repope,adversarial,2684,2311,305,68,0,2616,0.11659021406727829
gemma-3-12b-it,repope,popular,2727,2394,267,66,0,2661,0.10033821871476889
gemma-3-12b-it,repope,random,2774,2461,254,59,0,2715,0.09355432780847145
gemma-3-12b-it,pope,pooled,9000,7512,873,615,0,8385,0.10411449016100179
gemma-3-12b-it,pope,adversarial,3000,2445,350,205,0,2795,0.1252236135957066
gemma-3-12b-it,pope,popular,3000,2498,297,205,0,2795,0.10626118067978534
gemma-3-12b-it,pope,random,3000,2569,226,205,0,2795,0.08085867620751341
gemma-3-12b-it,dash-b,pooled,2682,1643,994,45,0,2637,0.3769434963974213
gemma-3-12b-it,dash-b,all,2682,1643,994,45,0,2637,0.3769434963974213
gemma-4-12b-it,repope,pooled,8185,5818,113,196,2058,5931,0.019052436351374137
gemma-4-12b-it,repope,adversarial,2684,1950,52,68,614,2002,0.025974025974025976
gemma-4-12b-it,repope,popular,2727,1939,40,68,680,1979,0.0202122283981809
gemma-4-12b-it,repope,random,2774,1929,21,60,764,1950,0.010769230769230769
gemma-4-12b-it,pope,pooled,9000,5980,151,570,2299,6131,0.024628934920893818
gemma-4-12b-it,pope,adversarial,3000,2020,75,190,715,2095,0.03579952267303103
gemma-4-12b-it,pope,popular,3000,1992,59,190,759,2051,0.028766455387615797
gemma-4-12b-it,pope,random,3000,1968,17,190,825,1985,0.008564231738035265
gemma-4-12b-it,dash-b,pooled,2682,2077,533,72,0,2610,0.2042145593869732
gemma-4-12b-it,dash-b,all,2682,2077,533,72,0,2610,0.2042145593869732
qwen3.5-4b,repope,pooled,8185,7763,153,269,0,7916,0.019327943405760484
qwen3.5-4b,repope,adversarial,2684,2519,70,95,0,2589,0.027037466203167246
qwen3.5-4b,repope,popular,2727,2575,54,98,0,2629,0.020540129326740205
qwen3.5-4b,repope,random,2774,2669,29,76,0,2698,0.010748702742772424
qwen3.5-4b,pope,pooled,9000,8043,180,777,0,8223,0.021889821233126595
qwen3.5-4b,pope,adversarial,3000,2644,97,259,0,2741,0.035388544326888
qwen3.5-4b,pope,popular,3000,2671,70,259,0,2741,0.02553812477198103
qwen3.5-4b,pope,random,3000,2728,13,259,0,2741,0.0047427946005107625
qwen3.5-4b,dash-b,pooled,2682,1913,733,36,0,2646,0.2770219198790627
qwen3.5-4b,dash-b,all,2682,1913,733,36,0,2646,0.2770219198790627
qwen3.5-9b,repope,pooled,8185,7805,204,176,0,8009,0.025471344737170682
qwen3.5-9b,repope,adversarial,2684,2518,103,63,0,2621,0.039297977871041584
qwen3.5-9b,repope,popular,2727,2599,64,64,0,2663,0.02403304543747653
qwen3.5-9b,repope,random,2774,2688,37,49,0,2725,0.013577981651376147
qwen3.5-9b,pope,pooled,9000,8122,239,639,0,8361,0.028585097476378423
qwen3.5-9b,pope,adversarial,3000,2648,139,213,0,2787,0.049874416935773234
qwen3.5-9b,pope,popular,3000,2704,83,213,0,2787,0.02978112665949049
qwen3.5-9b,pope,random,3000,2770,17,213,0,2787,0.006099748833871547
qwen3.5-9b,dash-b,pooled,2682,1801,864,17,0,2665,0.32420262664165106
qwen3.5-9b,dash-b,all,2682,1801,864,17,0,2665,0.32420262664165106
phi-4-multimodal-instruct,repope,pooled,8185,7497,327,361,0,7824,0.041794478527607364
phi-4-multimodal-instruct,repope,adversarial,2684,2421,138,125,0,2559,0.053927315357561546
phi-4-multimodal-instruct,repope,popular,2727,2486,112,129,0,2598,0.04311008468052348
phi-4-multimodal-instruct,repope,random,2774,2590,77,107,0,2667,0.028871391076115485
phi-4-multimodal-instruct,pope,pooled,9000,7844,286,870,0,8130,0.03517835178351784
phi-4-multimodal-instruct,pope,adversarial,3000,2570,140,290,0,2710,0.05166051660516605
phi-4-multimodal-instruct,pope,popular,3000,2610,100,290,0,2710,0.03690036900369004
phi-4-multimodal-instruct,pope,random,3000,2664,46,290,0,2710,0.016974169741697416
phi-4-multimodal-instruct,dash-b,pooled,2682,1556,1077,49,0,2633,0.4090391188758071
phi-4-multimodal-instruct,dash-b,all,2682,1556,1077,49,0,2633,0.4090391188758071
phi-3.5-vision-instruct,repope,pooled,8185,7339,242,604,0,7581,0.03192191003825353
phi-3.5-vision-instruct,repope,adversarial,2684,2359,117,208,0,2476,0.047253634894991924
phi-3.5-vision-instruct,repope,popular,2727,2443,71,213,0,2514,0.028241845664280032
phi-3.5-vision-instruct,repope,random,2774,2537,54,183,0,2591,0.020841373986877652
phi-3.5-vision-instruct,pope,pooled,9000,7638,186,1176,0,7824,0.023773006134969327
phi-3.5-vision-instruct,pope,adversarial,3000,2500,108,392,0,2608,0.04141104294478527
phi-3.5-vision-instruct,pope,popular,3000,2554,54,392,0,2608,0.020705521472392636
phi-3.5-vision-instruct,pope,random,3000,2584,24,392,0,2608,0.009202453987730062
phi-3.5-vision-instruct,dash-b,pooled,2682,1753,823,106,0,2576,0.31948757763975155
phi-3.5-vision-instruct,dash-b,all,2682,1753,823,106,0,2576,0.31948757763975155
gemma-3-4b-it,repope,pooled,8185,7128,774,283,0,7902,0.0979498861047836
gemma-3-4b-it,repope,adversarial,2684,2274,314,96,0,2588,0.1213292117465224
gemma-3-4b-it,repope,popular,2727,2340,287,100,0,2627,0.10925009516558812
gemma-3-4b-it,repope,random,2774,2514,173,87,0,2687,0.06438407145515444
gemma-3-4b-it,pope,pooled,9000,7562,766,672,0,8328,0.0919788664745437
gemma-3-4b-it,pope,adversarial,3000,2436,340,224,0,2776,0.12247838616714697
gemma-3-4b-it,pope,popular,3000,2483,293,224,0,2776,0.10554755043227666
gemma-3-4b-it,pope,random,3000,2643,133,224,0,2776,0.047910662824207494
gemma-3-4b-it,dash-b,pooled,2682,1594,1060,28,0,2654,0.39939713639789
gemma-3-4b-it,dash-b,all,2682,1594,1060,28,0,2654,0.39939713639789
molmo-7b-d-0924,repope,pooled,8185,7595,393,197,0,7988,0.049198798197295945
molmo-7b-d-0924,repope,adversarial,2684,2431,181,72,0,2612,0.06929555895865237
molmo-7b-d-0924,repope,popular,2727,2520,137,70,0,2657,0.051561911930748966
molmo-7b-d-0924,repope,random,2774,2644,75,55,0,2719,0.027583670467083488
molmo-7b-d-0924,pope,pooled,9000,8010,408,582,0,8418,0.048467569493941556
molmo-7b-d-0924,pope,adversarial,3000,2591,215,194,0,2806,0.07662152530292231
molmo-7b-d-0924,pope,popular,3000,2657,149,194,0,2806,0.05310049893086244
molmo-7b-d-0924,pope,random,3000,2762,44,194,0,2806,0.015680684248039915
molmo-7b-d-0924,dash-b,pooled,2682,1785,809,88,0,2594,0.3118735543562066
molmo-7b-d-0924,dash-b,all,2682,1785,809,88,0,2594,0.3118735543562066
minicpm-v-4_5,repope,pooled,8185,7692,206,287,0,7898,0.02608255254494809
