model_name,dataset_family,subset,num_entries,num_correct,num_hard_hallucination,num_false_negative_error,num_parsed_none,num_primary_population,hallucination_rate_in_primary_population,split
llava-onevision-qwen2-7b-ov-hf,repope,pooled,1637,1545,46,46,0,1591,0.028912633563796353,bank
llava-onevision-qwen2-7b-ov-hf,repope,pooled,821,775,24,22,0,799,0.030037546933667083,cal
llava-onevision-qwen2-7b-ov-hf,repope,pooled,4087,3833,138,116,0,3971,0.03475195164945857,encoder_train
llava-onevision-qwen2-7b-ov-hf,repope,pooled,1640,1559,52,29,0,1611,0.03227808814400993,test
llava-onevision-qwen2-7b-ov-hf,pope,pooled,1800,1653,39,108,0,1692,0.02304964539007092,bank
llava-onevision-qwen2-7b-ov-hf,pope,pooled,900,807,27,66,0,834,0.03237410071942446,cal
llava-onevision-qwen2-7b-ov-hf,pope,pooled,4500,4014,147,339,0,4161,0.035328046142754144,encoder_train
llava-onevision-qwen2-7b-ov-hf,pope,pooled,1800,1621,53,126,0,1674,0.031660692951015534,test
llava-onevision-qwen2-7b-ov-hf,dash-b,pooled,538,326,204,8,0,530,0.3849056603773585,bank
llava-onevision-qwen2-7b-ov-hf,dash-b,pooled,370,268,97,5,0,365,0.26575342465753427,cal
llava-onevision-qwen2-7b-ov-hf,dash-b,pooled,1331,808,507,16,0,1315,0.3855513307984791,encoder_train
llava-onevision-qwen2-7b-ov-hf,dash-b,pooled,443,242,194,7,0,436,0.44495412844036697,test
glm-4.6v-flash,repope,pooled,1637,0,0,0,1637,0,,bank
glm-4.6v-flash,repope,pooled,821,0,0,0,821,0,,cal
glm-4.6v-flash,repope,pooled,4087,0,0,0,4087,0,,encoder_train
glm-4.6v-flash,repope,pooled,1640,0,0,0,1640,0,,test
glm-4.6v-flash,pope,pooled,1800,0,0,0,1800,0,,bank
glm-4.6v-flash,pope,pooled,900,0,0,0,900,0,,cal
glm-4.6v-flash,pope,pooled,4500,0,0,0,4500,0,,encoder_train
glm-4.6v-flash,pope,pooled,1800,0,0,0,1800,0,,test
glm-4.6v-flash,dash-b,pooled,538,0,0,0,538,0,,bank
glm-4.6v-flash,dash-b,pooled,370,0,0,0,370,0,,cal
glm-4.6v-flash,dash-b,pooled,1331,0,0,0,1331,0,,encoder_train
glm-4.6v-flash,dash-b,pooled,443,0,0,0,443,0,,test
qwen3-vl-8b,repope,pooled,1637,1542,52,43,0,1594,0.03262233375156838,bank
qwen3-vl-8b,repope,pooled,821,780,20,21,0,800,0.025,cal
qwen3-vl-8b,repope,pooled,4087,3812,168,107,0,3980,0.04221105527638191,encoder_train
qwen3-vl-8b,repope,pooled,1640,1574,38,28,0,1612,0.02357320099255583,test
qwen3-vl-8b,pope,pooled,1800,1609,56,135,0,1665,0.033633633633633635,bank
qwen3-vl-8b,pope,pooled,900,806,28,66,0,834,0.03357314148681055,cal
qwen3-vl-8b,pope,pooled,4500,4021,173,306,0,4194,0.04124940391034811,encoder_train
qwen3-vl-8b,pope,pooled,1800,1592,52,156,0,1644,0.031630170316301706,test
qwen3-vl-8b,dash-b,pooled,538,381,148,9,0,529,0.27977315689981097,bank
qwen3-vl-8b,dash-b,pooled,370,303,59,8,0,362,0.16298342541436464,cal
qwen3-vl-8b,dash-b,pooled,1331,953,357,21,0,1310,0.27251908396946567,encoder_train
qwen3-vl-8b,dash-b,pooled,443,325,116,2,0,441,0.26303854875283444,test
internvl3.5-8b,repope,pooled,1637,1496,117,24,0,1613,0.07253564786112833,bank
internvl3.5-8b,repope,pooled,821,748,61,12,0,809,0.0754017305315204,cal
internvl3.5-8b,repope,pooled,4087,3689,352,46,0,4041,0.08710715169512497,encoder_train
internvl3.5-8b,repope,pooled,1640,1484,141,15,0,1625,0.08676923076923077,test
internvl3.5-8b,pope,pooled,1800,1620,114,66,0,1734,0.0657439446366782,bank
internvl3.5-8b,pope,pooled,900,793,65,42,0,858,0.07575757575757576,cal
internvl3.5-8b,pope,pooled,4500,3980,346,174,0,4326,0.07998150716597319,encoder_train
internvl3.5-8b,pope,pooled,1800,1569,138,93,0,1707,0.08084358523725835,test
internvl3.5-8b,dash-b,pooled,538,361,164,13,0,525,0.31238095238095237,bank
internvl3.5-8b,dash-b,pooled,370,290,70,10,0,360,0.19444444444444445,cal
internvl3.5-8b,dash-b,pooled,1331,891,402,38,0,1293,0.3109048723897912,encoder_train
internvl3.5-8b,dash-b,pooled,443,281,151,11,0,432,0.34953703703703703,test
minicpm-v-2_6,repope,pooled,1637,1529,18,90,0,1547,0.011635423400129283,bank
minicpm-v-2_6,repope,pooled,821,772,12,37,0,784,0.015306122448979591,cal
minicpm-v-2_6,repope,pooled,4087,3776,80,231,0,3856,0.02074688796680498,encoder_train
minicpm-v-2_6,repope,pooled,1640,1529,22,89,0,1551,0.014184397163120567,test
minicpm-v-2_6,pope,pooled,1800,1582,14,204,0,1596,0.008771929824561403,bank
minicpm-v-2_6,pope,pooled,900,798,12,90,0,810,0.014814814814814815,cal
minicpm-v-2_6,pope,pooled,4500,3919,77,504,0,3996,0.01926926926926927,encoder_train
minicpm-v-2_6,pope,pooled,1800,1577,13,210,0,1590,0.008176100628930818,test
minicpm-v-2_6,dash-b,pooled,538,394,117,27,0,511,0.22896281800391388,bank
minicpm-v-2_6,dash-b,pooled,370,294,55,21,0,349,0.15759312320916904,cal
minicpm-v-2_6,dash-b,pooled,1331,991,286,54,0,1277,0.22396241190289742,encoder_train
minicpm-v-2_6,dash-b,pooled,443,324,99,20,0,423,0.23404255319148937,test
gemma-3-12b-it,repope,pooled,1637,1443,152,42,0,1595,0.09529780564263322,bank
gemma-3-12b-it,repope,pooled,821,730,79,12,0,809,0.09765142150803462,cal
gemma-3-12b-it,repope,pooled,4087,3553,425,109,0,3978,0.10683760683760683,encoder_train
gemma-3-12b-it,repope,pooled,1640,1440,170,30,0,1610,0.10559006211180125,test
gemma-3-12b-it,pope,pooled,1800,1543,146,111,0,1689,0.08644168146832445,bank
gemma-3-12b-it,pope,pooled,900,774,81,45,0,855,0.09473684210526316,cal
gemma-3-12b-it,pope,pooled,4500,3720,459,321,0,4179,0.10983488872936109,encoder_train
gemma-3-12b-it,pope,pooled,1800,1475,187,138,0,1662,0.1125150421179302,test
gemma-3-12b-it,dash-b,pooled,538,326,204,8,0,530,0.3849056603773585,bank
gemma-3-12b-it,dash-b,pooled,370,268,90,12,0,358,0.25139664804469275,cal
gemma-3-12b-it,dash-b,pooled,1331,806,504,21,0,1310,0.3847328244274809,encoder_train
gemma-3-12b-it,dash-b,pooled,443,243,196,4,0,439,0.44646924829157175,test
gemma-4-12b-it,repope,pooled,1637,1138,18,55,426,1156,0.015570934256055362,bank
gemma-4-12b-it,repope,pooled,821,596,7,6,212,603,0.011608623548922056,cal
gemma-4-12b-it,repope,pooled,4087,2926,64,91,1006,2990,0.02140468227424749,encoder_train
gemma-4-12b-it,repope,pooled,1640,1158,24,44,414,1182,0.02030456852791878,test
gemma-4-12b-it,pope,pooled,1800,1180,21,111,488,1201,0.017485428809325562,bank
gemma-4-12b-it,pope,pooled,900,601,15,48,236,616,0.024350649350649352,cal
gemma-4-12b-it,pope,pooled,4500,3012,84,294,1110,3096,0.027131782945736434,encoder_train
gemma-4-12b-it,pope,pooled,1800,1187,31,117,465,1218,0.025451559934318555,test
gemma-4-12b-it,dash-b,pooled,538,397,127,14,0,524,0.24236641221374045,bank
gemma-4-12b-it,dash-b,pooled,370,316,44,10,0,360,0.12222222222222222,cal
gemma-4-12b-it,dash-b,pooled,1331,1030,264,37,0,1294,0.20401854714064915,encoder_train
gemma-4-12b-it,dash-b,pooled,443,334,98,11,0,432,0.22685185185185186,test
qwen3.5-4b,repope,pooled,1637,1548,30,59,0,1578,0.019011406844106463,bank
qwen3.5-4b,repope,pooled,821,796,9,16,0,805,0.011180124223602485,cal
qwen3.5-4b,repope,pooled,4087,3852,84,151,0,3936,0.021341463414634148,encoder_train
qwen3.5-4b,repope,pooled,1640,1567,30,43,0,1597,0.01878522229179712,test
qwen3.5-4b,pope,pooled,1800,1622,28,150,0,1650,0.01696969696969697,bank
qwen3.5-4b,pope,pooled,900,821,16,63,0,837,0.019115890083632018,cal
qwen3.5-4b,pope,pooled,4500,4010,97,393,0,4107,0.023618212807401995,encoder_train
qwen3.5-4b,pope,pooled,1800,1590,39,171,0,1629,0.02394106813996317,test
qwen3.5-4b,dash-b,pooled,538,361,165,12,0,526,0.31368821292775667,bank
qwen3.5-4b,dash-b,pooled,370,295,70,5,0,365,0.1917808219178082,cal
qwen3.5-4b,dash-b,pooled,1331,959,358,14,0,1317,0.2718299164768413,encoder_train
qwen3.5-4b,dash-b,pooled,443,298,140,5,0,438,0.319634703196347,test
qwen3.5-9b,repope,pooled,1637,1554,46,37,0,1600,0.02875,bank
qwen3.5-9b,repope,pooled,821,781,20,20,0,801,0.024968789013732832,cal
qwen3.5-9b,repope,pooled,4087,3885,114,88,0,3999,0.028507126781695424,encoder_train
