model_name,dataset_family,variant,readout,eval_split,eval_scope,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,num_encoder_train,num_encoder_train_hallucination,num_excluded_false_negative,num_excluded_parsed_none
llava-onevision-qwen2-7b-ov-hf,dash-b,Raw-Static,Diag-Classifier,test,pooled,passed,,0.9887560263965236,0.9805483235145873,0.994296174517692,0.9899037232682969,0.982224118596632,0.9952718425968533,0.9887827005976246,0.845360824742268,0.049586776859504134,436,242,194,326,1315,507,7,0
llava-onevision-qwen2-7b-ov-hf,dash-b,Raw-Static,Diag-KNN,test,pooled,passed,,0.3732476665431278,0.32695007559864037,0.4249090410387457,0.4202521939166738,0.3670638817077588,0.4738813588238034,0.3756897565772246,0.0,0.8966942148760331,436,242,194,326,1315,507,7,0
llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Static,Diag-Classifier,test,pooled,passed,,0.989200836277108,0.98111205437122,0.9945603968266477,0.990287126182159,0.9827418617848461,0.9953209047454125,0.9892263996970906,0.8556701030927835,0.05785123966942149,436,242,194,326,1315,507,7,0
llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Static,Diag-KNN,test,pooled,passed,,0.4108749354400257,0.3581219147062159,0.46944175652906506,0.49235324188463836,0.4379014547631394,0.5459975082659346,0.4140769672136373,0.0,0.8801652892561983,436,242,194,326,1315,507,7,0
llava-onevision-qwen2-7b-ov-hf,dash-b,Raw-Traj-MeanPool,Diag-Classifier,test,pooled,passed,,0.9888582600535062,0.9809559291848201,0.994393007114089,0.9908409303910709,0.9847420873191691,0.9955124685132258,0.9888867160384573,0.7989690721649485,0.045454545454545456,436,242,194,326,1315,507,7,0
llava-onevision-qwen2-7b-ov-hf,dash-b,Raw-Traj-MeanPool,Diag-KNN,test,pooled,passed,,0.8729357785793705,0.8304626161030477,0.9073770005614881,0.8910283718156259,0.8593221997714157,0.9165954785055384,0.8733401793028823,0.3402061855670103,0.47107438016528924,436,242,194,326,1315,507,7,0
llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-MeanPool,Diag-Classifier,test,pooled,passed,,0.984483757008573,0.9736205982635618,0.9926008928233682,0.9874755048138366,0.979362702689298,0.9937592481614689,0.9845251749957106,0.7164948453608248,0.04132231404958678,436,242,194,326,1315,507,7,0
llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-MeanPool,Diag-KNN,test,pooled,passed,,0.8736827776473599,0.8339461590898817,0.906263817081602,0.8910496719775071,0.8600972778306047,0.9156748930710331,0.8740245905352204,0.37628865979381443,0.3884297520661157,436,242,194,326,1315,507,7,0
llava-onevision-qwen2-7b-ov-hf,dash-b,Raw-Traj-LSTM,Diag-Classifier,test,pooled,passed,,0.9889885982271266,0.98101256474128,0.994811921000684,0.9903936269915652,0.983401083086513,0.9957749280779155,0.989015640072705,0.8195876288659794,0.05371900826446281,436,242,194,326,1315,507,7,0
llava-onevision-qwen2-7b-ov-hf,dash-b,Raw-Traj-LSTM,Diag-KNN,test,pooled,passed,,0.9751735970259494,0.9576605008929058,0.9887624284390432,0.982150464343529,0.970857551072245,0.9912399106066827,0.9752519196256286,0.5721649484536082,0.06198347107438017,436,242,194,326,1315,507,7,0
