model_name,status,repope_raw_traj_lstm_pr_auc,repope_sphere_traj_lstm_pr_auc,repope_sphere_minus_raw_pr_auc,failure_reason
gemma-3-12b-it,evaluated,0.6770795669860022,0.724708480764702,0.04762891377869971,
gemma-4-12b-it,evaluated,0.3101120181250683,0.3127355124740792,0.0026234943490109353,
internvl3.5-8b,evaluated,0.7295122537870561,0.6605003801951004,-0.06901187359195571,
llava-onevision-qwen2-7b-ov-hf,evaluated,0.4388288846870008,0.48104174611372447,0.04221286142672365,
minicpm-v-2_6,evaluated,0.11594656408674342,0.27624928176427205,0.16030271767752863,
qwen3-vl-8b,evaluated,0.5175408367393094,0.5257941087428244,0.008253272003515,
qwen3.5-4b,evaluated,0.23992491816138978,0.24462085194954766,0.0046959337881578855,
glm-4.6v-flash,failed,,,,glm-4.6v-flash/repope has no primary closeout population; glm-4.6v-flash/pope has no primary closeout population; glm-4.6v-flash/dash-b has no primary closeout population
gemma-3-4b-it,evaluated,0.6950446385098716,0.6983846091725594,0.0033399706626877634,
llava-v1.5-7b,evaluated,0.6495776322929576,0.5955756881284489,-0.054001944164508764,
minicpm-v-4_5,evaluated,0.2544142807379832,0.398564866242765,0.14415058550478177,
molmo-7b-d-0924,evaluated,0.5040249433666727,0.4824144995562846,-0.02161044381038807,
phi-3.5-vision-instruct,evaluated,0.5109794676944819,0.44480548378461837,-0.06617398390986351,
phi-4-multimodal-instruct,evaluated,0.4615261649252802,0.41272466150352716,-0.048801503421753045,
qwen2.5-vl-7b,evaluated,0.24399424496133051,0.18272681820532158,-0.061267426756008936,
qwen3.5-9b,evaluated,0.32507656284098035,0.3113035124293091,-0.013773050411671262,
