model_name,dataset_family,variant,readout,eval_split,eval_scope,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,num_encoder_train,num_encoder_train_hallucination,num_excluded_false_negative,num_excluded_parsed_none
llava-onevision-qwen2-7b-ov-hf,repope,Raw-Static,Diag-Classifier,test,pooled,passed,,0.39135852078291833,0.25570905605800526,0.5172680104464342,0.931699314156017,0.8983288010310496,0.9580864830237028,0.40066178721004714,0.2692307692307692,0.45285439384220655,1611,1559,52,1545,3971,138,29,0
llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Static,Diag-Classifier,test,pooled,passed,,0.36873493241075556,0.2378977188986696,0.508049496758113,0.9272215917501356,0.8896694501280722,0.9570173731580235,0.3845386634700516,0.2692307692307692,0.5189223861449648,1611,1559,52,1545,3971,138,29,0
llava-onevision-qwen2-7b-ov-hf,repope,Raw-Traj-MeanPool,Diag-Classifier,test,pooled,passed,,0.485333606929982,0.3444100772203686,0.6141585060342027,0.9585039719741452,0.9427834729280179,0.9722211555359093,0.4945858676015569,0.3076923076923077,0.163566388710712,1611,1559,52,1545,3971,138,29,0
llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-MeanPool,Diag-Classifier,test,pooled,passed,,0.4463741464009138,0.31176643282349775,0.5701442779814712,0.9461439778951004,0.9244349896464573,0.9650565159882871,0.4546837727191755,0.3076923076923077,0.16100064143681847,1611,1559,52,1545,3971,138,29,0
llava-onevision-qwen2-7b-ov-hf,repope,Raw-Traj-LSTM,Diag-Classifier,test,pooled,passed,,0.4388288846870008,0.30357488134892263,0.5666282829546594,0.9630187003503232,0.9510199915032682,0.9737407457317031,0.44886241522789916,0.2692307692307692,0.08466966003848621,1611,1559,52,1545,3971,138,29,0
llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,Diag-Classifier,test,pooled,passed,,0.48104174611372447,0.3481647899389055,0.617760702671561,0.9674100754921794,0.9565397717434793,0.9775783622723194,0.49232610788234593,0.4230769230769231,0.09878127004490057,1611,1559,52,1545,3971,138,29,0
glm-4.6v-flash,repope,Raw-Static,Diag-Classifier,test,pooled,failed,glm-4.6v-flash/repope has no primary closeout population,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0
glm-4.6v-flash,repope,Sphere-Static,Diag-Classifier,test,pooled,failed,glm-4.6v-flash/repope has no primary closeout population,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0
glm-4.6v-flash,repope,Raw-Traj-MeanPool,Diag-Classifier,test,pooled,failed,glm-4.6v-flash/repope has no primary closeout population,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0
glm-4.6v-flash,repope,Sphere-Traj-MeanPool,Diag-Classifier,test,pooled,failed,glm-4.6v-flash/repope has no primary closeout population,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0
glm-4.6v-flash,repope,Raw-Traj-LSTM,Diag-Classifier,test,pooled,failed,glm-4.6v-flash/repope has no primary closeout population,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0
glm-4.6v-flash,repope,Sphere-Traj-LSTM,Diag-Classifier,test,pooled,failed,glm-4.6v-flash/repope has no primary closeout population,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0
qwen3-vl-8b,repope,Raw-Static,Diag-Classifier,test,pooled,passed,,0.6558896707267776,0.5015761010064872,0.7873170831377888,0.9563632715842975,0.9101158091681254,0.9856937758759137,0.6606776928016631,0.5789473684210527,0.1823379923761118,1612,1574,38,1542,3980,168,28,0
qwen3-vl-8b,repope,Sphere-Static,Diag-Classifier,test,pooled,passed,,0.6200187074339365,0.46006750246309025,0.7561755460364367,0.9507623888182973,0.8987872328966805,0.9835627951038232,0.6258938096972976,0.5789473684210527,0.24015247776365947,1612,1574,38,1542,3980,168,28,0
qwen3-vl-8b,repope,Raw-Traj-MeanPool,Diag-Classifier,test,pooled,passed,,0.5449409695123034,0.35958532981050867,0.7072410705022208,0.9548919949174078,0.900333914012354,0.9850721218621695,0.5560584890371162,0.5,0.12261753494282084,1612,1574,38,1542,3980,168,28,0
qwen3-vl-8b,repope,Sphere-Traj-MeanPool,Diag-Classifier,test,pooled,passed,,0.44215633381434954,0.27653164353713655,0.6188567355318305,0.9441249247642614,0.8887779692771299,0.9788864668519933,0.46104478147777317,0.42105263157894735,0.247141041931385,1612,1574,38,1542,3980,168,28,0
qwen3-vl-8b,repope,Raw-Traj-LSTM,Diag-Classifier,test,pooled,passed,,0.5175408367393094,0.35839917893785633,0.6744323053636067,0.9751220490871397,0.9640569338422391,0.985230366250567,0.5287650491325141,0.47368421052631576,0.08576874205844981,1612,1574,38,1542,3980,168,28,0
