model_name,dataset_family,variant,readout,eval_split,eval_scope,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,num_encoder_train,num_encoder_train_hallucination,num_excluded_false_negative,num_excluded_parsed_none
llava-onevision-qwen2-7b-ov-hf,repope,Raw-Static,Diag-KNN,test,pooled,passed,,0.02386599497996868,0.017364335752689825,0.03134778853624634,0.3843440074998766,0.34161847375375887,0.4262405734197703,0.024960895383064584,0.0,0.7985888389993585,1611,1559,52,1545,3971,138,29,0
llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Static,Diag-KNN,test,pooled,passed,,0.03136406471729629,0.021970986358012642,0.04152214733638106,0.5344155523757833,0.47755207049950515,0.589861091818308,0.033212645443560375,0.0,0.6869788325849904,1611,1559,52,1545,3971,138,29,0
llava-onevision-qwen2-7b-ov-hf,repope,Raw-Traj-MeanPool,Diag-KNN,test,pooled,passed,,0.2731832076338659,0.18202572143234869,0.36944656878350945,0.9399393102087137,0.9241098361456568,0.9549114004988424,0.2825803337870196,0.057692307692307696,0.15586914688903142,1611,1559,52,1545,3971,138,29,0
llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-MeanPool,Diag-KNN,test,pooled,passed,,0.2149117926577744,0.15335710735316005,0.2985212112807233,0.9299970395223762,0.9100014849549686,0.9499619446707851,0.22811011998958114,0.019230769230769232,0.23925593329057088,1611,1559,52,1545,3971,138,29,0
llava-onevision-qwen2-7b-ov-hf,repope,Raw-Traj-LSTM,Diag-KNN,test,pooled,passed,,0.058955499685417745,0.04221028203726827,0.08133764548697744,0.7541940099669413,0.7184595233740103,0.7928182447236735,0.06264413779758843,0.0,0.4509300833867864,1611,1559,52,1545,3971,138,29,0
llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,Diag-KNN,test,pooled,passed,,0.11529092542368773,0.08233756184510314,0.15591510623264124,0.8806804164405191,0.85906731052695,0.9016947890248542,0.12238807021719372,0.0,0.2187299550994227,1611,1559,52,1545,3971,138,29,0
glm-4.6v-flash,repope,Raw-Static,Diag-KNN,test,pooled,failed,glm-4.6v-flash/repope has no primary closeout population,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0
glm-4.6v-flash,repope,Sphere-Static,Diag-KNN,test,pooled,failed,glm-4.6v-flash/repope has no primary closeout population,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0
glm-4.6v-flash,repope,Raw-Traj-MeanPool,Diag-KNN,test,pooled,failed,glm-4.6v-flash/repope has no primary closeout population,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0
glm-4.6v-flash,repope,Sphere-Traj-MeanPool,Diag-KNN,test,pooled,failed,glm-4.6v-flash/repope has no primary closeout population,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0
glm-4.6v-flash,repope,Raw-Traj-LSTM,Diag-KNN,test,pooled,failed,glm-4.6v-flash/repope has no primary closeout population,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0
glm-4.6v-flash,repope,Sphere-Traj-LSTM,Diag-KNN,test,pooled,failed,glm-4.6v-flash/repope has no primary closeout population,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0
qwen3-vl-8b,repope,Raw-Static,Diag-KNN,test,pooled,passed,,0.021414860460061053,0.014115253174326535,0.030165673106495254,0.49082959941148935,0.40056652670097553,0.5777325711472419,0.02314988276345501,0.0,0.9371029224904701,1612,1574,38,1542,3980,168,28,0
qwen3-vl-8b,repope,Sphere-Static,Diag-KNN,test,pooled,passed,,0.05648553455804278,0.034999250631692715,0.08565300812306238,0.778890523640741,0.7141393606033014,0.8364295301776473,0.06140796994415699,0.0,0.5876747141041931,1612,1574,38,1542,3980,168,28,0
qwen3-vl-8b,repope,Raw-Traj-MeanPool,Diag-KNN,test,pooled,passed,,0.17141832616040747,0.1001300592209061,0.2541897740649857,0.922206246238213,0.9017525739479355,0.9403332036136006,0.18214171533978835,0.10526315789473684,0.144853875476493,1612,1574,38,1542,3980,168,28,0
qwen3-vl-8b,repope,Sphere-Traj-MeanPool,Diag-KNN,test,pooled,passed,,0.11062070686341541,0.07321535721501428,0.16965849688029022,0.8939176085066542,0.8659928625596846,0.9183251695229052,0.12121822535554043,0.07894736842105263,0.2674714104193138,1612,1574,38,1542,3980,168,28,0
qwen3-vl-8b,repope,Raw-Traj-LSTM,Diag-KNN,test,pooled,passed,,0.06091577317655153,0.04075720516928672,0.08397802734651195,0.8317060121714706,0.8011961085505508,0.8595288268846747,0.06589760334177507,0.0,0.30304955527318933,1612,1574,38,1542,3980,168,28,0
qwen3-vl-8b,repope,Sphere-Traj-LSTM,Diag-KNN,test,pooled,passed,,0.12285820382957138,0.08664920154201947,0.16584933637281024,0.9235939276399385,0.9082072253861082,0.9383244851577455,0.13013086890641787,0.0,0.12770012706480305,1612,1574,38,1542,3980,168,28,0
internvl3.5-8b,repope,Raw-Static,Diag-KNN,test,pooled,passed,,0.05352768318314499,0.045477010674015834,0.06277587185700972,0.24439888360000764,0.2117837394894244,0.2763548256642282,0.054407234845294535,0.0,0.977088948787062,1625,1484,141,1496,4041,352,15,0
internvl3.5-8b,repope,Sphere-Static,Diag-KNN,test,pooled,passed,,0.07013303079484977,0.05917972215413677,0.08394234133552747,0.4375991665232933,0.3955416808185214,0.4790840984081013,0.07145943468729461,0.0,0.9245283018867925,1625,1484,141,1496,4041,352,15,0
internvl3.5-8b,repope,Raw-Traj-MeanPool,Diag-KNN,test,pooled,passed,,0.20296385462245514,0.16276150015451188,0.2520015333239873,0.7819244518361338,0.7479264977060142,0.8135709337265065,0.20951267953008437,0.05673758865248227,0.5154986522911051,1625,1484,141,1496,4041,352,15,0
