model_alias,objective,selected_k,selected_on,selection_metric,selection_pr_auc,selection_roc_auc,num_bank_correct,metric_status,dataset_family,split,metric_split,readout,k,bank_size,pr_auc,roc_auc
llava-onevision-qwen2-7b-ov-hf,bce,32,repope/cal,pr_auc,0.5786431457046308,0.9772580645161291,1545,passed,,,,,,,,
llava-onevision-qwen2-7b-ov-hf,supcon,32,repope/cal,pr_auc,0.5149162813040392,0.9517204301075268,1545,passed,,,,,,,,
llava-onevision-qwen2-7b-ov-hf,proxy_anchor,16,repope/cal,pr_auc,0.5430813079806173,0.9737096774193549,1545,passed,,,,,,,,
qwen3-vl-8b,bce,32,repope/cal,pr_auc,0.0803186095799357,0.868974358974359,1542,passed,,,,,,,,
qwen3-vl-8b,supcon,32,repope/cal,pr_auc,0.8424314298384677,0.9878205128205129,1542,passed,,,,,,,,
qwen3-vl-8b,proxy_anchor,32,repope/cal,pr_auc,0.8357620723931866,0.9877564102564103,1542,passed,,,,,,,,
internvl3.5-8b,bce,32,repope/cal,pr_auc,0.123986312795918,0.7455509774699745,1496,passed,,,,,,,,
internvl3.5-8b,supcon,32,repope/cal,pr_auc,0.7713495912096074,0.9741606031384238,1496,passed,,,,,,,,
internvl3.5-8b,proxy_anchor,32,repope/cal,pr_auc,0.7812891885953654,0.9699307442798281,1496,passed,,,,,,,,
minicpm-v-2_6,bce,1,repope/cal,pr_auc,0.02359655495853069,0.7070379965457686,1529,passed,,,,,,,,
minicpm-v-2_6,supcon,32,repope/cal,pr_auc,0.058012067279523086,0.8250215889464594,1529,passed,,,,,,,,
minicpm-v-2_6,proxy_anchor,32,repope/cal,pr_auc,0.0664716205408303,0.8954015544041452,1529,passed,,,,,,,,
gemma-3-12b-it,bce,32,repope/cal,pr_auc,0.2887584484807294,0.8788451534593376,1443,passed,,,,,,,,
gemma-3-12b-it,supcon,32,repope/cal,pr_auc,0.789010725759058,0.96859719091382,1443,passed,,,,,,,,
gemma-3-12b-it,proxy_anchor,32,repope/cal,pr_auc,0.34897830107008143,0.8168891971562338,1443,passed,,,,,,,,
gemma-4-12b-it,bce,32,repope/cal,pr_auc,0.041151715322449045,0.8530680728667306,1138,passed,,,,,,,,
gemma-4-12b-it,supcon,32,repope/cal,pr_auc,0.3426557274233053,0.7914669223394055,1138,passed,,,,,,,,
gemma-4-12b-it,proxy_anchor,4,repope/cal,pr_auc,0.3710268840206323,0.8154362416107382,1138,passed,,,,,,,,
qwen3.5-4b,bce,1,repope/cal,pr_auc,0.016770812414993744,0.7000279173646008,1548,passed,,,,,,,,
qwen3.5-4b,supcon,1,repope/cal,pr_auc,0.06097548459614856,0.6762981574539364,1548,passed,,,,,,,,
qwen3.5-4b,proxy_anchor,32,repope/cal,pr_auc,0.18786795988544788,0.9540759352317141,1548,passed,,,,,,,,
qwen3.5-9b,bce,32,repope/cal,pr_auc,0.19107839412854724,0.9516645326504481,1554,passed,,,,,,,,
qwen3.5-9b,supcon,16,repope/cal,pr_auc,0.20928955136862964,0.8145326504481434,1554,passed,,,,,,,,
qwen3.5-9b,proxy_anchor,32,repope/cal,pr_auc,0.6037690789486135,0.9827144686299616,1554,passed,,,,,,,,
phi-4-multimodal-instruct,bce,32,repope/cal,pr_auc,0.14271777548881237,0.909800307219662,1496,passed,,,,,,,,
phi-4-multimodal-instruct,supcon,8,repope/cal,pr_auc,0.12904078954431725,0.7404608294930874,1496,passed,,,,,,,,
phi-4-multimodal-instruct,proxy_anchor,32,repope/cal,pr_auc,0.5873613588327281,0.9544700460829493,1496,passed,,,,,,,,
phi-3.5-vision-instruct,bce,1,repope/cal,pr_auc,0.20956843116617216,0.8617135207496653,1475,passed,,,,,,,,
