model_alias,status,objective,repope_knn_pr_auc,reason
llava-onevision-qwen2-7b-ov-hf,evaluated,bce,0.32431169839869395,
llava-onevision-qwen2-7b-ov-hf,evaluated,supcon,0.4014739998385199,
llava-onevision-qwen2-7b-ov-hf,evaluated,proxy_anchor,0.36418962315375664,
glm-4.6v-flash,excluded,,,excluded because GLM answer_text is not parseable
qwen3-vl-8b,evaluated,bce,0.0810060340871222,
qwen3-vl-8b,evaluated,supcon,0.49525191917975003,
qwen3-vl-8b,evaluated,proxy_anchor,0.4902321098483184,
internvl3.5-8b,evaluated,bce,0.14816059441490723,
internvl3.5-8b,evaluated,supcon,0.6476150400685652,
internvl3.5-8b,evaluated,proxy_anchor,0.6100198879313758,
minicpm-v-2_6,evaluated,bce,0.09353864064318528,
minicpm-v-2_6,evaluated,supcon,0.051640222644774816,
minicpm-v-2_6,evaluated,proxy_anchor,0.18393507702857592,
gemma-3-12b-it,evaluated,bce,0.22688358883347873,
gemma-3-12b-it,evaluated,supcon,0.6943478583872695,
gemma-3-12b-it,evaluated,proxy_anchor,0.28035168190561266,
gemma-4-12b-it,evaluated,bce,0.106286284671888,
gemma-4-12b-it,evaluated,supcon,0.15846985944205627,
gemma-4-12b-it,evaluated,proxy_anchor,0.20133586440365506,
qwen3.5-4b,evaluated,bce,0.02099191811493107,
qwen3.5-4b,evaluated,supcon,0.023046819700791414,
qwen3.5-4b,evaluated,proxy_anchor,0.2508760559724813,
qwen3.5-9b,evaluated,bce,0.08357274453842257,
qwen3.5-9b,evaluated,supcon,0.032579386293229436,
qwen3.5-9b,evaluated,proxy_anchor,0.19916394921831856,
phi-4-multimodal-instruct,evaluated,bce,0.15382533587448224,
phi-4-multimodal-instruct,evaluated,supcon,0.12214470346988575,
phi-4-multimodal-instruct,evaluated,proxy_anchor,0.4125942465202326,
phi-3.5-vision-instruct,evaluated,bce,0.0956032284711839,
phi-3.5-vision-instruct,evaluated,supcon,0.15267170884246484,
phi-3.5-vision-instruct,evaluated,proxy_anchor,0.4445867775713527,
gemma-3-4b-it,evaluated,bce,0.23283738022910383,
gemma-3-4b-it,evaluated,supcon,0.6525096949974828,
gemma-3-4b-it,evaluated,proxy_anchor,0.4915926280313784,
molmo-7b-d-0924,evaluated,bce,0.20523736806794768,
molmo-7b-d-0924,evaluated,supcon,0.20913875951687272,
molmo-7b-d-0924,evaluated,proxy_anchor,0.35223350326002767,
minicpm-v-4_5,evaluated,bce,0.252251577469017,
minicpm-v-4_5,evaluated,supcon,0.19274765985422287,
minicpm-v-4_5,evaluated,proxy_anchor,0.404712422297329,
llava-v1.5-7b,evaluated,bce,0.22580538072582504,
llava-v1.5-7b,evaluated,supcon,0.3088468255195921,
llava-v1.5-7b,evaluated,proxy_anchor,0.24057842230177984,
qwen2.5-vl-7b,evaluated,bce,0.19556911869939692,
qwen2.5-vl-7b,evaluated,supcon,0.0504472336949718,
qwen2.5-vl-7b,evaluated,proxy_anchor,0.17038582351757267,
