model_alias,model_name,dataset_family,encoder_family,objective,readout,eval_split,metric_split,eval_scope,selected_k,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,num_encoder_train,num_encoder_train_hallucination,num_excluded_false_negative,num_excluded_parsed_none
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,bce,Diag-Classifier,test,test,pooled,,passed,,0.23720491717415526,0.14654396042758255,0.342019159258427,0.9005621966407877,0.8767134197763788,0.9226274770957117,0.24264658093349672,0.11320754716981132,0.22887106724244294,1674,1621,53,1653,4161,147,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,bce,Diag-kNN-tuned,test,test,pooled,32,passed,,0.19183548751404275,0.12810616155421195,0.29363690662381164,0.9059746487725956,0.874415966313324,0.93189896912723,0.20576513933424057,0.09433962264150944,0.46946329426280076,1674,1621,53,1653,4161,147,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,bce,Diag-vMF,test,test,pooled,,passed,,0.19367794511097167,0.10854418473195106,0.30336310542615347,0.7698602074191333,0.6852799966950343,0.840880645317673,0.20201280317797754,0.1320754716981132,0.8106107341147439,1674,1621,53,1653,4161,147,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,supcon,Diag-Classifier,test,test,pooled,,passed,,0.2233745240026669,0.1375704666740777,0.3216526196760255,0.9050551138942884,0.8763213064777442,0.9302609257450224,0.23042815031009617,0.09433962264150944,0.4133251079580506,1674,1621,53,1653,4161,147,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,supcon,Diag-kNN-tuned,test,test,pooled,32,passed,,0.19554950419444897,0.11596582109209809,0.2996058644621675,0.8942651286766845,0.8694180333228935,0.9191004139302145,0.2017858930563633,0.1320754716981132,0.3429981492905614,1674,1621,53,1653,4161,147,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,supcon,Diag-vMF,test,test,pooled,,passed,,0.20797730243991525,0.12086842645540458,0.3052389524063479,0.8467868657828268,0.7852334427734174,0.901105267278776,0.21472240416544797,0.1320754716981132,0.8408389882788402,1674,1621,53,1653,4161,147,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,,passed,,0.1830478760153614,0.10832922644775206,0.2675912606029596,0.6684611176422659,0.571512357826788,0.7580607291413791,0.13143592574716115,0.0,0.9888957433682912,1674,1621,53,1653,4161,147,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,16,passed,,0.18559253844053317,0.11890911485229613,0.2734199264803099,0.9123182754647143,0.8945176915877787,0.9307947379726446,0.1931807638114033,0.07547169811320754,0.1863047501542258,1674,1621,53,1653,4161,147,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,,passed,,0.20806624292657905,0.1377260611227802,0.30034780259245997,0.9015282902471106,0.8587735549388918,0.9354743138601594,0.21610210024490184,0.05660377358490566,0.6600863664404688,1674,1621,53,1653,4161,147,126,0
qwen3-vl-8b,qwen3-vl-8b,pope,Sphere-Traj-LSTM,bce,Diag-Classifier,test,test,pooled,,passed,,0.260782846502104,0.18539038175009295,0.362750130740141,0.9477314456899885,0.9343325454285168,0.9613191719472332,0.27324139762984784,0.17307692307692307,0.15891959798994976,1644,1592,52,1609,4194,173,156,0
