model_alias,objective,selected_k,selected_on,selection_metric,selection_pr_auc,selection_roc_auc,num_bank_correct,metric_status,dataset_family,split,metric_split,readout,k,bank_size,pr_auc,roc_auc
llava-onevision-qwen2-7b-ov-hf,bce,,,,,,1545,passed,repope,cal,cal,Diag-kNN-tuned,1,1545,0.42073175576774363,0.9732258064516129
llava-onevision-qwen2-7b-ov-hf,bce,,,,,,1545,passed,repope,cal,cal,Diag-kNN-tuned,2,1545,0.4093255533048479,0.9722580645161291
llava-onevision-qwen2-7b-ov-hf,bce,,,,,,1545,passed,repope,cal,cal,Diag-kNN-tuned,4,1545,0.4131792287263013,0.9712903225806452
llava-onevision-qwen2-7b-ov-hf,bce,,,,,,1545,passed,repope,cal,cal,Diag-kNN-tuned,8,1545,0.5010134634583754,0.9725268817204301
llava-onevision-qwen2-7b-ov-hf,bce,,,,,,1545,passed,repope,cal,cal,Diag-kNN-tuned,16,1545,0.5276868606514103,0.9731720430107527
llava-onevision-qwen2-7b-ov-hf,bce,,,,,,1545,passed,repope,cal,cal,Diag-kNN-tuned,32,1545,0.5786431457046308,0.9772580645161291
llava-onevision-qwen2-7b-ov-hf,supcon,,,,,,1545,passed,repope,cal,cal,Diag-kNN-tuned,1,1545,0.2525943642648521,0.8884946236559139
llava-onevision-qwen2-7b-ov-hf,supcon,,,,,,1545,passed,repope,cal,cal,Diag-kNN-tuned,2,1545,0.26147196457628047,0.8905913978494624
llava-onevision-qwen2-7b-ov-hf,supcon,,,,,,1545,passed,repope,cal,cal,Diag-kNN-tuned,4,1545,0.27232191094202196,0.9111290322580645
llava-onevision-qwen2-7b-ov-hf,supcon,,,,,,1545,passed,repope,cal,cal,Diag-kNN-tuned,8,1545,0.34524939176487657,0.9400537634408601
llava-onevision-qwen2-7b-ov-hf,supcon,,,,,,1545,passed,repope,cal,cal,Diag-kNN-tuned,16,1545,0.43398243889369803,0.9431182795698925
llava-onevision-qwen2-7b-ov-hf,supcon,,,,,,1545,passed,repope,cal,cal,Diag-kNN-tuned,32,1545,0.5149162813040392,0.9517204301075268
llava-onevision-qwen2-7b-ov-hf,proxy_anchor,,,,,,1545,passed,repope,cal,cal,Diag-kNN-tuned,1,1545,0.3335140960460806,0.9581182795698926
llava-onevision-qwen2-7b-ov-hf,proxy_anchor,,,,,,1545,passed,repope,cal,cal,Diag-kNN-tuned,2,1545,0.3299749629385411,0.9566129032258066
llava-onevision-qwen2-7b-ov-hf,proxy_anchor,,,,,,1545,passed,repope,cal,cal,Diag-kNN-tuned,4,1545,0.475581744010952,0.9687096774193549
