model_alias,model_name,dataset_family,encoder_family,objective,readout,eval_split,metric_split,eval_scope,selected_k,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,num_encoder_train,num_encoder_train_hallucination,num_excluded_false_negative,num_excluded_parsed_none
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,bce,Diag-Classifier,test,test,pooled,,passed,,0.43480523641271684,0.2927399382186886,0.5697730854967019,0.9496595450732719,0.9320983245149911,0.9667182001005531,0.44501408970240186,0.25,0.19243104554201412,1611,1559,52,1545,3971,138,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,supcon,Diag-Classifier,test,test,pooled,,passed,,0.4985255794999422,0.3545994831266615,0.6191433559614834,0.9565179849015641,0.9401693305085713,0.9707777073519565,0.5047477628715835,0.3269230769230769,0.1565105837075048,1611,1559,52,1545,3971,138,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,,passed,,0.4060050681130039,0.28575971103080683,0.5318368967817496,0.801277939507574,0.7118105704175927,0.8870929047034948,0.3360088702847567,0.0,0.9730596536241181,1611,1559,52,1545,3971,138,29,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,bce,Diag-Classifier,test,test,pooled,,passed,,0.48377411044364577,0.3274461424501596,0.6372890800204826,0.9763759780646024,0.9669743449476355,0.9853188233578466,0.4956092973910671,0.39473684210526316,0.09974587039390088,1612,1574,38,1542,3980,168,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,supcon,Diag-Classifier,test,test,pooled,,passed,,0.518842439929197,0.35531789419546705,0.6666995499041731,0.9739182772687756,0.961825412858837,0.9850902723854017,0.5297974261868917,0.42105263157894735,0.08195679796696315,1612,1574,38,1542,3980,168,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,,passed,,0.5277912107194317,0.36115446960518366,0.687958741334802,0.9747709489734502,0.9615899778539136,0.9860870349771406,0.5101710697178611,0.5,0.09212198221092757,1612,1574,38,1542,3980,168,28,0
internvl3.5-8b,internvl3.5-8b,repope,Sphere-Traj-LSTM,bce,Diag-Classifier,test,test,pooled,,passed,,0.5665109996507741,0.47868259994846163,0.658877881932978,0.9215031255376498,0.8824566940677349,0.9524190891951811,0.572444816724984,0.09929078014184398,0.0963611859838275,1625,1484,141,1496,4041,352,15,0
internvl3.5-8b,internvl3.5-8b,repope,Sphere-Traj-LSTM,supcon,Diag-Classifier,test,test,pooled,,passed,,0.6463446205227037,0.5561427713868354,0.7250769570613668,0.9617097742348646,0.9512486738364268,0.9704156681197988,0.6501941583954054,0.2553191489361702,0.10512129380053908,1625,1484,141,1496,4041,352,15,0
internvl3.5-8b,internvl3.5-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,,passed,,0.6678042342995318,0.5831400231044019,0.7398951864302291,0.9440485748695302,0.9235094060553528,0.96080845655772,0.642868744283211,0.22695035460992907,0.2944743935309973,1625,1484,141,1496,4041,352,15,0
minicpm-v-2_6,minicpm-v-2_6,repope,Sphere-Traj-LSTM,bce,Diag-Classifier,test,test,pooled,,passed,,0.16045396727959513,0.07640292596763354,0.28574869545783305,0.8347404720851419,0.6753027486526988,0.9691177969175107,0.19485745762333337,0.2727272727272727,0.9973839110529757,1551,1529,22,1529,3856,80,89,0
