model_alias,model_name,dataset_family,encoder_family,objective,readout,eval_split,metric_split,eval_scope,selected_k,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,num_encoder_train,num_encoder_train_hallucination,num_excluded_false_negative,num_excluded_parsed_none
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,bce,Diag-kNN-tuned,test,test,pooled,32,passed,,0.32431169839869395,0.2356636309433387,0.4420975903537483,0.9621428923866384,0.9504234995928974,0.9728851205073277,0.3505405075259082,0.11538461538461539,0.11674150096215523,1611,1559,52,1545,3971,138,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,supcon,Diag-kNN-tuned,test,test,pooled,32,passed,,0.4014739998385199,0.2555596801227261,0.5399245482719057,0.9396309271229091,0.9216258969164888,0.9564862776345737,0.4124315601940264,0.38461538461538464,0.14881334188582424,1611,1559,52,1545,3971,138,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,16,passed,,0.36418962315375664,0.24718898918412835,0.4960167667413084,0.9534711600138155,0.9380431786862655,0.9673162483747091,0.3803548276777485,0.28846153846153844,0.13470173187940987,1611,1559,52,1545,3971,138,29,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,bce,Diag-kNN-tuned,test,test,pooled,32,passed,,0.0810060340871222,0.057522658364191535,0.10797426617263033,0.8784692035043136,0.8583182665614808,0.8970769130187829,0.08554882265184616,0.0,0.193138500635324,1612,1574,38,1542,3980,168,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,supcon,Diag-kNN-tuned,test,test,pooled,32,passed,,0.49525191917975003,0.34074342759457593,0.6369190485852376,0.9535711897278139,0.9229345471205362,0.9773631562419249,0.5033044925342897,0.39473684210526316,0.2020330368487929,1612,1574,38,1542,3980,168,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,32,passed,,0.4902321098483184,0.32873896233568595,0.6474932543652917,0.9317862636260281,0.8917724611683078,0.9698646248568108,0.49815201171205864,0.42105263157894735,0.44726810673443457,1612,1574,38,1542,3980,168,28,0
internvl3.5-8b,internvl3.5-8b,repope,Sphere-Traj-LSTM,bce,Diag-kNN-tuned,test,test,pooled,32,passed,,0.14816059441490723,0.12477910444707417,0.17736407136635068,0.7482699623406167,0.7206061573102825,0.7738569303634658,0.15295153141064566,0.0,0.41778975741239893,1625,1484,141,1496,4041,352,15,0
internvl3.5-8b,internvl3.5-8b,repope,Sphere-Traj-LSTM,supcon,Diag-kNN-tuned,test,test,pooled,32,passed,,0.6476150400685652,0.5590862797762947,0.7255863667614212,0.9576475311120032,0.9454007337040988,0.9673877655194977,0.650934620437508,0.2553191489361702,0.14285714285714285,1625,1484,141,1496,4041,352,15,0
internvl3.5-8b,internvl3.5-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,32,passed,,0.6100198879313758,0.5191844513828994,0.686391241767249,0.9356827435912141,0.9182982687088269,0.9499885165831531,0.6136404399203408,0.3120567375886525,0.21226415094339623,1625,1484,141,1496,4041,352,15,0
minicpm-v-2_6,minicpm-v-2_6,repope,Sphere-Traj-LSTM,bce,Diag-kNN-tuned,test,test,pooled,1,passed,,0.09353864064318528,0.018969753869240342,0.22781618589104677,0.7349128961293775,0.6408191826636493,0.8207309560049286,0.1090747691171084,0.18181818181818182,0.7880967952910399,1551,1529,22,1529,3856,80,89,0
minicpm-v-2_6,minicpm-v-2_6,repope,Sphere-Traj-LSTM,supcon,Diag-kNN-tuned,test,test,pooled,32,passed,,0.051640222644774816,0.026679261313005055,0.0879329542641241,0.854807063440157,0.8008462874345263,0.9008189305385903,0.06117767239862523,0.0,0.37933289731850883,1551,1529,22,1529,3856,80,89,0
minicpm-v-2_6,minicpm-v-2_6,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,32,passed,,0.18393507702857592,0.034581581657014075,0.35764956860717706,0.8284678042689815,0.7749892399776253,0.8827576312279829,0.18903443787221774,0.13636363636363635,0.3054283845650752,1551,1529,22,1529,3856,80,89,0
gemma-3-12b-it,gemma-3-12b-it,repope,Sphere-Traj-LSTM,bce,Diag-kNN-tuned,test,test,pooled,32,passed,,0.22688358883347873,0.19601324195032221,0.259728239634874,0.826781045751634,0.8081344961196395,0.8464534873221436,0.229471767364915,0.0,0.21597222222222223,1610,1440,170,1443,3978,425,30,0
gemma-3-12b-it,gemma-3-12b-it,repope,Sphere-Traj-LSTM,supcon,Diag-kNN-tuned,test,test,pooled,32,passed,,0.6943478583872695,0.61885433666729,0.7653750160589433,0.9566993464052287,0.9432152969914425,0.9688001541400229,0.6966227218893015,0.23529411764705882,0.14166666666666666,1610,1440,170,1443,3978,425,30,0
gemma-3-12b-it,gemma-3-12b-it,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,32,passed,,0.28035168190561266,0.23000036554422143,0.3310638612827755,0.8173651960784314,0.7939700042397335,0.8410759812597571,0.28279060701263226,0.047058823529411764,0.3840277777777778,1610,1440,170,1443,3978,425,30,0
gemma-4-12b-it,gemma-4-12b-it,repope,Sphere-Traj-LSTM,bce,Diag-kNN-tuned,test,test,pooled,32,passed,,0.106286284671888,0.06525286356251449,0.15585292049872473,0.9213442717328728,0.9015503855840242,0.9406322693370885,0.11821963893565454,0.0,0.11658031088082901,1182,1158,24,1138,2990,64,44,414
