model_alias,model_name,dataset_family,encoder_family,objective,readout,eval_split,metric_split,eval_scope,selected_k,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,num_encoder_train,num_encoder_train_hallucination,num_excluded_false_negative,num_excluded_parsed_none
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,bce,Diag-vMF,test,test,pooled,,passed,,0.47559927544631575,0.3342556086560466,0.6155488987270576,0.9550624167365668,0.9324535394493184,0.973082020490535,0.48531656465782513,0.2692307692307692,0.09429121231558692,1611,1559,52,1545,3971,138,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,supcon,Diag-vMF,test,test,pooled,,passed,,0.4436337219415701,0.29648208327923103,0.5842195098289097,0.9515715202052598,0.932319808343052,0.9688153659625697,0.4554250962916064,0.38461538461538464,0.14753046824887747,1611,1559,52,1545,3971,138,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,,passed,,0.40530677918816044,0.2865890659367684,0.5337352056794351,0.9662012137958258,0.9549945525680928,0.9762480591107434,0.42188270340871964,0.28846153846153844,0.11866581141757537,1611,1559,52,1545,3971,138,29,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,bce,Diag-vMF,test,test,pooled,,passed,,0.5097467095217273,0.35668594906734447,0.6672881447542467,0.9774292784056711,0.9682658964068613,0.9860882084185826,0.5213000053112331,0.39473684210526316,0.09974587039390088,1612,1574,38,1542,3980,168,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,supcon,Diag-vMF,test,test,pooled,,passed,,0.5903022444722603,0.42731187319349623,0.7341086499303691,0.9785160168528055,0.9676681173214489,0.988356427265419,0.5980242909680477,0.5789473684210527,0.10419313850063533,1612,1574,38,1542,3980,168,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,,passed,,0.5148565538770353,0.3502431904103007,0.6713910773171694,0.9581856483648765,0.9249852042081019,0.9808043546499092,0.5231441953776359,0.4473684210526316,0.13532401524777637,1612,1574,38,1542,3980,168,28,0
internvl3.5-8b,internvl3.5-8b,repope,Sphere-Traj-LSTM,bce,Diag-vMF,test,test,pooled,,passed,,0.6441236195354465,0.5510955392847121,0.7357086826415382,0.9671484009099425,0.9587945934647135,0.9752056725618609,0.6495084597891372,0.3191489361702128,0.09703504043126684,1625,1484,141,1496,4041,352,15,0
internvl3.5-8b,internvl3.5-8b,repope,Sphere-Traj-LSTM,supcon,Diag-vMF,test,test,pooled,,passed,,0.6527248881436781,0.5626811865405607,0.7317641350107853,0.9402945843130508,0.9138061563737165,0.9607596754996379,0.6559886060475844,0.2553191489361702,0.15498652291105122,1625,1484,141,1496,4041,352,15,0
internvl3.5-8b,internvl3.5-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,,passed,,0.6881450866596304,0.5953975960517538,0.7623310860489823,0.9666465944065301,0.957753390727289,0.974314763281861,0.6917547042105868,0.2907801418439716,0.10579514824797843,1625,1484,141,1496,4041,352,15,0
minicpm-v-2_6,minicpm-v-2_6,repope,Sphere-Traj-LSTM,bce,Diag-vMF,test,test,pooled,,passed,,0.12667651476336383,0.05900697945564786,0.22683582396701707,0.9308817408882811,0.9027743305029392,0.9580210944053918,0.14955853816426137,0.2727272727272727,0.18247220405493786,1551,1529,22,1529,3856,80,89,0
