model_alias,model_name,dataset_family,encoder_family,objective,readout,eval_split,metric_split,eval_scope,selected_k,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,num_encoder_train,num_encoder_train_hallucination,num_excluded_false_negative,num_excluded_parsed_none
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,bce,Diag-Classifier,test,test,pooled,,passed,,0.43480523641271684,0.2927399382186886,0.5697730854967019,0.9496595450732719,0.9320983245149911,0.9667182001005531,0.44501408970240186,0.25,0.19243104554201412,1611,1559,52,1545,3971,138,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,bce,Diag-kNN-tuned,test,test,pooled,32,passed,,0.32431169839869395,0.2356636309433387,0.4420975903537483,0.9621428923866384,0.9504234995928974,0.9728851205073277,0.3505405075259082,0.11538461538461539,0.11674150096215523,1611,1559,52,1545,3971,138,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,bce,Diag-vMF,test,test,pooled,,passed,,0.47559927544631575,0.3342556086560466,0.6155488987270576,0.9550624167365668,0.9324535394493184,0.973082020490535,0.48531656465782513,0.2692307692307692,0.09429121231558692,1611,1559,52,1545,3971,138,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,bce,Diag-Classifier,test,test,pooled,,passed,,0.23720491717415526,0.14654396042758255,0.342019159258427,0.9005621966407877,0.8767134197763788,0.9226274770957117,0.24264658093349672,0.11320754716981132,0.22887106724244294,1674,1621,53,1653,4161,147,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,bce,Diag-kNN-tuned,test,test,pooled,32,passed,,0.19183548751404275,0.12810616155421195,0.29363690662381164,0.9059746487725956,0.874415966313324,0.93189896912723,0.20576513933424057,0.09433962264150944,0.46946329426280076,1674,1621,53,1653,4161,147,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,bce,Diag-vMF,test,test,pooled,,passed,,0.19367794511097167,0.10854418473195106,0.30336310542615347,0.7698602074191333,0.6852799966950343,0.840880645317673,0.20201280317797754,0.1320754716981132,0.8106107341147439,1674,1621,53,1653,4161,147,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,bce,Diag-Classifier,test,test,pooled,,passed,,0.6648112505744423,0.5943840536117587,0.7314223579974457,0.730020448155406,0.6814028233793508,0.775214260540867,0.6671114952746315,0.06701030927835051,0.8223140495867769,436,242,194,326,1315,507,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,bce,Diag-kNN-tuned,test,test,pooled,32,passed,,0.7109287183964637,0.636171044888079,0.7739857038607991,0.774218284058959,0.729354015700794,0.8186938975503651,0.7126463388436213,0.061855670103092786,0.7727272727272727,436,242,194,326,1315,507,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,bce,Diag-vMF,test,test,pooled,,passed,,0.6166074793659733,0.5448466143718157,0.6865825543125005,0.5787679986367896,0.5181475786166798,0.6336484783383365,0.6185826071604815,0.07731958762886598,0.9628099173553719,436,242,194,326,1315,507,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,supcon,Diag-Classifier,test,test,pooled,,passed,,0.4985255794999422,0.3545994831266615,0.6191433559614834,0.9565179849015641,0.9401693305085713,0.9707777073519565,0.5047477628715835,0.3269230769230769,0.1565105837075048,1611,1559,52,1545,3971,138,29,0
