epoch,loss,model_alias,objective
1.0,0.7351035807001234,llava-onevision-qwen2-7b-ov-hf,bce
2.0,0.37626681493553493,llava-onevision-qwen2-7b-ov-hf,bce
3.0,0.4124225240845251,llava-onevision-qwen2-7b-ov-hf,bce
4.0,0.33708141063809305,llava-onevision-qwen2-7b-ov-hf,bce
5.0,0.3470042374475691,llava-onevision-qwen2-7b-ov-hf,bce
6.0,0.31289347850895144,llava-onevision-qwen2-7b-ov-hf,bce
7.0,0.31733082416105063,llava-onevision-qwen2-7b-ov-hf,bce
8.0,0.25011653132836126,llava-onevision-qwen2-7b-ov-hf,bce
9.0,0.20857300394519815,llava-onevision-qwen2-7b-ov-hf,bce
10.0,0.2253141182251284,llava-onevision-qwen2-7b-ov-hf,bce
11.0,0.23073755286857242,llava-onevision-qwen2-7b-ov-hf,bce
12.0,0.22842379915897384,llava-onevision-qwen2-7b-ov-hf,bce
13.0,0.25717859309015634,llava-onevision-qwen2-7b-ov-hf,bce
14.0,0.18292701733679737,llava-onevision-qwen2-7b-ov-hf,bce
15.0,0.2797361980064553,llava-onevision-qwen2-7b-ov-hf,bce
16.0,0.17582407516390516,llava-onevision-qwen2-7b-ov-hf,bce
17.0,0.18485452089523435,llava-onevision-qwen2-7b-ov-hf,bce
18.0,0.1784978150660974,llava-onevision-qwen2-7b-ov-hf,bce
19.0,0.13366004184462568,llava-onevision-qwen2-7b-ov-hf,bce
20.0,0.15352801957198878,llava-onevision-qwen2-7b-ov-hf,bce
1.0,5.512461413607072,llava-onevision-qwen2-7b-ov-hf,supcon
2.0,5.5102012104004645,llava-onevision-qwen2-7b-ov-hf,supcon
3.0,5.5073589825924385,llava-onevision-qwen2-7b-ov-hf,supcon
4.0,5.499688255009379,llava-onevision-qwen2-7b-ov-hf,supcon
5.0,5.4909113563599075,llava-onevision-qwen2-7b-ov-hf,supcon
6.0,5.5060042582060165,llava-onevision-qwen2-7b-ov-hf,supcon
7.0,5.517410002857094,llava-onevision-qwen2-7b-ov-hf,supcon
8.0,5.506193587294276,llava-onevision-qwen2-7b-ov-hf,supcon
9.0,5.491996176745363,llava-onevision-qwen2-7b-ov-hf,supcon
10.0,5.495164995738644,llava-onevision-qwen2-7b-ov-hf,supcon
1.0,12.723451626868188,llava-onevision-qwen2-7b-ov-hf,proxy_anchor
2.0,11.78475499255205,llava-onevision-qwen2-7b-ov-hf,proxy_anchor
3.0,11.178526983546899,llava-onevision-qwen2-7b-ov-hf,proxy_anchor
4.0,10.564477562694218,llava-onevision-qwen2-7b-ov-hf,proxy_anchor
5.0,10.040813870887497,llava-onevision-qwen2-7b-ov-hf,proxy_anchor
6.0,9.389099250419768,llava-onevision-qwen2-7b-ov-hf,proxy_anchor
7.0,10.686089121583906,llava-onevision-qwen2-7b-ov-hf,proxy_anchor
8.0,10.111656609724703,llava-onevision-qwen2-7b-ov-hf,proxy_anchor
9.0,8.53100765096664,llava-onevision-qwen2-7b-ov-hf,proxy_anchor
10.0,11.62705299782831,llava-onevision-qwen2-7b-ov-hf,proxy_anchor
11.0,10.481856176577597,llava-onevision-qwen2-7b-ov-hf,proxy_anchor
12.0,8.35302177948905,llava-onevision-qwen2-7b-ov-hf,proxy_anchor
13.0,7.161228858623058,llava-onevision-qwen2-7b-ov-hf,proxy_anchor
14.0,8.431016515646794,llava-onevision-qwen2-7b-ov-hf,proxy_anchor
15.0,7.423826523975112,llava-onevision-qwen2-7b-ov-hf,proxy_anchor
16.0,5.26360881151465,llava-onevision-qwen2-7b-ov-hf,proxy_anchor
17.0,5.020157477021728,llava-onevision-qwen2-7b-ov-hf,proxy_anchor
18.0,4.837936383820517,llava-onevision-qwen2-7b-ov-hf,proxy_anchor
19.0,4.616311562988927,llava-onevision-qwen2-7b-ov-hf,proxy_anchor
20.0,5.241741632790807,llava-onevision-qwen2-7b-ov-hf,proxy_anchor
1.0,0.9434060219544262,qwen3-vl-8b,bce
2.0,0.551058897540797,qwen3-vl-8b,bce
3.0,0.44768571272567287,qwen3-vl-8b,bce
4.0,0.414891669094263,qwen3-vl-8b,bce
5.0,0.44120831336058564,qwen3-vl-8b,bce
6.0,0.4163884403118536,qwen3-vl-8b,bce
7.0,0.37625114222866807,qwen3-vl-8b,bce
8.0,0.38282219992211114,qwen3-vl-8b,bce
9.0,0.39059477822864475,qwen3-vl-8b,bce
10.0,0.39455699956596796,qwen3-vl-8b,bce
11.0,0.39408873327113875,qwen3-vl-8b,bce
12.0,0.317543138571589,qwen3-vl-8b,bce
13.0,0.3014538063475834,qwen3-vl-8b,bce
14.0,0.4643079518073767,qwen3-vl-8b,bce
15.0,0.3890043711242963,qwen3-vl-8b,bce
16.0,0.30498552990693545,qwen3-vl-8b,bce
17.0,0.37904879016539633,qwen3-vl-8b,bce
18.0,0.3187910621489712,qwen3-vl-8b,bce
1.0,5.51128227051778,qwen3-vl-8b,supcon
2.0,5.50718752415336,qwen3-vl-8b,supcon
3.0,5.49894400313871,qwen3-vl-8b,supcon
4.0,5.4977722786179735,qwen3-vl-8b,supcon
5.0,5.490799516649102,qwen3-vl-8b,supcon
6.0,5.498686055801621,qwen3-vl-8b,supcon
7.0,5.518549014815134,qwen3-vl-8b,supcon
8.0,5.509753910141375,qwen3-vl-8b,supcon
9.0,5.499846852844085,qwen3-vl-8b,supcon
10.0,5.497651589935149,qwen3-vl-8b,supcon
1.0,12.791494127014774,qwen3-vl-8b,proxy_anchor
2.0,12.15896128553841,qwen3-vl-8b,proxy_anchor
3.0,11.750990220649758,qwen3-vl-8b,proxy_anchor
4.0,11.743878809291514,qwen3-vl-8b,proxy_anchor
5.0,11.16149415442692,qwen3-vl-8b,proxy_anchor
6.0,11.376521993282452,qwen3-vl-8b,proxy_anchor
7.0,10.962434408293298,qwen3-vl-8b,proxy_anchor
8.0,10.723705914751369,qwen3-vl-8b,proxy_anchor
9.0,10.465106703408399,qwen3-vl-8b,proxy_anchor
10.0,10.565755739643347,qwen3-vl-8b,proxy_anchor
11.0,9.831193268359007,qwen3-vl-8b,proxy_anchor
12.0,10.532384211094536,qwen3-vl-8b,proxy_anchor
13.0,10.166358558137214,qwen3-vl-8b,proxy_anchor
14.0,10.250704064680704,qwen3-vl-8b,proxy_anchor
15.0,9.22755487288662,qwen3-vl-8b,proxy_anchor
16.0,9.214180025263648,qwen3-vl-8b,proxy_anchor
17.0,8.77904822431018,qwen3-vl-8b,proxy_anchor
18.0,10.180183954095122,qwen3-vl-8b,proxy_anchor
19.0,9.17788908972812,qwen3-vl-8b,proxy_anchor
20.0,12.24797812131182,qwen3-vl-8b,proxy_anchor
1.0,0.7976015190534207,internvl3.5-8b,bce
2.0,0.5180302877896377,internvl3.5-8b,bce
3.0,0.5102970793352832,internvl3.5-8b,bce
4.0,0.4626516001010938,internvl3.5-8b,bce
5.0,0.45104098700556655,internvl3.5-8b,bce
6.0,0.4376819705910035,internvl3.5-8b,bce
7.0,0.3957552665149006,internvl3.5-8b,bce
8.0,0.39669922649845635,internvl3.5-8b,bce
9.0,0.36254651341158634,internvl3.5-8b,bce
10.0,0.393576938256094,internvl3.5-8b,bce
11.0,0.34958819380876777,internvl3.5-8b,bce
12.0,0.29719887629973657,internvl3.5-8b,bce
13.0,0.3203638153327216,internvl3.5-8b,bce
14.0,0.2886909135045524,internvl3.5-8b,bce
15.0,0.23420666111736893,internvl3.5-8b,bce
16.0,0.28349248792785314,internvl3.5-8b,bce
17.0,0.24903159783459394,internvl3.5-8b,bce
18.0,0.2930929821793085,internvl3.5-8b,bce
19.0,0.2576393669812699,internvl3.5-8b,bce
20.0,0.2396652121645364,internvl3.5-8b,bce
1.0,5.505514147965456,internvl3.5-8b,supcon
2.0,5.490917983547174,internvl3.5-8b,supcon
3.0,5.470874739767035,internvl3.5-8b,supcon
4.0,5.481638355557206,internvl3.5-8b,supcon
5.0,5.456557457354422,internvl3.5-8b,supcon
6.0,5.446988032024056,internvl3.5-8b,supcon
