model_alias,dataset_family,objective,num_bank_correct,embedding_dim,mean_resultant_length,concentration_proxy
llava-onevision-qwen2-7b-ov-hf,repope,bce,1545,128,0.9489064035921877,1211.1837227074425
llava-onevision-qwen2-7b-ov-hf,pope,bce,1653,128,0.877326950762318,484.68874801445355
llava-onevision-qwen2-7b-ov-hf,dash-b,bce,326,128,0.837839065418545,357.87268922910084
llava-onevision-qwen2-7b-ov-hf,repope,supcon,1545,128,0.9952236757924908,13263.91162686737
llava-onevision-qwen2-7b-ov-hf,pope,supcon,1653,128,0.992574685859218,8520.95099558852
llava-onevision-qwen2-7b-ov-hf,dash-b,supcon,326,128,0.9935847370481786,9867.410663672948
llava-onevision-qwen2-7b-ov-hf,repope,proxy_anchor,1545,128,0.9523607607659217,1301.3624379098294
llava-onevision-qwen2-7b-ov-hf,pope,proxy_anchor,1653,128,0.9251752152959185,816.5904489371811
llava-onevision-qwen2-7b-ov-hf,dash-b,proxy_anchor,326,128,0.9443383979487618,1109.1077705467314
qwen3-vl-8b,repope,bce,1542,128,0.8455471088432089,377.56700001607817
qwen3-vl-8b,pope,bce,1609,128,0.7771265316675313,249.9603129214561
qwen3-vl-8b,dash-b,bce,381,128,0.83546939630236,352.185849828487
qwen3-vl-8b,repope,supcon,1542,128,0.9929575111471872,8985.829451019628
qwen3-vl-8b,pope,supcon,1609,128,0.9901625862942566,6424.03183923164
qwen3-vl-8b,dash-b,supcon,381,128,0.9906080284959563,6730.184574461293
qwen3-vl-8b,repope,proxy_anchor,1542,128,0.9763375849398476,2652.426883579303
qwen3-vl-8b,pope,proxy_anchor,1609,128,0.9728347685498069,2306.3324541953434
qwen3-vl-8b,dash-b,proxy_anchor,381,128,0.9941072890216018,10745.175144742152
internvl3.5-8b,repope,bce,1496,128,0.7969536751749048,278.19588543077685
internvl3.5-8b,pope,bce,1620,128,0.6670648438138798,153.30399538951153
internvl3.5-8b,dash-b,bce,361,128,0.4617561365595552,74.99712136838116
internvl3.5-8b,repope,supcon,1496,128,0.9892352713277063,5867.962035718829
internvl3.5-8b,pope,supcon,1620,128,0.9803330583473048,3197.6834333181396
internvl3.5-8b,dash-b,supcon,361,128,0.9674678106728581,1920.6053794041954
internvl3.5-8b,repope,proxy_anchor,1496,128,0.8960576658837419,578.3211784633785
internvl3.5-8b,pope,proxy_anchor,1620,128,0.8708036020644996,458.42794165003943
internvl3.5-8b,dash-b,proxy_anchor,361,128,0.9240810530960579,804.3396593765158
minicpm-v-2_6,repope,bce,1529,128,0.6624054287272451,150.560185536608
minicpm-v-2_6,pope,bce,1582,128,0.6208525376979641,128.9249490284855
minicpm-v-2_6,dash-b,bce,394,128,0.26202738394947145,35.99271521415414
minicpm-v-2_6,repope,supcon,1529,128,0.9985813851630816,44731.1997303883
minicpm-v-2_6,pope,supcon,1582,128,0.998446484520566,40844.259026012114
minicpm-v-2_6,dash-b,supcon,394,128,0.9984589259521148,41174.25243416294
minicpm-v-2_6,repope,proxy_anchor,1529,128,0.8479415702964466,384.08801220191174
minicpm-v-2_6,pope,proxy_anchor,1582,128,0.8365811261336512,354.833476333952
minicpm-v-2_6,dash-b,proxy_anchor,394,128,0.9234053017803615,796.9481469527045
gemma-3-12b-it,repope,bce,1443,128,0.7998059379263738,282.7104494682929
gemma-3-12b-it,pope,bce,1543,128,0.6985383315598815,173.95383196087383
gemma-3-12b-it,dash-b,bce,326,128,0.6378246186039064,137.19630584899193
gemma-3-12b-it,repope,supcon,1443,128,0.9848999528355412,4174.278241241799
gemma-3-12b-it,pope,supcon,1543,128,0.9782879479986191,2893.522784693262
gemma-3-12b-it,dash-b,supcon,326,128,0.9876695054011457,5118.874682477094
gemma-3-12b-it,repope,proxy_anchor,1443,128,0.7703820146909132,241.44869858154848
gemma-3-12b-it,pope,proxy_anchor,1543,128,0.7646597931516567,234.60253412997253
gemma-3-12b-it,dash-b,proxy_anchor,326,128,0.9177239792219611,739.5978636101886
gemma-4-12b-it,repope,bce,1138,128,0.8703929928395367,456.86295435712077
gemma-4-12b-it,pope,bce,1180,128,0.8220896294399073,322.89328862912254
