model_alias,model_name,dataset_family,encoder_family,objective,readout,eval_split,metric_split,eval_scope,negative_budget_ratio,negative_budget_seed,selected_k,budget_status,budget_skip_reason,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,num_encoder_train_correct,num_encoder_train_hard_hallucination_available,num_encoder_train_hard_hallucination_used,num_encoder_train,num_encoder_train_hallucination,num_excluded_false_negative,num_excluded_parsed_none
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,1.0,20260506,,evaluated,,passed,,0.6676221458961045,0.5952403013823069,0.72936730738077,0.6834902445258584,0.6345599369890613,0.7350278396951079,0.6581825016201728,0.0,0.9297520661157025,436,242,194,326,3833,138,138,3971,138,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,1.0,20260506,16,evaluated,,passed,,0.6697047664235327,0.599178236009106,0.7386891737994303,0.7328107693618471,0.6876107040281146,0.7798076807151857,0.6736488275190992,0.06701030927835051,0.8512396694214877,436,242,194,326,3833,138,138,3971,138,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,1.0,20260506,,evaluated,,passed,,0.6429311055826454,0.5707744497752059,0.7157608414984,0.6715515037914288,0.6205144530204917,0.7231598312061092,0.646902127565924,0.06701030927835051,0.9256198347107438,436,242,194,326,3833,138,138,3971,138,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,1.0,20260507,,evaluated,,passed,,0.6610872110104014,0.5921311375124555,0.7261257484084893,0.6724674107523216,0.6210499153282752,0.7228718517742344,0.6425750747194523,0.0,0.9173553719008265,436,242,194,326,3833,138,138,3971,138,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,1.0,20260507,32,evaluated,,passed,,0.6876671254588645,0.6170670601033583,0.7628307148786445,0.7553676407940699,0.7139506894129716,0.8020230753286162,0.6915540050475317,0.0979381443298969,0.8388429752066116,436,242,194,326,3833,138,138,3971,138,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,1.0,20260507,,evaluated,,passed,,0.6293135622637099,0.559002553858496,0.7023939301491112,0.6393243588651273,0.5847827846729098,0.6925862275505827,0.633225613255073,0.0979381443298969,0.9586776859504132,436,242,194,326,3833,138,138,3971,138,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,1.0,20260508,,evaluated,,passed,,0.7275617938385119,0.6521558143410391,0.7888740539149863,0.778339865382977,0.7316283260571899,0.8186598977544765,0.712571440693663,0.0,0.7231404958677686,436,242,194,326,3833,138,138,3971,138,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,1.0,20260508,32,evaluated,,passed,,0.6893996630487182,0.6114796199688972,0.7630425171777289,0.7606713811024962,0.7114975569072232,0.8039666196971701,0.6933261940710485,0.07216494845360824,0.7975206611570248,436,242,194,326,3833,138,138,3971,138,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,1.0,20260508,,evaluated,,passed,,0.6668933321128911,0.5882912541774773,0.7386179729779059,0.7018829343103008,0.646240064475293,0.748062180486691,0.6708016296615054,0.07216494845360824,0.9380165289256198,436,242,194,326,3833,138,138,3971,138,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,0.5,20260506,,evaluated,,passed,,0.6926321752752418,0.6267330760893766,0.7521061525235474,0.7009350771065861,0.6529538534283272,0.7517674731182795,0.6871053514050549,0.0,0.9173553719008265,436,242,194,326,3833,138,69,3902,69,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,0.5,20260506,16,evaluated,,passed,,0.699238675209458,0.6332804066473906,0.7581847884905182,0.7299991479935248,0.684039880970148,0.7727634166344525,0.7004612484464192,0.08247422680412371,0.8140495867768595,436,242,194,326,3833,138,69,3902,69,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,0.5,20260506,,evaluated,,passed,,0.660863140566128,0.5912467006239052,0.7209968326670053,0.646587714066627,0.5914783910997004,0.6984996781665992,0.6621088659152456,0.08247422680412371,0.9380165289256198,436,242,194,326,3833,138,69,3902,69,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,0.5,20260507,,evaluated,,passed,,0.6601758998870577,0.5885658643726531,0.7269210940656678,0.6692936866320185,0.6175441847759504,0.7197971431022648,0.6624459093089683,0.0979381443298969,0.8760330578512396,436,242,194,326,3833,138,69,3902,69,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,0.5,20260507,32,evaluated,,passed,,0.6871390026286583,0.6181627109717994,0.753905782138468,0.7430241969838971,0.6983110657301059,0.7873264499830638,0.6894356815687117,0.12886597938144329,0.7768595041322314,436,242,194,326,3833,138,69,3902,69,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,0.5,20260507,,evaluated,,passed,,0.6795904732904038,0.6111874828525151,0.7445514465032343,0.6919783590355286,0.6412096667899932,0.7411576005758319,0.6818118109406329,0.12886597938144329,0.8925619834710744,436,242,194,326,3833,138,69,3902,69,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,0.5,20260508,,evaluated,,passed,,0.7324310306155803,0.658052425624672,0.7951311747878206,0.7807893839993184,0.7338971165960385,0.8228822375789212,0.7319544894083829,0.07216494845360824,0.7851239669421488,436,242,194,326,3833,138,69,3902,69,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,0.5,20260508,32,evaluated,,passed,,0.661996020886584,0.5832313687382242,0.734807211788107,0.723715600238562,0.676305867130683,0.7706710849049188,0.6657172720085072,0.07731958762886598,0.7644628099173554,436,242,194,326,3833,138,69,3902,69,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,0.5,20260508,,evaluated,,passed,,0.6602299696976149,0.5840569531871632,0.7313896946090193,0.6882721308681945,0.6362497593644996,0.7376287260951536,0.6638353777312749,0.08762886597938144,0.8966942148760331,436,242,194,326,3833,138,69,3902,69,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,0.25,20260506,,evaluated,,passed,,0.6747781887248958,0.6059925835004409,0.739004649324606,0.6812430774473885,0.6301513233705174,0.73405428288755,0.676485095689181,0.06701030927835051,0.871900826446281,436,242,194,326,3833,138,34,3867,34,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,0.25,20260506,32,evaluated,,passed,,0.6300325467449127,0.5540751117337053,0.6971487199132609,0.6983897077617791,0.6509430327154785,0.7469644192755636,0.6317558536768059,0.05670103092783505,0.8057851239669421,436,242,194,326,3833,138,34,3867,34,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,0.25,20260506,,evaluated,,passed,,0.6764406448986351,0.6090020355523574,0.7403952405689446,0.6856522109568033,0.6352171929377812,0.7360039023508188,0.6778152065014227,0.07216494845360824,0.9504132231404959,436,242,194,326,3833,138,34,3867,34,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,0.25,20260507,,evaluated,,passed,,0.7013560679810236,0.6321081341724218,0.7673021865178631,0.748061685268808,0.7035260144892799,0.7932758057491289,0.7030614829995042,0.04639175257731959,0.8677685950413223,436,242,194,326,3833,138,34,3867,34,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,0.25,20260507,32,evaluated,,passed,,0.6619295489833581,0.5955059869141681,0.7321539099010463,0.7412669336286956,0.6984641959639305,0.7832826164333061,0.6640264413951319,0.03608247422680412,0.6818181818181818,436,242,194,326,3833,138,34,3867,34,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,0.25,20260507,,evaluated,,passed,,0.6483490660188773,0.5754896527222123,0.7191601848758951,0.6591335094146715,0.604644440858088,0.7112403856148902,0.650375689187117,0.03608247422680412,0.9834710743801653,436,242,194,326,3833,138,34,3867,34,7,0
