row_type,model_alias,objective,selected_k,selected_on,frozen_for_test,selection_metric,selection_pr_auc,selection_roc_auc,num_bank_correct,negative_budget_ratio,negative_budget_seed,metric_status
selected,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,16,repope/cal,True,pr_auc,0.5430813079806173,0.9737096774193549,1545,1.0,20260506,passed
selected,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,32,repope/cal,True,pr_auc,0.6227280105444711,0.9804301075268818,1545,1.0,20260507,passed
selected,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,32,repope/cal,True,pr_auc,0.586882930913035,0.9730107526881719,1545,1.0,20260508,passed
selected,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,16,repope/cal,True,pr_auc,0.7290087778307004,0.9758064516129032,1545,0.5,20260506,passed
selected,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,32,repope/cal,True,pr_auc,0.5668801804809362,0.9659139784946236,1545,0.5,20260507,passed
selected,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,32,repope/cal,True,pr_auc,0.5341188805786117,0.9453225806451613,1545,0.5,20260508,passed
selected,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,32,repope/cal,True,pr_auc,0.39077345857107154,0.9405913978494624,1545,0.25,20260506,passed
selected,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,32,repope/cal,True,pr_auc,0.5819285547618758,0.9711827956989247,1545,0.25,20260507,passed
selected,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,4,repope/cal,True,pr_auc,0.5600451765601825,0.9672043010752689,1545,0.25,20260508,passed
selected,qwen3-vl-8b,proxy_anchor,32,repope/cal,True,pr_auc,0.8357620723931866,0.9877564102564103,1542,1.0,20260506,passed
selected,qwen3-vl-8b,proxy_anchor,32,repope/cal,True,pr_auc,0.7944694315849616,0.9796153846153846,1542,1.0,20260507,passed
selected,qwen3-vl-8b,proxy_anchor,32,repope/cal,True,pr_auc,0.7875934236596908,0.9742948717948717,1542,1.0,20260508,passed
selected,qwen3-vl-8b,proxy_anchor,32,repope/cal,True,pr_auc,0.7833475189920233,0.9848076923076923,1542,0.5,20260506,passed
selected,qwen3-vl-8b,proxy_anchor,8,repope/cal,True,pr_auc,0.1866065379969642,0.858525641025641,1542,0.5,20260507,passed
selected,qwen3-vl-8b,proxy_anchor,32,repope/cal,True,pr_auc,0.8339821796781468,0.9876923076923078,1542,0.5,20260508,passed
selected,qwen3-vl-8b,proxy_anchor,32,repope/cal,True,pr_auc,0.7767109640207907,0.9910897435897436,1542,0.25,20260506,passed
selected,qwen3-vl-8b,proxy_anchor,32,repope/cal,True,pr_auc,0.665435236034171,0.9721153846153847,1542,0.25,20260507,passed
selected,qwen3-vl-8b,proxy_anchor,32,repope/cal,True,pr_auc,0.7062693740918632,0.9846794871794872,1542,0.25,20260508,passed
selected,internvl3.5-8b,proxy_anchor,32,repope/cal,True,pr_auc,0.7812891885953654,0.9699307442798281,1496,1.0,20260506,passed
selected,internvl3.5-8b,proxy_anchor,32,repope/cal,True,pr_auc,0.39907169609323107,0.8489962303848514,1496,1.0,20260507,passed
selected,internvl3.5-8b,proxy_anchor,32,repope/cal,True,pr_auc,0.4651442482351094,0.924147453318138,1496,1.0,20260508,passed
selected,internvl3.5-8b,proxy_anchor,32,repope/cal,True,pr_auc,0.7132023953953941,0.9571315858683265,1496,0.5,20260506,passed
selected,internvl3.5-8b,proxy_anchor,16,repope/cal,True,pr_auc,0.7705351403750387,0.9782808801613044,1496,0.5,20260507,passed
selected,internvl3.5-8b,proxy_anchor,32,repope/cal,True,pr_auc,0.7854915680216971,0.9761769089155782,1496,0.5,20260508,passed
selected,internvl3.5-8b,proxy_anchor,32,repope/cal,True,pr_auc,0.7106987626965627,0.9728456211098448,1496,0.25,20260506,passed
selected,internvl3.5-8b,proxy_anchor,32,repope/cal,True,pr_auc,0.8075266496259712,0.9815902515998948,1496,0.25,20260507,passed
selected,internvl3.5-8b,proxy_anchor,32,repope/cal,True,pr_auc,0.6265617699274768,0.9508196721311474,1496,0.25,20260508,passed
selected,internvl3.5-8b,proxy_anchor,32,repope/cal,True,pr_auc,0.6817498881218654,0.9462829841325502,1496,0.1,20260506,passed
selected,internvl3.5-8b,proxy_anchor,16,repope/cal,True,pr_auc,0.7494028321459727,0.9744235995441396,1496,0.1,20260507,passed
selected,internvl3.5-8b,proxy_anchor,32,repope/cal,True,pr_auc,0.7017688466006221,0.9638599105812221,1496,0.1,20260508,passed
selected,minicpm-v-2_6,proxy_anchor,32,repope/cal,True,pr_auc,0.0664716205408303,0.8954015544041452,1529,1.0,20260506,passed
selected,minicpm-v-2_6,proxy_anchor,32,repope/cal,True,pr_auc,0.14316982691723537,0.9489421416234888,1529,1.0,20260507,passed
selected,minicpm-v-2_6,proxy_anchor,32,repope/cal,True,pr_auc,0.20565003883429284,0.9220639032815198,1529,1.0,20260508,passed
selected,minicpm-v-2_6,proxy_anchor,32,repope/cal,True,pr_auc,0.01753939279643403,0.552461139896373,1529,0.5,20260506,passed
selected,minicpm-v-2_6,proxy_anchor,32,repope/cal,True,pr_auc,0.06823663330182578,0.8579447322970639,1529,0.5,20260507,passed
selected,minicpm-v-2_6,proxy_anchor,8,repope/cal,True,pr_auc,0.2982294812237885,0.8943221070811744,1529,0.5,20260508,passed
selected,minicpm-v-2_6,proxy_anchor,1,repope/cal,True,pr_auc,0.09664241373728748,0.8072107081174438,1529,0.25,20260506,passed
