model_alias,status,negative_budget_ratio,repope_knn_pr_auc_mean,repope_knn_pr_auc_std,repope_knn_pr_auc_min,repope_knn_pr_auc_max,num_seeds,reason
llava-onevision-qwen2-7b-ov-hf,evaluated,1.0,0.40561455159535464,0.03435125173314083,0.36418962315375664,0.4483041453183607,3,
llava-onevision-qwen2-7b-ov-hf,evaluated,0.5,0.4356216206314603,0.033950354386141135,0.3943178984476094,0.477473522872787,3,
llava-onevision-qwen2-7b-ov-hf,evaluated,0.25,0.3180186937314191,0.03528173630943671,0.2850879273568402,0.366947515507375,3,
llava-onevision-qwen2-7b-ov-hf,missing_or_skipped,0.1,,,,,0,
glm-4.6v-flash,excluded,,,,,,,GLM answer_text is not parseable under frozen yes/no population rules
qwen3-vl-8b,evaluated,1.0,0.4805465482959021,0.02214014660160091,0.449917694527256,0.5014898405121319,3,
qwen3-vl-8b,evaluated,0.5,0.39279965751238183,0.1856666121930775,0.14361887422876593,0.5890827214192454,3,
qwen3-vl-8b,evaluated,0.25,0.44912336500027195,0.03705508096510007,0.40666872175821545,0.49695559196575617,3,
qwen3-vl-8b,missing_or_skipped,0.1,,,,,0,
internvl3.5-8b,evaluated,1.0,0.4830434754547462,0.09550696076047334,0.3796790565517675,0.6100198879313758,3,
internvl3.5-8b,evaluated,0.5,0.5841620385101192,0.028998713362454395,0.5449675267974855,0.6142106461317749,3,
internvl3.5-8b,evaluated,0.25,0.5444309749917458,0.07701965887350934,0.44009900471082597,0.6236925642491759,3,
internvl3.5-8b,evaluated,0.1,0.5295676722550887,0.08877869855465922,0.4477666900444442,0.652954134638071,3,
minicpm-v-2_6,evaluated,1.0,0.23496192527203683,0.08623237678872119,0.1645523084770924,0.3563983903104421,3,
minicpm-v-2_6,evaluated,0.5,0.09598914572146384,0.0858174611505749,0.01441374063537618,0.21459744271916456,3,
minicpm-v-2_6,evaluated,0.25,0.13342769108720773,0.10653644059428705,0.02518666485353864,0.2783112470224808,3,
minicpm-v-2_6,missing_or_skipped,0.1,,,,,0,
gemma-3-12b-it,evaluated,1.0,0.5385366194431312,0.18989858363003853,0.28035168190561266,0.7316416777439727,3,
gemma-3-12b-it,evaluated,0.5,0.6892090624406116,0.030752098403348624,0.6549637264494538,0.7295476744500227,3,
gemma-3-12b-it,evaluated,0.25,0.6829691840048246,0.01893111805198156,0.6644817900473171,0.7089831834418535,3,
gemma-3-12b-it,evaluated,0.1,0.6269267410505636,0.0341014544785662,0.5958652673671908,0.6744066944052325,3,
gemma-4-12b-it,evaluated,1.0,0.24577779110046524,0.03666033311531383,0.20133586440365506,0.291121392702218,3,
gemma-4-12b-it,evaluated,0.5,0.18022854719137718,0.049529430911975626,0.11108389473204527,0.22449672649877192,3,
