model_alias,model_name,dataset_family,encoder_family,objective,readout,eval_split,metric_split,eval_scope,negative_budget_ratio,negative_budget_seed,selected_k,budget_status,budget_skip_reason,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,num_encoder_train_correct,num_encoder_train_hard_hallucination_available,num_encoder_train_hard_hallucination_used,num_encoder_train,num_encoder_train_hallucination,num_excluded_false_negative,num_excluded_parsed_none
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,1.0,20260506,,evaluated,,passed,,0.1830478760153614,0.10832922644775206,0.2675912606029596,0.6684611176422659,0.571512357826788,0.7580607291413791,0.13143592574716115,0.0,0.9888957433682912,1674,1621,53,1653,3833,138,138,3971,138,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,1.0,20260506,16,evaluated,,passed,,0.18559253844053317,0.11890911485229613,0.2734199264803099,0.9123182754647143,0.8945176915877787,0.9307947379726446,0.1931807638114033,0.07547169811320754,0.1863047501542258,1674,1621,53,1653,3833,138,138,3971,138,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,1.0,20260506,,evaluated,,passed,,0.20806624292657905,0.1377260611227802,0.30034780259245997,0.9015282902471106,0.8587735549388918,0.9354743138601594,0.21610210024490184,0.05660377358490566,0.6600863664404688,1674,1621,53,1653,3833,138,138,3971,138,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,1.0,20260507,,evaluated,,passed,,0.22202899498183076,0.1387214986975521,0.3206131853939541,0.7004586034709531,0.6011038372982498,0.7925302308389401,0.14660518965971414,0.0,0.9580505860579889,1674,1621,53,1653,3833,138,138,3971,138,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,1.0,20260507,32,evaluated,,passed,,0.2090165617950249,0.13083116219388044,0.2996670149667564,0.9120505627786248,0.8873175756885384,0.9332786866585482,0.2154272219975816,0.07547169811320754,0.3528685996298581,1674,1621,53,1653,3833,138,138,3971,138,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,1.0,20260507,,evaluated,,passed,,0.20203146763980137,0.1236305969101804,0.29568024133349174,0.8430505278595789,0.7644456316391913,0.9037944407755334,0.20840410220699152,0.09433962264150944,0.9759407772979642,1674,1621,53,1653,3833,138,138,3971,138,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,1.0,20260508,,evaluated,,passed,,0.18847253114968246,0.10827904668587193,0.2723474712414446,0.7553455239602853,0.6755523863180389,0.819513102155823,0.13882275405790356,0.0,0.878470080197409,1674,1621,53,1653,3833,138,138,3971,138,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,1.0,20260508,32,evaluated,,passed,,0.18738872276357627,0.12071768834756942,0.2702259191693771,0.9093850755997346,0.8882062956142146,0.9290502748905545,0.19461712049055474,0.09433962264150944,0.24799506477483035,1674,1621,53,1653,3833,138,138,3971,138,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,1.0,20260508,,evaluated,,passed,,0.20716642075087768,0.13547317284649635,0.28806747896364954,0.9004690791847567,0.8544019354384969,0.9364882708306852,0.2146469253134024,0.11320754716981132,0.6804441702652684,1674,1621,53,1653,3833,138,138,3971,138,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,0.5,20260506,,evaluated,,passed,,0.15217763582931249,0.07656760437397783,0.244042084816921,0.5874314713722021,0.47655154351810036,0.6913291507550953,0.13567196221638464,0.11320754716981132,0.9907464528069093,1674,1621,53,1653,3833,138,69,3902,69,126,0
