model_alias,model_name,dataset_family,encoder_family,objective,readout,eval_split,metric_split,eval_scope,negative_budget_ratio,negative_budget_seed,selected_k,budget_status,budget_skip_reason,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,num_encoder_train_correct,num_encoder_train_hard_hallucination_available,num_encoder_train_hard_hallucination_used,num_encoder_train,num_encoder_train_hallucination,num_excluded_false_negative,num_excluded_parsed_none
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,1.0,20260506,,evaluated,,passed,,0.4060050681130039,0.28575971103080683,0.5318368967817496,0.801277939507574,0.7118105704175927,0.8870929047034948,0.3360088702847567,0.0,0.9730596536241181,1611,1559,52,1545,3833,138,138,3971,138,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,1.0,20260507,,evaluated,,passed,,0.4162516592436281,0.28733744406960365,0.5433677727770422,0.811688952484334,0.7036142329772886,0.8975205246180311,0.35212739797229464,0.3269230769230769,0.9903784477228993,1611,1559,52,1545,3833,138,138,3971,138,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,1.0,20260508,,evaluated,,passed,,0.4424437868520838,0.3089628263790733,0.5779406101553193,0.8663899442443381,0.8089114868184178,0.9195297545685874,0.39292043646859837,0.3269230769230769,0.5689544579858884,1611,1559,52,1545,3833,138,138,3971,138,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,0.5,20260506,,evaluated,,passed,,0.4060671261529088,0.2691270405915876,0.5500582562654216,0.6843267380470716,0.5750645960489406,0.7941096710573097,0.41136494392350315,0.36538461538461536,0.9756254008980115,1611,1559,52,1545,3833,138,69,3902,69,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,0.5,20260507,,evaluated,,passed,,0.3057385948684225,0.18895772757631155,0.438852652327815,0.7728080130261015,0.6732072217129905,0.8579810843547532,0.29986957030891115,0.21153846153846154,0.9057087876844131,1611,1559,52,1545,3833,138,69,3902,69,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,0.5,20260508,,evaluated,,passed,,0.34563301650555495,0.2178517154595297,0.48110364432646324,0.8102333843193369,0.7404769526248399,0.8732710395370101,0.353571577493693,0.15384615384615385,0.5811417575368826,1611,1559,52,1545,3833,138,69,3902,69,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,0.25,20260506,,evaluated,,passed,,0.3296058345330336,0.19778798029132463,0.48043616500007597,0.7546010756402033,0.6619733409326419,0.8439722771548099,0.34229976032385795,0.21153846153846154,0.9121231558691469,1611,1559,52,1545,3833,138,34,3867,34,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,0.25,20260507,,evaluated,,passed,,0.34536239755246434,0.22278030292141682,0.48139605263533153,0.9203384812749791,0.8856327692430117,0.9490189934778512,0.35894532903770693,0.2692307692307692,0.24759461193072482,1611,1559,52,1545,3833,138,34,3867,34,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,0.25,20260508,,evaluated,,passed,,0.4014991061905202,0.2746507870030556,0.5361627278251757,0.9361708689001826,0.9039385946438252,0.961270295425098,0.38704383060610775,0.3076923076923077,0.22193713919178962,1611,1559,52,1545,3833,138,34,3867,34,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,0.1,20260506,,skipped,ratio 0.1 would leave fewer than 20 hard negatives (13),skipped,ratio 0.1 would leave fewer than 20 hard negatives (13),nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,3833,138,0,3833,0,0,0
