model_alias,model_name,dataset_family,encoder_family,objective,readout,eval_split,metric_split,eval_scope,negative_budget_ratio,negative_budget_seed,selected_k,budget_status,budget_skip_reason,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,num_encoder_train_correct,num_encoder_train_hard_hallucination_available,num_encoder_train_hard_hallucination_used,num_encoder_train,num_encoder_train_hallucination,num_excluded_false_negative,num_excluded_parsed_none
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,1.0,20260506,16,evaluated,,passed,,0.36418962315375664,0.24718898918412835,0.4960167667413084,0.9534711600138155,0.9380431786862655,0.9673162483747091,0.3803548276777485,0.28846153846153844,0.13470173187940987,1611,1559,52,1545,3833,138,138,3971,138,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,1.0,20260507,32,evaluated,,passed,,0.4043498863139467,0.2815809566341051,0.5401282701483349,0.9648689988651502,0.9514513293082041,0.9754862135350586,0.42277190929441205,0.3269230769230769,0.11610006414368185,1611,1559,52,1545,3833,138,138,3971,138,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,1.0,20260508,32,evaluated,,passed,,0.4483041453183607,0.318052256249567,0.5882441764094017,0.9645606157793458,0.9503920711118344,0.9769665287008841,0.4665573601043469,0.28846153846153844,0.1603592046183451,1611,1559,52,1545,3833,138,138,3971,138,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,0.5,20260506,16,evaluated,,passed,,0.477473522872787,0.3494191694911393,0.6062303716432047,0.9501282873636947,0.9358034283542593,0.9645963067398033,0.4839225982249443,0.36538461538461536,0.12508017960230916,1611,1559,52,1545,3833,138,69,3902,69,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,0.5,20260507,32,evaluated,,passed,,0.3943178984476094,0.26250267232698016,0.526160270316791,0.9568757092810973,0.9427918641165276,0.9702057707333525,0.40885379787442483,0.21153846153846154,0.14945477870429763,1611,1559,52,1545,3833,138,69,3902,69,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,0.5,20260508,32,evaluated,,passed,,0.43507344057398467,0.30543514845366926,0.5721815607082924,0.9578872058025362,0.9434429962388756,0.9716276849798063,0.4443454715359543,0.1346153846153846,0.14881334188582424,1611,1559,52,1545,3833,138,69,3902,69,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,0.25,20260506,32,evaluated,,passed,,0.3020206383300422,0.18705811043200932,0.43543452149861017,0.9264444663739083,0.906565750851767,0.9461590038145568,0.31485001892278686,0.23076923076923078,0.18537524053880694,1611,1559,52,1545,3833,138,34,3867,34,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,0.25,20260507,32,evaluated,,passed,,0.2850879273568402,0.18429371063172165,0.39969946939645606,0.9416539201657868,0.9231714974193921,0.9564612300161434,0.29840890092620875,0.1346153846153846,0.1539448364336113,1611,1559,52,1545,3833,138,34,3867,34,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,0.25,20260508,4,evaluated,,passed,,0.366947515507375,0.25416711509398965,0.48744766729639294,0.9320570385355503,0.9122004449442103,0.9500507812990666,0.373378985563889,0.23076923076923078,0.2418216805644644,1611,1559,52,1545,3833,138,34,3867,34,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,0.1,20260506,,skipped,ratio 0.1 would leave fewer than 20 hard negatives (13),skipped,ratio 0.1 would leave fewer than 20 hard negatives (13),nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,3833,138,0,3833,0,0,0
