model_alias,model_name,dataset_family,encoder_family,objective,readout,eval_split,metric_split,eval_scope,negative_budget_ratio,negative_budget_seed,selected_k,budget_status,budget_skip_reason,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,num_encoder_train_correct,num_encoder_train_hard_hallucination_available,num_encoder_train_hard_hallucination_used,num_encoder_train,num_encoder_train_hallucination,num_excluded_false_negative,num_excluded_parsed_none
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,1.0,20260506,,evaluated,,passed,,0.40530677918816044,0.2865890659367684,0.5337352056794351,0.9662012137958258,0.9549945525680928,0.9762480591107434,0.42188270340871964,0.28846153846153844,0.11866581141757537,1611,1559,52,1545,3833,138,138,3971,138,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,1.0,20260507,,evaluated,,passed,,0.40676627949904837,0.2786566523105344,0.5402030411798406,0.9657201361819707,0.9527901297551403,0.9759343189232639,0.423933055739471,0.3269230769230769,0.09172546504169339,1611,1559,52,1545,3833,138,138,3971,138,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,1.0,20260508,,evaluated,,passed,,0.4553479751818045,0.32611718195925493,0.5992404263377104,0.969359056594464,0.9572570387312909,0.9785776925331645,0.4735930813814831,0.28846153846153844,0.10262989095574086,1611,1559,52,1545,3833,138,138,3971,138,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,0.5,20260506,,evaluated,,passed,,0.5148725911096345,0.384692054632682,0.6435318231470075,0.9616741500962156,0.9485025191449552,0.9740012853169031,0.5219204729884471,0.36538461538461536,0.12957023733162285,1611,1559,52,1545,3833,138,69,3902,69,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,0.5,20260507,,evaluated,,passed,,0.39930513660985417,0.2709975096263233,0.5330870290707365,0.9614644495978685,0.94938208097165,0.972055747865963,0.41362668641020434,0.21153846153846154,0.12123155869146889,1611,1559,52,1545,3833,138,69,3902,69,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,0.5,20260508,,evaluated,,passed,,0.4179420968695417,0.2894748239449486,0.5449977831824045,0.9562096018157595,0.9407644539861179,0.968896570486962,0.42669796725726317,0.1346153846153846,0.14239897370109045,1611,1559,52,1545,3833,138,69,3902,69,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,0.25,20260506,,evaluated,,passed,,0.4055095784622465,0.2739811595170076,0.5453035276338877,0.9565919968421571,0.9428022050496692,0.9694715325805471,0.4194542564585007,0.23076923076923078,0.13919178960872355,1611,1559,52,1545,3833,138,34,3867,34,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,0.25,20260507,,evaluated,,passed,,0.30977489720112894,0.20335147058387837,0.4256998324153725,0.9424680515123107,0.9170641672167417,0.9614667911037711,0.32396456756507414,0.1346153846153846,0.1276459268762027,1611,1559,52,1545,3833,138,34,3867,34,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,0.25,20260508,,evaluated,,passed,,0.39116109504896657,0.26728454508541755,0.5130394078116483,0.9120738145754183,0.8665163787871042,0.9480156821639892,0.39778795675683354,0.25,0.5208466966003849,1611,1559,52,1545,3833,138,34,3867,34,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,0.1,20260506,,skipped,ratio 0.1 would leave fewer than 20 hard negatives (13),skipped,ratio 0.1 would leave fewer than 20 hard negatives (13),nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,3833,138,0,3833,0,0,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,0.1,20260507,,skipped,ratio 0.1 would leave fewer than 20 hard negatives (13),skipped,ratio 0.1 would leave fewer than 20 hard negatives (13),nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,3833,138,0,3833,0,0,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,0.1,20260508,,skipped,ratio 0.1 would leave fewer than 20 hard negatives (13),skipped,ratio 0.1 would leave fewer than 20 hard negatives (13),nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,3833,138,0,3833,0,0,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,1.0,20260506,,evaluated,,passed,,0.5148565538770353,0.3502431904103007,0.6713910773171694,0.9581856483648765,0.9249852042081019,0.9808043546499092,0.5231441953776359,0.4473684210526316,0.13532401524777637,1612,1574,38,1542,3812,168,168,3980,168,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,1.0,20260507,,evaluated,,passed,,0.5973660500047059,0.4276860702409809,0.7321148810893404,0.9636360596535811,0.9191251049825011,0.9878889087979997,0.6048543459908521,0.5263157894736842,0.11689961880559085,1612,1574,38,1542,3812,168,168,3980,168,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,1.0,20260508,,evaluated,,passed,,0.527208661311724,0.36492610612656684,0.687137738049244,0.9635859024944828,0.9249215568065021,0.9867924248417721,0.5407326789649214,0.5263157894736842,0.12833545108005082,1612,1574,38,1542,3812,168,168,3980,168,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,0.5,20260506,,evaluated,,passed,,0.5442748795189642,0.3849401955778298,0.6946041528524846,0.9801043268909249,0.9708293605013659,0.9894583358848923,0.5557328159089645,0.39473684210526316,0.09021601016518424,1612,1574,38,1542,3812,168,84,3896,84,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,0.5,20260507,,evaluated,,passed,,0.04087426269649359,0.01730444406743432,0.10996318016064315,0.47421922022336654,0.3825411853736258,0.5623662815503732,0.06183082219682605,0.07894736842105263,0.8310038119440915,1612,1574,38,1542,3812,168,84,3896,84,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,0.5,20260508,,evaluated,,passed,,0.5983253469338009,0.436718270998133,0.7455741585337241,0.9657259412826857,0.9234961861215998,0.98899690069694,0.6074126586257586,0.6578947368421053,0.09783989834815757,1612,1574,38,1542,3812,168,84,3896,84,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,0.25,20260506,,evaluated,,passed,,0.4785969812303999,0.31757445941538737,0.6251707362301581,0.9651407744265365,0.9495053540611146,0.9791670143686638,0.486220919778452,0.42105263157894735,0.13532401524777637,1612,1574,38,1542,3812,168,42,3854,42,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,0.25,20260507,,evaluated,,passed,,0.6052567988592655,0.45402086842309475,0.7236696417717664,0.974169063064268,0.959633571881511,0.9844761803633887,0.6089077891098231,0.42105263157894735,0.12198221092757307,1612,1574,38,1542,3812,168,42,3854,42,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,0.25,20260508,,evaluated,,passed,,0.4197061037468756,0.27012589109010154,0.5816009790510542,0.9685347421922023,0.9568604096263437,0.9798752171632059,0.43915169267837273,0.42105263157894735,0.09529860228716645,1612,1574,38,1542,3812,168,42,3854,42,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,0.1,20260506,,skipped,ratio 0.1 would leave fewer than 20 hard negatives (16),skipped,ratio 0.1 would leave fewer than 20 hard negatives (16),nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,3812,168,0,3812,0,0,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,0.1,20260507,,skipped,ratio 0.1 would leave fewer than 20 hard negatives (16),skipped,ratio 0.1 would leave fewer than 20 hard negatives (16),nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,3812,168,0,3812,0,0,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,0.1,20260508,,skipped,ratio 0.1 would leave fewer than 20 hard negatives (16),skipped,ratio 0.1 would leave fewer than 20 hard negatives (16),nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,3812,168,0,3812,0,0,0
internvl3.5-8b,internvl3.5-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,1.0,20260506,,evaluated,,passed,,0.6881450866596304,0.5953975960517538,0.7623310860489823,0.9666465944065301,0.957753390727289,0.974314763281861,0.6917547042105868,0.2907801418439716,0.10579514824797843,1625,1484,141,1496,3689,352,352,4041,352,15,0
internvl3.5-8b,internvl3.5-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,1.0,20260507,,evaluated,,passed,,0.6342455608780494,0.5417163620263006,0.7277250596200049,0.9592055208273594,0.9485574338814663,0.9695731696814831,0.6393433535001628,0.22695035460992907,0.1347708894878706,1625,1484,141,1496,3689,352,352,4041,352,15,0
internvl3.5-8b,internvl3.5-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,1.0,20260508,,evaluated,,passed,,0.6722695646586314,0.5841102451493208,0.7515696281816352,0.964825753665577,0.9544851200714912,0.9740358189915311,0.6761440851307219,0.22695035460992907,0.10579514824797843,1625,1484,141,1496,3689,352,352,4041,352,15,0
internvl3.5-8b,internvl3.5-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,0.5,20260506,,evaluated,,passed,,0.6578509873858334,0.5693288253622902,0.7404584298733881,0.9571313872799221,0.9434290327048948,0.968349026202806,0.6622831070257426,0.3120567375886525,0.14016172506738545,1625,1484,141,1496,3689,352,176,3865,176,15,0
internvl3.5-8b,internvl3.5-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,0.5,20260507,,evaluated,,passed,,0.5892663403602666,0.508786155544538,0.6743382613662912,0.9520464147120109,0.9396088242296402,0.9634538771758792,0.5930518799331725,0.1773049645390071,0.1320754716981132,1625,1484,141,1496,3689,352,176,3865,176,15,0
internvl3.5-8b,internvl3.5-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,0.5,20260508,,evaluated,,passed,,0.5670664513861955,0.48254252650675394,0.6469631789690959,0.9447057024335226,0.9300399777730384,0.9577952877820928,0.5715165396529077,0.1773049645390071,0.19204851752021562,1625,1484,141,1496,3689,352,176,3865,176,15,0
internvl3.5-8b,internvl3.5-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,0.25,20260506,,evaluated,,passed,,0.6430123292989394,0.5603215037103875,0.7375943228647154,0.9551050448280476,0.9393970980368048,0.9697038173793372,0.6514308395181861,0.24822695035460993,0.14824797843665768,1625,1484,141,1496,3689,352,88,3777,88,15,0
internvl3.5-8b,internvl3.5-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,0.25,20260507,,evaluated,,passed,,0.629840909319908,0.5478222620233676,0.7085919164530774,0.9560560876297528,0.9454378993327004,0.9660124071233207,0.6331495834659109,0.19858156028368795,0.14487870619946092,1625,1484,141,1496,3689,352,88,3777,88,15,0
internvl3.5-8b,internvl3.5-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,0.25,20260508,,evaluated,,passed,,0.47074466689210326,0.38907132053455024,0.5513298919794484,0.9020186958765843,0.8769106528389067,0.9242654817179848,0.4768531340086213,0.14184397163120568,0.4609164420485175,1625,1484,141,1496,3689,352,88,3777,88,15,0
internvl3.5-8b,internvl3.5-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,0.1,20260506,,evaluated,,passed,,0.5417997246586685,0.45463167690580575,0.6293105836909596,0.9198734491789489,0.8995215723064588,0.9390296259199825,0.5460400959924548,0.19148936170212766,0.3032345013477089,1625,1484,141,1496,3689,352,35,3724,35,15,0
internvl3.5-8b,internvl3.5-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,0.1,20260507,,evaluated,,passed,,0.4766229417863128,0.3965873365136869,0.56927013769494,0.9311091357458279,0.9105868229454402,0.9484499751066724,0.48468258960486965,0.06382978723404255,0.14487870619946092,1625,1484,141,1496,3689,352,35,3724,35,15,0
internvl3.5-8b,internvl3.5-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,0.1,20260508,,evaluated,,passed,,0.6704633003730537,0.5846782366357817,0.7474019007683469,0.958283152682992,0.9457612909531303,0.9693810791517791,0.6742436593077431,0.3120567375886525,0.09568733153638814,1625,1484,141,1496,3689,352,35,3724,35,15,0
minicpm-v-2_6,minicpm-v-2_6,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,1.0,20260506,,evaluated,,passed,,0.2894127625994421,0.11617195625129167,0.47948493419143257,0.8844758903620905,0.7830317097118432,0.9685807962774061,0.303644570797665,0.2727272727272727,0.644211903204709,1551,1529,22,1529,3776,80,80,3856,80,89,0
minicpm-v-2_6,minicpm-v-2_6,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,1.0,20260507,,evaluated,,passed,,0.18753356761123802,0.08505175343190902,0.36064075325785366,0.8584339140258042,0.7370874042184543,0.9637244246852699,0.23569595136820437,0.36363636363636365,0.7933289731850883,1551,1529,22,1529,3776,80,80,3856,80,89,0
minicpm-v-2_6,minicpm-v-2_6,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,1.0,20260508,,evaluated,,passed,,0.3509800458785306,0.15444848290902324,0.586192274828757,0.8436886854153041,0.6772291197796404,0.9716157496946254,0.3876295406274295,0.5,0.9679529103989536,1551,1529,22,1529,3776,80,80,3856,80,89,0
minicpm-v-2_6,minicpm-v-2_6,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,0.5,20260506,,evaluated,,passed,,0.23649702285904695,0.07008264204195375,0.421519610050307,0.8448778167548605,0.7379244541507751,0.9330475526509548,0.24687322751768587,0.18181818181818182,0.7076520601700458,1551,1529,22,1529,3776,80,40,3816,40,89,0
minicpm-v-2_6,minicpm-v-2_6,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,0.5,20260507,,evaluated,,passed,,0.12960906607340944,0.062209413090105324,0.2332263729602715,0.8662524525833879,0.7634788467107301,0.9515325284288777,0.16111195640660284,0.22727272727272727,0.671026814911707,1551,1529,22,1529,3776,80,40,3816,40,89,0
