model_alias,model_name,dataset_family,encoder_family,objective,readout,eval_split,metric_split,eval_scope,negative_budget_ratio,negative_budget_seed,selected_k,budget_status,budget_skip_reason,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,num_encoder_train_correct,num_encoder_train_hard_hallucination_available,num_encoder_train_hard_hallucination_used,num_encoder_train,num_encoder_train_hallucination,num_excluded_false_negative,num_excluded_parsed_none
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,1.0,20260506,,evaluated,,passed,,0.4060050681130039,0.28575971103080683,0.5318368967817496,0.801277939507574,0.7118105704175927,0.8870929047034948,0.3360088702847567,0.0,0.9730596536241181,1611,1559,52,1545,3833,138,138,3971,138,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,1.0,20260506,16,evaluated,,passed,,0.36418962315375664,0.24718898918412835,0.4960167667413084,0.9534711600138155,0.9380431786862655,0.9673162483747091,0.3803548276777485,0.28846153846153844,0.13470173187940987,1611,1559,52,1545,3833,138,138,3971,138,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,1.0,20260506,,evaluated,,passed,,0.40530677918816044,0.2865890659367684,0.5337352056794351,0.9662012137958258,0.9549945525680928,0.9762480591107434,0.42188270340871964,0.28846153846153844,0.11866581141757537,1611,1559,52,1545,3833,138,138,3971,138,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,1.0,20260506,,evaluated,,passed,,0.1830478760153614,0.10832922644775206,0.2675912606029596,0.6684611176422659,0.571512357826788,0.7580607291413791,0.13143592574716115,0.0,0.9888957433682912,1674,1621,53,1653,3833,138,138,3971,138,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,1.0,20260506,16,evaluated,,passed,,0.18559253844053317,0.11890911485229613,0.2734199264803099,0.9123182754647143,0.8945176915877787,0.9307947379726446,0.1931807638114033,0.07547169811320754,0.1863047501542258,1674,1621,53,1653,3833,138,138,3971,138,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,1.0,20260506,,evaluated,,passed,,0.20806624292657905,0.1377260611227802,0.30034780259245997,0.9015282902471106,0.8587735549388918,0.9354743138601594,0.21610210024490184,0.05660377358490566,0.6600863664404688,1674,1621,53,1653,3833,138,138,3971,138,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,1.0,20260506,,evaluated,,passed,,0.6676221458961045,0.5952403013823069,0.72936730738077,0.6834902445258584,0.6345599369890613,0.7350278396951079,0.6581825016201728,0.0,0.9297520661157025,436,242,194,326,3833,138,138,3971,138,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-tuned,test,test,pooled,1.0,20260506,16,evaluated,,passed,,0.6697047664235327,0.599178236009106,0.7386891737994303,0.7328107693618471,0.6876107040281146,0.7798076807151857,0.6736488275190992,0.06701030927835051,0.8512396694214877,436,242,194,326,3833,138,138,3971,138,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF,test,test,pooled,1.0,20260506,,evaluated,,passed,,0.6429311055826454,0.5707744497752059,0.7157608414984,0.6715515037914288,0.6205144530204917,0.7231598312061092,0.646902127565924,0.06701030927835051,0.9256198347107438,436,242,194,326,3833,138,138,3971,138,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,test,test,pooled,1.0,20260507,,evaluated,,passed,,0.4162516592436281,0.28733744406960365,0.5433677727770422,0.811688952484334,0.7036142329772886,0.8975205246180311,0.35212739797229464,0.3269230769230769,0.9903784477228993,1611,1559,52,1545,3833,138,138,3971,138,29,0
