model_alias,dataset_family,objective,negative_budget_ratio,negative_budget_seed,num_bank_correct,embedding_dim,mean_resultant_length,concentration_proxy
llava-onevision-qwen2-7b-ov-hf,repope,proxy_anchor,1.0,20260506,1545,128,0.9523607607659217,1301.3624379098294
llava-onevision-qwen2-7b-ov-hf,pope,proxy_anchor,1.0,20260506,1653,128,0.9251752152959185,816.5904489371811
llava-onevision-qwen2-7b-ov-hf,dash-b,proxy_anchor,1.0,20260506,326,128,0.9443383979487618,1109.1077705467314
llava-onevision-qwen2-7b-ov-hf,repope,proxy_anchor,1.0,20260507,1545,128,0.9634135667231928,1704.2378090066577
llava-onevision-qwen2-7b-ov-hf,pope,proxy_anchor,1.0,20260507,1653,128,0.9335360515723896,923.4973228316067
llava-onevision-qwen2-7b-ov-hf,dash-b,proxy_anchor,1.0,20260507,326,128,0.9230473118260901,793.084888007173
llava-onevision-qwen2-7b-ov-hf,repope,proxy_anchor,1.0,20260508,1545,128,0.9470503282502066,1167.585619790637
llava-onevision-qwen2-7b-ov-hf,pope,proxy_anchor,1.0,20260508,1653,128,0.9216261418921564,778.0958379312244
llava-onevision-qwen2-7b-ov-hf,dash-b,proxy_anchor,1.0,20260508,326,128,0.937000911266828,976.1054502441832
llava-onevision-qwen2-7b-ov-hf,repope,proxy_anchor,0.5,20260506,1545,128,0.9638491628744446,1725.1585621945067
llava-onevision-qwen2-7b-ov-hf,pope,proxy_anchor,0.5,20260506,1653,128,0.9414893755625301,1053.5076246536469
llava-onevision-qwen2-7b-ov-hf,dash-b,proxy_anchor,0.5,20260506,326,128,0.9448929397470743,1120.5977210392132
llava-onevision-qwen2-7b-ov-hf,repope,proxy_anchor,0.5,20260507,1545,128,0.9494858374821635,1225.449996283103
llava-onevision-qwen2-7b-ov-hf,pope,proxy_anchor,0.5,20260507,1653,128,0.9274072975159886,842.7251682677228
llava-onevision-qwen2-7b-ov-hf,dash-b,proxy_anchor,0.5,20260507,326,128,0.970002399683571,2085.5725303439854
llava-onevision-qwen2-7b-ov-hf,repope,proxy_anchor,0.5,20260508,1545,128,0.9674328052447316,1918.506721874901
llava-onevision-qwen2-7b-ov-hf,pope,proxy_anchor,0.5,20260508,1653,128,0.9557570027223683,1403.742893674426
llava-onevision-qwen2-7b-ov-hf,dash-b,proxy_anchor,0.5,20260508,326,128,0.9777926627842752,2828.2866014225433
llava-onevision-qwen2-7b-ov-hf,repope,proxy_anchor,0.25,20260506,1545,128,0.9516409195587751,1281.508537990705
