model_alias,dataset_family,objective,negative_budget_ratio,negative_budget_seed,num_bank_correct,embedding_dim,mean_resultant_length,concentration_proxy
llava-onevision-qwen2-7b-ov-hf,repope,proxy_anchor,0.5,20260506,1545,128,0.9638491628744446,1725.1585621945067
llava-onevision-qwen2-7b-ov-hf,pope,proxy_anchor,0.5,20260506,1653,128,0.9414893755625301,1053.5076246536469
llava-onevision-qwen2-7b-ov-hf,dash-b,proxy_anchor,0.5,20260506,326,128,0.9448929397470743,1120.5977210392132
llava-onevision-qwen2-7b-ov-hf,repope,proxy_anchor,0.5,20260507,1545,128,0.9494858374821635,1225.449996283103
llava-onevision-qwen2-7b-ov-hf,pope,proxy_anchor,0.5,20260507,1653,128,0.9274072975159886,842.7251682677228
llava-onevision-qwen2-7b-ov-hf,dash-b,proxy_anchor,0.5,20260507,326,128,0.970002399683571,2085.5725303439854
llava-onevision-qwen2-7b-ov-hf,repope,proxy_anchor,0.5,20260508,1545,128,0.9674328052447316,1918.506721874901
llava-onevision-qwen2-7b-ov-hf,pope,proxy_anchor,0.5,20260508,1653,128,0.9557570027223683,1403.742893674426
llava-onevision-qwen2-7b-ov-hf,dash-b,proxy_anchor,0.5,20260508,326,128,0.9777926627842752,2828.2866014225433
qwen3-vl-8b,repope,proxy_anchor,0.5,20260506,1542,128,0.9508633413665061,1260.715337353302
qwen3-vl-8b,pope,proxy_anchor,0.5,20260506,1609,128,0.9430989316737727,1084.2353595870613
qwen3-vl-8b,dash-b,proxy_anchor,0.5,20260506,381,128,0.9851405220941077,4242.364310952008
qwen3-vl-8b,repope,proxy_anchor,0.5,20260507,1542,128,0.9819626972220536,3489.4250279928524
qwen3-vl-8b,pope,proxy_anchor,0.5,20260507,1609,128,0.9817363156389547,3445.784147314919
qwen3-vl-8b,dash-b,proxy_anchor,0.5,20260507,381,128,0.9956192755011566,14464.49513676709
qwen3-vl-8b,repope,proxy_anchor,0.5,20260508,1542,128,0.9556296523867494,1399.6212284500234
qwen3-vl-8b,pope,proxy_anchor,0.5,20260508,1609,128,0.9444459890124146,1111.3191078979662
qwen3-vl-8b,dash-b,proxy_anchor,0.5,20260508,381,128,0.9847255238269247,4126.252418690186
internvl3.5-8b,repope,proxy_anchor,0.5,20260506,1496,128,0.9606316596100405,1581.544329458998
internvl3.5-8b,pope,proxy_anchor,0.5,20260506,1620,128,0.9507686612507745,1258.2283261452671
internvl3.5-8b,dash-b,proxy_anchor,0.5,20260506,361,128,0.9696469069610654,2060.774162568947
internvl3.5-8b,repope,proxy_anchor,0.5,20260507,1496,128,0.9258621468843056,824.46614449009
internvl3.5-8b,pope,proxy_anchor,0.5,20260507,1620,128,0.8969131570936711,583.4069699451209
internvl3.5-8b,dash-b,proxy_anchor,0.5,20260507,361,128,0.8807328193268578,499.5353499648225
internvl3.5-8b,repope,proxy_anchor,0.5,20260508,1496,128,0.9343158883493867,934.8544222958476
internvl3.5-8b,pope,proxy_anchor,0.5,20260508,1620,128,0.9157700011459412,721.6580023211383
internvl3.5-8b,dash-b,proxy_anchor,0.5,20260508,361,128,0.9313077024184118,892.4642613066271
minicpm-v-2_6,repope,proxy_anchor,0.5,20260506,1529,128,0.8852441881775898,520.5514853546638
minicpm-v-2_6,pope,proxy_anchor,0.5,20260506,1582,128,0.8814226954545813,502.6459986033019
minicpm-v-2_6,dash-b,proxy_anchor,0.5,20260506,394,128,0.9748904894341742,2497.7434606167944
minicpm-v-2_6,repope,proxy_anchor,0.5,20260507,1529,128,0.9723800733282413,2267.84253066912
minicpm-v-2_6,pope,proxy_anchor,0.5,20260507,1582,128,0.9713244407466747,2183.1888267532413
minicpm-v-2_6,dash-b,proxy_anchor,0.5,20260507,394,128,0.9934604166066741,9679.237972448214
minicpm-v-2_6,repope,proxy_anchor,0.5,20260508,1529,128,0.9270032650115367,837.8762038554269
minicpm-v-2_6,pope,proxy_anchor,0.5,20260508,1582,128,0.921087608250082,772.5567362845204
minicpm-v-2_6,dash-b,proxy_anchor,0.5,20260508,394,128,0.9498554126756887,1234.7214094596077
gemma-3-12b-it,repope,proxy_anchor,0.5,20260506,1443,128,0.898791692891905,594.8753247774824
gemma-3-12b-it,pope,proxy_anchor,0.5,20260506,1543,128,0.8841594022059419,515.3491883280825
gemma-3-12b-it,dash-b,proxy_anchor,0.5,20260506,326,128,0.943509435776234,1092.3521878791607
gemma-3-12b-it,repope,proxy_anchor,0.5,20260507,1443,128,0.9617419492501026,1628.3739238203123
gemma-3-12b-it,pope,proxy_anchor,0.5,20260507,1543,128,0.9552744163876525,1388.2480789779602
gemma-3-12b-it,dash-b,proxy_anchor,0.5,20260507,326,128,0.9714519067717061,2193.0783699940575
gemma-3-12b-it,repope,proxy_anchor,0.5,20260508,1443,128,0.9240377887161941,803.8624908071146
gemma-3-12b-it,pope,proxy_anchor,0.5,20260508,1543,128,0.9140756368532955,706.7608547916874
gemma-3-12b-it,dash-b,proxy_anchor,0.5,20260508,326,128,0.9531151442760599,1322.8228515824048
gemma-4-12b-it,repope,proxy_anchor,0.5,20260506,1138,128,0.9521895945598324,1296.5873702751069
gemma-4-12b-it,pope,proxy_anchor,0.5,20260506,1180,128,0.9464348812088407,1153.7956488068126
gemma-4-12b-it,dash-b,proxy_anchor,0.5,20260506,397,128,0.9976465462827602,26950.832839272513
gemma-4-12b-it,repope,proxy_anchor,0.5,20260507,1138,128,0.942847217482815,1079.3158727233397
gemma-4-12b-it,pope,proxy_anchor,0.5,20260507,1180,128,0.9391971696688517,1012.5529655770204
gemma-4-12b-it,dash-b,proxy_anchor,0.5,20260507,397,128,0.9980337605355107,32264.36758157032
gemma-4-12b-it,repope,proxy_anchor,0.5,20260508,1138,128,0.9985385314229218,43418.67130675496
gemma-4-12b-it,pope,proxy_anchor,0.5,20260508,1180,128,0.9981504787020616,34302.42707436762
gemma-4-12b-it,dash-b,proxy_anchor,0.5,20260508,397,128,0.999924283550542,838624.5271266312
qwen3.5-4b,repope,proxy_anchor,0.5,20260506,1548,128,0.9425589062479584,1073.7340600987739
qwen3.5-4b,pope,proxy_anchor,0.5,20260506,1622,128,0.9331195338413967,917.5397640845845
qwen3.5-4b,dash-b,proxy_anchor,0.5,20260506,361,128,0.9798475036150931,3119.881060039699
qwen3.5-4b,repope,proxy_anchor,0.5,20260507,1548,128,0.9717797219545187,2218.922380059098
qwen3.5-4b,pope,proxy_anchor,0.5,20260507,1622,128,0.9660527060831879,1839.2145750920258
qwen3.5-4b,dash-b,proxy_anchor,0.5,20260507,361,128,0.9907097035883106,6804.181235472342
qwen3.5-4b,repope,proxy_anchor,0.5,20260508,1548,128,0.9695010799080818,2050.768764619645
qwen3.5-4b,pope,proxy_anchor,0.5,20260508,1622,128,0.9622441540893967,1650.4600925252887
qwen3.5-4b,dash-b,proxy_anchor,0.5,20260508,361,128,0.98451426668808,4069.5352274016514
qwen3.5-9b,repope,proxy_anchor,0.5,20260506,1554,128,0.9686584124977381,1994.7752069066744
qwen3.5-9b,pope,proxy_anchor,0.5,20260506,1642,128,0.9514859618302772,1277.3116731286545
qwen3.5-9b,dash-b,proxy_anchor,0.5,20260506,349,128,0.9888475586672927,5662.881391799978
qwen3.5-9b,repope,proxy_anchor,0.5,20260507,1554,128,0.9597042011572493,1544.4035143953536
qwen3.5-9b,pope,proxy_anchor,0.5,20260507,1642,128,0.9542283323055697,1355.7816760057417
qwen3.5-9b,dash-b,proxy_anchor,0.5,20260507,349,128,0.988081456191221,5296.879815974344
qwen3.5-9b,repope,proxy_anchor,0.5,20260508,1554,128,0.9430404270188296,1083.088073292635
qwen3.5-9b,pope,proxy_anchor,0.5,20260508,1642,128,0.9238636415568365,801.9472740234353
qwen3.5-9b,dash-b,proxy_anchor,0.5,20260508,349,128,0.9854555015678946,4334.914853758072
phi-4-multimodal-instruct,repope,proxy_anchor,0.5,20260506,1496,128,0.913902940535682,705.2753338133425
phi-4-multimodal-instruct,pope,proxy_anchor,0.5,20260506,1572,128,0.9007460824584262,607.2660477973558
phi-4-multimodal-instruct,dash-b,proxy_anchor,0.5,20260506,305,128,0.9349518769331342,944.3179404890061
phi-4-multimodal-instruct,repope,proxy_anchor,0.5,20260507,1496,128,0.9750891488496751,2517.914579068325
phi-4-multimodal-instruct,pope,proxy_anchor,0.5,20260507,1572,128,0.9709573613631933,2155.1935655163375
phi-4-multimodal-instruct,dash-b,proxy_anchor,0.5,20260507,305,128,0.9802472033198927,3183.648197617272
phi-4-multimodal-instruct,repope,proxy_anchor,0.5,20260508,1496,128,0.9779518535401831,2848.9347301841112
phi-4-multimodal-instruct,pope,proxy_anchor,0.5,20260508,1572,128,0.9694506887574705,2047.333558557493
phi-4-multimodal-instruct,dash-b,proxy_anchor,0.5,20260508,305,128,0.9580217814410696,1481.216581690144
phi-3.5-vision-instruct,repope,proxy_anchor,0.5,20260506,1475,128,0.942229582919644,1067.4263387159972
phi-3.5-vision-instruct,pope,proxy_anchor,0.5,20260506,1545,128,0.9273715232515818,842.2936526864063
phi-3.5-vision-instruct,dash-b,proxy_anchor,0.5,20260506,334,128,0.9218914693376873,780.8529046818358
phi-3.5-vision-instruct,repope,proxy_anchor,0.5,20260507,1475,128,0.9760855821343932,2624.1437834335366
phi-3.5-vision-instruct,pope,proxy_anchor,0.5,20260507,1545,128,0.9723288900436471,2263.589061231939
phi-3.5-vision-instruct,dash-b,proxy_anchor,0.5,20260507,334,128,0.9825517321949598,3608.2828664661015
phi-3.5-vision-instruct,repope,proxy_anchor,0.5,20260508,1475,128,0.9533486698361452,1329.6066884616516
phi-3.5-vision-instruct,pope,proxy_anchor,0.5,20260508,1545,128,0.9384693142530539,1000.186064914518
phi-3.5-vision-instruct,dash-b,proxy_anchor,0.5,20260508,334,128,0.8730906132345314,467.3289007560337
gemma-3-4b-it,repope,proxy_anchor,0.5,20260506,1438,128,0.9679174157026111,1947.9672915147057
gemma-3-4b-it,pope,proxy_anchor,0.5,20260506,1538,128,0.9650497374531886,1785.5179565549224
gemma-3-4b-it,dash-b,proxy_anchor,0.5,20260506,305,128,0.9875428188290452,5066.499931808345
gemma-3-4b-it,repope,proxy_anchor,0.5,20260507,1438,128,0.9401097261285836,1028.482328467021
gemma-3-4b-it,pope,proxy_anchor,0.5,20260507,1538,128,0.9343697054636868,935.6481270251933
gemma-3-4b-it,dash-b,proxy_anchor,0.5,20260507,305,128,0.9650698034142985,1786.5620223034305
gemma-3-4b-it,repope,proxy_anchor,0.5,20260508,1438,128,0.9069446073632416,649.9968573587389
gemma-3-4b-it,pope,proxy_anchor,0.5,20260508,1538,128,0.8936227518482985,564.2921715356487
gemma-3-4b-it,dash-b,proxy_anchor,0.5,20260508,305,128,0.9348844935926609,943.3065309086046
molmo-7b-d-0924,repope,proxy_anchor,0.5,20260506,1513,128,0.9640377489326873,1734.3730951653781
molmo-7b-d-0924,pope,proxy_anchor,0.5,20260506,1624,128,0.9512633531485625,1271.3292311609705
molmo-7b-d-0924,dash-b,proxy_anchor,0.5,20260506,346,128,0.9819153270156965,3480.2028172858404
molmo-7b-d-0924,repope,proxy_anchor,0.5,20260507,1513,128,0.853743121538477,400.76634160021854
molmo-7b-d-0924,pope,proxy_anchor,0.5,20260507,1624,128,0.846625068314289,380.4776831876159
molmo-7b-d-0924,dash-b,proxy_anchor,0.5,20260507,346,128,0.9802981226004857,3191.9575186293773
molmo-7b-d-0924,repope,proxy_anchor,0.5,20260508,1513,128,0.9606874808452075,1583.835622193775
molmo-7b-d-0924,pope,proxy_anchor,0.5,20260508,1624,128,0.9516847285570968,1282.6999360288744
molmo-7b-d-0924,dash-b,proxy_anchor,0.5,20260508,346,128,0.9871524210455402,4911.597339641026
minicpm-v-4_5,repope,proxy_anchor,0.5,20260506,1530,128,0.9539124996326399,1346.268945939453
minicpm-v-4_5,pope,proxy_anchor,0.5,20260506,1587,128,0.9383195026813211,997.6768154285442
minicpm-v-4_5,dash-b,proxy_anchor,0.5,20260506,391,128,0.9691344112767268,2026.0287303532925
minicpm-v-4_5,repope,proxy_anchor,0.5,20260507,1530,128,0.923759241349837,800.8033003743125
minicpm-v-4_5,pope,proxy_anchor,0.5,20260507,1587,128,0.9023219490106874,617.6169340480781
minicpm-v-4_5,dash-b,proxy_anchor,0.5,20260507,391,128,0.9239415084876925,802.8025483487634
minicpm-v-4_5,repope,proxy_anchor,0.5,20260508,1530,128,0.8786310442487107,490.2754642712791
minicpm-v-4_5,pope,proxy_anchor,0.5,20260508,1587,128,0.8622507336159171,427.7462188046498
minicpm-v-4_5,dash-b,proxy_anchor,0.5,20260508,391,128,0.9302631313148824,878.5988845085438
llava-v1.5-7b,repope,proxy_anchor,0.5,20260506,1461,128,0.9910912426300252,7096.91690404366
llava-v1.5-7b,pope,proxy_anchor,0.5,20260506,1562,128,0.9896668188689027,6114.3265809076565
llava-v1.5-7b,dash-b,proxy_anchor,0.5,20260506,281,128,0.9968913473983542,20396.05377095419
llava-v1.5-7b,repope,proxy_anchor,0.5,20260507,1461,128,0.9972762125084703,23282.329614660564
llava-v1.5-7b,pope,proxy_anchor,0.5,20260507,1562,128,0.9971282965812456,22081.512789505534
llava-v1.5-7b,dash-b,proxy_anchor,0.5,20260507,281,128,0.9995804581990647,151324.84052184227
llava-v1.5-7b,repope,proxy_anchor,0.5,20260508,1461,128,0.9884312154804011,5457.962235540564
llava-v1.5-7b,pope,proxy_anchor,0.5,20260508,1562,128,0.987098705562569,4891.01768931756
llava-v1.5-7b,dash-b,proxy_anchor,0.5,20260508,281,128,0.9949542865051859,12554.104335985992
qwen2.5-vl-7b,repope,proxy_anchor,0.5,20260506,1531,128,0.952598893531895,1308.063014856758
qwen2.5-vl-7b,pope,proxy_anchor,0.5,20260506,1588,128,0.945629679496418,1136.2249833510164
qwen2.5-vl-7b,dash-b,proxy_anchor,0.5,20260506,384,128,0.9789308253146185,2982.7725957542857
qwen2.5-vl-7b,repope,proxy_anchor,0.5,20260507,1531,128,0.9989961164824314,63223.58366954497
qwen2.5-vl-7b,pope,proxy_anchor,0.5,20260507,1588,128,0.9989547596081088,60720.80729452165
qwen2.5-vl-7b,dash-b,proxy_anchor,0.5,20260507,384,128,0.999776466381357,284042.84726108506
qwen2.5-vl-7b,repope,proxy_anchor,0.5,20260508,1531,128,0.9507229315185564,1257.0305401441296
qwen2.5-vl-7b,pope,proxy_anchor,0.5,20260508,1588,128,0.9456072283287108,1135.7425148721168
qwen2.5-vl-7b,dash-b,proxy_anchor,0.5,20260508,384,128,0.9859755709223189,4496.825314913201
