model_alias,model_name,dataset_family,encoder_family,objective,readout,support_family,eval_split,metric_split,eval_scope,negative_budget_ratio,negative_budget_seed,selected_k,selected_K,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,training_dataset_family,num_encoder_train_correct,num_encoder_train_hard_hallucination_available,num_encoder_train_hard_hallucination_used,num_encoder_train,num_encoder_train_hallucination,num_excluded_false_negative,num_excluded_parsed_none
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,classifier_control,test,test,pooled,0.5,20260506,,,passed,,0.6926321752752418,0.6267330760893766,0.7521061525235474,0.7009350771065861,0.6529538534283272,0.7517674731182795,0.6871053514050549,0.0,0.9173553719008265,436,242,194,326,repope,3833,138,69,3902,69,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260506,16,,passed,,0.699238675209458,0.6332804066473906,0.7581847884905182,0.7299991479935248,0.684039880970148,0.7727634166344525,0.7004612484464192,0.08247422680412371,0.8140495867768595,436,242,194,326,repope,3833,138,69,3902,69,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF-selected,single_vmf,test,test,pooled,0.5,20260506,1,1,passed,,0.660863140566128,0.5912467006239052,0.7209968326670053,0.646587714066627,0.5914783910997004,0.6984996781665992,0.6621088659152456,0.08247422680412371,0.9380165289256198,436,242,194,326,repope,3833,138,69,3902,69,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,classifier_control,test,test,pooled,0.5,20260507,,,passed,,0.6601758998870577,0.5885658643726531,0.7269210940656678,0.6692936866320185,0.6175441847759504,0.7197971431022648,0.6624459093089683,0.0979381443298969,0.8760330578512396,436,242,194,326,repope,3833,138,69,3902,69,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260507,32,,passed,,0.6871390026286583,0.6181627109717994,0.753905782138468,0.7430241969838971,0.6983110657301059,0.7873264499830638,0.6894356815687117,0.12886597938144329,0.7768595041322314,436,242,194,326,repope,3833,138,69,3902,69,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF-selected,single_vmf,test,test,pooled,0.5,20260507,1,1,passed,,0.6795904732904038,0.6111874828525151,0.7445514465032343,0.6919783590355286,0.6412096667899932,0.7411576005758319,0.6818118109406329,0.12886597938144329,0.8925619834710744,436,242,194,326,repope,3833,138,69,3902,69,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,classifier_control,test,test,pooled,0.5,20260508,,,passed,,0.7324310306155803,0.658052425624672,0.7951311747878206,0.7807893839993184,0.7338971165960385,0.8228822375789212,0.7319544894083829,0.07216494845360824,0.7851239669421488,436,242,194,326,repope,3833,138,69,3902,69,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260508,32,,passed,,0.661996020886584,0.5832313687382242,0.734807211788107,0.723715600238562,0.676305867130683,0.7706710849049188,0.6657172720085072,0.07731958762886598,0.7644628099173554,436,242,194,326,repope,3833,138,69,3902,69,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF-selected,single_vmf,test,test,pooled,0.5,20260508,1,1,passed,,0.6602299696976149,0.5840569531871632,0.7313896946090193,0.6882721308681945,0.6362497593644996,0.7376287260951536,0.6638353777312749,0.08762886597938144,0.8966942148760331,436,242,194,326,repope,3833,138,69,3902,69,7,0
qwen3-vl-8b,qwen3-vl-8b,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,classifier_control,test,test,pooled,0.5,20260506,,,passed,,0.8375560878639031,0.7701844706018514,0.8976405461848797,0.9350132625994696,0.9113358926983267,0.9572776581550279,0.8384744111769182,0.22413793103448276,0.31384615384615383,441,325,116,381,repope,3812,168,84,3896,84,2,0
