model_alias,seed,negative_budget_seed,selected_k,best_k,reference_test_pr_auc,best_test_pr_auc,stability_drop_tolerance,stability_band_min_k,stability_band_max_k,stability_band_size,stability_band_values,metric_status,failure_reason
gemma-3-12b-it,20260506,20260506,32,32,0.6831157864223585,0.6831157864223585,0.02,32,32,1,32,passed,
gemma-3-12b-it,20260507,20260507,32,32,0.6549637264494538,0.6549637264494538,0.02,32,32,1,32,passed,
gemma-3-12b-it,20260508,20260508,32,32,0.7295476744500227,0.7295476744500227,0.02,16,32,2,16;32,passed,
gemma-3-4b-it,20260506,20260506,32,32,0.5267333173833945,0.5267333173833945,0.02,16,32,2,16;32,passed,
gemma-3-4b-it,20260507,20260507,32,32,0.4914842685289438,0.4914842685289438,0.02,32,32,1,32,passed,
gemma-3-4b-it,20260508,20260508,32,8,0.5276682985482851,0.5322332829571566,0.02,8,32,3,8;16;32,passed,
gemma-4-12b-it,20260506,20260506,32,32,0.2051050203433144,0.2051050203433144,0.02,32,32,1,32,passed,
gemma-4-12b-it,20260507,20260507,1,1,0.11108389473204527,0.11108389473204527,0.02,1,4,3,1;2;4,passed,
gemma-4-12b-it,20260508,20260508,32,1,0.22449672649877192,0.31403356314870495,0.02,32,32,1,32,passed,
internvl3.5-8b,20260506,20260506,32,32,0.6142106461317749,0.6142106461317749,0.02,16,32,2,16;32,passed,
internvl3.5-8b,20260507,20260507,16,16,0.5933079426010972,0.5933079426010972,0.02,8,32,3,8;16;32,passed,
internvl3.5-8b,20260508,20260508,32,32,0.5449675267974855,0.5449675267974855,0.02,16,32,2,16;32,passed,
llava-onevision-qwen2-7b-ov-hf,20260506,20260506,16,32,0.477473522872787,0.4871974950115707,0.02,16,32,2,16;32,passed,
llava-onevision-qwen2-7b-ov-hf,20260507,20260507,32,32,0.3943178984476094,0.3943178984476094,0.02,32,32,1,32,passed,
llava-onevision-qwen2-7b-ov-hf,20260508,20260508,32,16,0.43507344057398467,0.43802328576325383,0.02,8,32,3,8;16;32,passed,
llava-v1.5-7b,20260506,20260506,32,4,0.4688048232332789,0.4704353699387263,0.02,1,32,6,1;2;4;8;16;32,passed,
llava-v1.5-7b,20260507,20260507,32,16,0.17299065102197125,0.178599739763514,0.02,1,32,6,1;2;4;8;16;32,passed,
llava-v1.5-7b,20260508,20260508,32,32,0.3408339447056635,0.3408339447056635,0.02,32,32,1,32,passed,
minicpm-v-2_6,20260506,20260506,32,32,0.01441374063537618,0.01441374063537618,0.02,1,32,6,1;2;4;8;16;32,passed,
minicpm-v-2_6,20260507,20260507,32,32,0.0589562538098508,0.0589562538098508,0.02,1,32,6,1;2;4;8;16;32,passed,
minicpm-v-2_6,20260508,20260508,8,16,0.21459744271916456,0.30986226645608667,0.02,8,32,3,8;16;32,passed,
minicpm-v-4_5,20260506,20260506,32,16,0.35705805283801867,0.3571231597299425,0.02,16,32,2,16;32,passed,
minicpm-v-4_5,20260507,20260507,32,32,0.29405610004853855,0.29405610004853855,0.02,32,32,1,32,passed,
minicpm-v-4_5,20260508,20260508,2,16,0.06881617081924535,0.10461350969108046,0.02,1,32,6,1;2;4;8;16;32,passed,
molmo-7b-d-0924,20260506,20260506,4,32,0.3636374508243873,0.3959571019547424,0.02,2,32,5,2;4;8;16;32,passed,
molmo-7b-d-0924,20260507,20260507,1,32,0.04307358828947867,0.05330303526966519,0.02,1,32,6,1;2;4;8;16;32,passed,
molmo-7b-d-0924,20260508,20260508,32,32,0.3344737991458404,0.3344737991458404,0.02,32,32,1,32,passed,
phi-3.5-vision-instruct,20260506,20260506,32,32,0.44253770335914405,0.44253770335914405,0.02,16,32,2,16;32,passed,
phi-3.5-vision-instruct,20260507,20260507,32,32,0.42240596236362116,0.42240596236362116,0.02,32,32,1,32,passed,
phi-3.5-vision-instruct,20260508,20260508,32,8,0.4858545138424978,0.545480177240801,0.02,1,32,6,1;2;4;8;16;32,passed,
phi-4-multimodal-instruct,20260506,20260506,8,32,0.37067783963852075,0.4203662572764397,0.02,1,32,6,1;2;4;8;16;32,passed,
phi-4-multimodal-instruct,20260507,20260507,8,32,0.2912147157386645,0.35435875970748276,0.02,2,32,5,2;4;8;16;32,passed,
phi-4-multimodal-instruct,20260508,20260508,32,32,0.36963087021361385,0.36963087021361385,0.02,32,32,1,32,passed,
