model_alias,model_name,dataset_family,encoder_family,objective,readout,support_family,eval_split,metric_split,eval_scope,negative_budget_ratio,negative_budget_seed,selected_k,selected_K,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,training_dataset_family,num_encoder_train_correct,num_encoder_train_hard_hallucination_available,num_encoder_train_hard_hallucination_used,num_encoder_train,num_encoder_train_hallucination,num_excluded_false_negative,num_excluded_parsed_none
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,classifier_control,test,test,pooled,0.5,20260506,,,passed,,0.15217763582931249,0.07656760437397783,0.244042084816921,0.5874314713722021,0.47655154351810036,0.6913291507550953,0.13567196221638464,0.11320754716981132,0.9907464528069093,1674,1621,53,1653,repope,3833,138,69,3902,69,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260506,16,,passed,,0.20807549476028925,0.13285184397088848,0.3064616571363092,0.9082211073993458,0.887830163617171,0.9279175545841554,0.2161046834886038,0.1509433962264151,0.23750771128932757,1674,1621,53,1653,repope,3833,138,69,3902,69,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF-selected,single_vmf,test,test,pooled,0.5,20260506,1,1,passed,,0.20593504375563712,0.12885453311832887,0.30461298231359607,0.8666790823274708,0.8129329563961023,0.9151305222558982,0.21385086358589925,0.11320754716981132,0.7495373226403454,1674,1621,53,1653,repope,3833,138,69,3902,69,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,classifier_control,test,test,pooled,0.5,20260507,,,passed,,0.16195759393330497,0.09022615141316938,0.24884425978696897,0.6930615855574825,0.5957436880801955,0.7864644697390912,0.13683632310810853,0.07547169811320754,0.959284392350401,1674,1621,53,1653,repope,3833,138,69,3902,69,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260507,32,,passed,,0.18504802708351586,0.11497592892987858,0.2840617176866527,0.8960227206592716,0.869099743038599,0.922667118573605,0.19266819721612255,0.07547169811320754,0.3362122146822949,1674,1621,53,1653,repope,3833,138,69,3902,69,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF-selected,single_vmf,test,test,pooled,0.5,20260507,1,1,passed,,0.2149795866765723,0.13699490620990235,0.3147643376253336,0.9024478251254177,0.855826390954455,0.9358721556442937,0.22310962119116318,0.07547169811320754,0.6637877853177051,1674,1621,53,1653,repope,3833,138,69,3902,69,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,classifier_control,test,test,pooled,0.5,20260508,,,passed,,0.13823768042360854,0.07086885443844942,0.21471995335963953,0.7161081559251802,0.644034639412522,0.7800392424078384,0.11375476924287636,0.09433962264150944,0.7334978408389883,1674,1621,53,1653,repope,3833,138,69,3902,69,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260508,32,,passed,,0.13965833417635315,0.09109433794416871,0.2091342478824276,0.8741750375379744,0.8436198901268549,0.9016099033142448,0.14872791258675647,0.09433962264150944,0.35595311536088836,1674,1621,53,1653,repope,3833,138,69,3902,69,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF-selected,single_vmf,test,test,pooled,0.5,20260508,1,1,passed,,0.17259105407993366,0.11585043270711698,0.2506007476773859,0.8802393118619999,0.8285352256048221,0.9212132200401548,0.18229357265733015,0.09433962264150944,0.6841455891425047,1674,1621,53,1653,repope,3833,138,69,3902,69,126,0
qwen3-vl-8b,qwen3-vl-8b,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,classifier_control,test,test,pooled,0.5,20260506,,,passed,,0.241593957009039,0.17158214470710886,0.3349923755639513,0.935567259373792,0.9162090980763904,0.9551315624485128,0.25404460474233753,0.15384615384615385,0.17902010050251257,1644,1592,52,1609,repope,3812,168,84,3896,84,156,0
qwen3-vl-8b,qwen3-vl-8b,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260506,32,,passed,,0.16358819560955756,0.10112752843078299,0.2619331122127901,0.871134518747584,0.8433691589488683,0.899909722720517,0.17296520553933994,0.15384615384615385,0.2757537688442211,1644,1592,52,1609,repope,3812,168,84,3896,84,156,0
