model_alias,model_name,dataset_family,encoder_family,objective,readout,support_family,eval_split,metric_split,eval_scope,negative_budget_ratio,negative_budget_seed,selected_k,selected_K,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,training_dataset_family,num_encoder_train_correct,num_encoder_train_hard_hallucination_available,num_encoder_train_hard_hallucination_used,num_encoder_train,num_encoder_train_hallucination,num_excluded_false_negative,num_excluded_parsed_none
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260506,16,,passed,,0.477473522872787,0.3494191694911393,0.6062303716432047,0.9501282873636947,0.9358034283542593,0.9645963067398033,0.4839225982249443,0.36538461538461536,0.12508017960230916,1611,1559,52,1545,repope,3833,138,69,3902,69,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260507,32,,passed,,0.3943178984476094,0.26250267232698016,0.526160270316791,0.9568757092810973,0.9427918641165276,0.9702057707333525,0.40885379787442483,0.21153846153846154,0.14945477870429763,1611,1559,52,1545,repope,3833,138,69,3902,69,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260508,32,,passed,,0.43507344057398467,0.30543514845366926,0.5721815607082924,0.9578872058025362,0.9434429962388756,0.9716276849798063,0.4443454715359543,0.1346153846153846,0.14881334188582424,1611,1559,52,1545,repope,3833,138,69,3902,69,29,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260506,32,,passed,,0.44569737688913424,0.2926330709648256,0.5973556357143125,0.9510967698789541,0.9243235850591223,0.9771046437782119,0.4559415787502352,0.42105263157894735,0.3418043202033037,1612,1574,38,1542,repope,3812,168,84,3896,84,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260507,8,,passed,,0.14361887422876593,0.08291122116237386,0.23286892075423346,0.8826824048685882,0.8419889418536156,0.9205128758494754,0.16483876870888456,0.15789473684210525,0.30749682337992373,1612,1574,38,1542,repope,3812,168,84,3896,84,28,0
qwen3-vl-8b,qwen3-vl-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260508,32,,passed,,0.5890827214192454,0.41960933509373444,0.7384333172281458,0.9725974720791815,0.9512300664830942,0.9871714312626952,0.5981365234571179,0.6578947368421053,0.17662007623888182,1612,1574,38,1542,repope,3812,168,84,3896,84,28,0
internvl3.5-8b,internvl3.5-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260506,32,,passed,,0.6142106461317749,0.5259828560482966,0.7003322566983781,0.9395777178796048,0.9245219321395756,0.9537964648469649,0.6186174221806212,0.3120567375886525,0.2580862533692722,1625,1484,141,1496,repope,3689,352,176,3865,176,15,0
internvl3.5-8b,internvl3.5-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260507,16,,passed,,0.5933079426010972,0.5055658353586592,0.6789215843069006,0.9422826938884746,0.9248913387768929,0.9583512796954904,0.5968946635862722,0.14184397163120568,0.19878706199460916,1625,1484,141,1496,repope,3689,352,176,3865,176,15,0
internvl3.5-8b,internvl3.5-8b,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260508,32,,passed,,0.5449675267974855,0.4605215398823773,0.6244288313541655,0.9399170346581025,0.9248020108427567,0.9524828228922405,0.5494235486434293,0.1773049645390071,0.1637466307277628,1625,1484,141,1496,repope,3689,352,176,3865,176,15,0
minicpm-v-2_6,minicpm-v-2_6,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260506,32,,passed,,0.01441374063537618,0.007775646037883763,0.025075459046804582,0.4974136393364647,0.3675361511468221,0.6261124669085617,0.01740339944814516,0.0,0.9332897318508829,1551,1529,22,1529,repope,3776,80,40,3816,40,89,0
