model_alias,model_name,dataset_family,encoder_family,objective,readout,support_family,eval_split,metric_split,eval_scope,negative_budget_ratio,negative_budget_seed,selected_k,selected_K,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,training_dataset_family,num_encoder_train_correct,num_encoder_train_hard_hallucination_available,num_encoder_train_hard_hallucination_used,num_encoder_train,num_encoder_train_hallucination,num_excluded_false_negative,num_excluded_parsed_none
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,classifier_control,test,test,pooled,0.5,20260506,,,passed,,0.4060671261529088,0.2691270405915876,0.5500582562654216,0.6843267380470716,0.5750645960489406,0.7941096710573097,0.41136494392350315,0.36538461538461536,0.9756254008980115,1611,1559,52,1545,repope,3833,138,69,3902,69,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260506,16,,passed,,0.477473522872787,0.3494191694911393,0.6062303716432047,0.9501282873636947,0.9358034283542593,0.9645963067398033,0.4839225982249443,0.36538461538461536,0.12508017960230916,1611,1559,52,1545,repope,3833,138,69,3902,69,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF-selected,single_vmf,test,test,pooled,0.5,20260506,1,1,passed,,0.5148725911096345,0.384692054632682,0.6435318231470075,0.9616741500962156,0.9485025191449552,0.9740012853169031,0.5219204729884471,0.36538461538461536,0.12957023733162285,1611,1559,52,1545,repope,3833,138,69,3902,69,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,classifier_control,test,test,pooled,0.5,20260506,,,passed,,0.15217763582931249,0.07656760437397783,0.244042084816921,0.5874314713722021,0.47655154351810036,0.6913291507550953,0.13567196221638464,0.11320754716981132,0.9907464528069093,1674,1621,53,1653,repope,3833,138,69,3902,69,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260506,16,,passed,,0.20807549476028925,0.13285184397088848,0.3064616571363092,0.9082211073993458,0.887830163617171,0.9279175545841554,0.2161046834886038,0.1509433962264151,0.23750771128932757,1674,1621,53,1653,repope,3833,138,69,3902,69,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF-selected,single_vmf,test,test,pooled,0.5,20260506,1,1,passed,,0.20593504375563712,0.12885453311832887,0.30461298231359607,0.8666790823274708,0.8129329563961023,0.9151305222558982,0.21385086358589925,0.11320754716981132,0.7495373226403454,1674,1621,53,1653,repope,3833,138,69,3902,69,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,classifier_control,test,test,pooled,0.5,20260506,,,passed,,0.6926321752752418,0.6267330760893766,0.7521061525235474,0.7009350771065861,0.6529538534283272,0.7517674731182795,0.6871053514050549,0.0,0.9173553719008265,436,242,194,326,repope,3833,138,69,3902,69,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-kNN-selected,nonparametric_knn,test,test,pooled,0.5,20260506,16,,passed,,0.699238675209458,0.6332804066473906,0.7581847884905182,0.7299991479935248,0.684039880970148,0.7727634166344525,0.7004612484464192,0.08247422680412371,0.8140495867768595,436,242,194,326,repope,3833,138,69,3902,69,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,Diag-vMF-selected,single_vmf,test,test,pooled,0.5,20260506,1,1,passed,,0.660863140566128,0.5912467006239052,0.7209968326670053,0.646587714066627,0.5914783910997004,0.6984996781665992,0.6621088659152456,0.08247422680412371,0.9380165289256198,436,242,194,326,repope,3833,138,69,3902,69,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,Diag-Classifier,classifier_control,test,test,pooled,0.5,20260507,,,passed,,0.3057385948684225,0.18895772757631155,0.438852652327815,0.7728080130261015,0.6732072217129905,0.8579810843547532,0.29986957030891115,0.21153846153846154,0.9057087876844131,1611,1559,52,1545,repope,3833,138,69,3902,69,29,0
