model_alias,dataset_family,objective,negative_budget_ratio,negative_budget_seed,support_family,selected_k,selected_K,num_components,num_bank_correct,embedding_dim,mean_support_log_likelihood,weights,concentrations,num_iterations,converged
llava-onevision-qwen2-7b-ov-hf,repope,proxy_anchor,0.5,20260506,single_vmf,1,1,1,1545,128,1662.7926359968556,1.0,1725.1585621945067,1,True
llava-onevision-qwen2-7b-ov-hf,pope,proxy_anchor,0.5,20260506,single_vmf,1,1,1,1653,128,991.8662356855265,1.0,1053.5076246536469,1,True
llava-onevision-qwen2-7b-ov-hf,dash-b,proxy_anchor,0.5,20260506,single_vmf,1,1,1,326,128,1058.844874906614,1.0,1120.5977210392132,1,True
llava-onevision-qwen2-7b-ov-hf,repope,proxy_anchor,0.5,20260507,single_vmf,1,1,1,1545,128,1163.5474160133765,1.0,1225.449996283103,1,True
llava-onevision-qwen2-7b-ov-hf,pope,proxy_anchor,0.5,20260507,single_vmf,1,1,1,1653,128,781.5494708518758,1.0,842.7251682677228,1,True
llava-onevision-qwen2-7b-ov-hf,dash-b,proxy_anchor,0.5,20260507,single_vmf,1,1,1,326,128,2023.0103591478028,1.0,2085.5725303439854,1,True
llava-onevision-qwen2-7b-ov-hf,repope,proxy_anchor,0.5,20260508,single_vmf,1,1,1,1545,128,1856.0263398243096,1.0,1918.506721874901,1,True
llava-onevision-qwen2-7b-ov-hf,pope,proxy_anchor,0.5,20260508,single_vmf,1,1,1,1653,128,1341.637100651094,1.0,1403.742893674426,1,True
llava-onevision-qwen2-7b-ov-hf,dash-b,proxy_anchor,0.5,20260508,single_vmf,1,1,1,326,128,2765.477887122036,1.0,2828.2866014225433,1,True
qwen3-vl-8b,repope,proxy_anchor,0.5,20260506,single_vmf,1,1,1,1542,128,1198.767998187763,1.0,1260.715337353302,1,True
qwen3-vl-8b,pope,proxy_anchor,0.5,20260506,single_vmf,1,1,1,1609,128,1022.5412093094867,1.0,1084.2353595870613,1,True
qwen3-vl-8b,dash-b,proxy_anchor,0.5,20260506,single_vmf,1,1,1,381,128,4179.324992204671,1.0,4242.364310952008,1,True
qwen3-vl-8b,repope,proxy_anchor,0.5,20260507,single_vmf,1,1,1,1542,128,3426.485212242001,1.0,3489.4250279928524,1,True
qwen3-vl-8b,pope,proxy_anchor,0.5,20260507,single_vmf,1,1,1,1609,128,3382.851433272066,1.0,3445.784147314919,1,True
qwen3-vl-8b,dash-b,proxy_anchor,0.5,20260507,single_vmf,1,1,1,381,128,14401.13016855805,1.0,14464.49513676709,1,True
qwen3-vl-8b,repope,proxy_anchor,0.5,20260508,single_vmf,1,1,1,1542,128,1337.519548016811,1.0,1399.6212284500234,1,True
qwen3-vl-8b,pope,proxy_anchor,0.5,20260508,single_vmf,1,1,1,1609,128,1049.5808739670892,1.0,1111.3191078979662,1,True
qwen3-vl-8b,dash-b,proxy_anchor,0.5,20260508,single_vmf,1,1,1,381,128,4063.2260744368086,1.0,4126.252418690186,1,True
internvl3.5-8b,repope,proxy_anchor,0.5,20260506,single_vmf,1,1,1,1496,128,1519.281553955046,1.0,1581.544329458998,1,True
internvl3.5-8b,pope,proxy_anchor,0.5,20260506,single_vmf,1,1,1,1620,128,1196.2840611969384,1.0,1258.2283261452671,1,True
internvl3.5-8b,dash-b,proxy_anchor,0.5,20260506,single_vmf,1,1,1,361,128,1998.223292680259,1.0,2060.774162568947,1,True
internvl3.5-8b,repope,proxy_anchor,0.5,20260507,single_vmf,1,1,1,1496,128,763.3419945710211,1.0,824.46614449009,1,True
internvl3.5-8b,pope,proxy_anchor,0.5,20260507,single_vmf,1,1,1,1620,128,523.2653872839312,1.0,583.4069699451209,1,True
internvl3.5-8b,dash-b,proxy_anchor,0.5,20260507,single_vmf,1,1,1,361,128,439.95717712794675,1.0,499.5353499648225,1,True
internvl3.5-8b,repope,proxy_anchor,0.5,20260508,single_vmf,1,1,1,1496,128,873.4493400446976,1.0,934.8544222958476,1,True
internvl3.5-8b,pope,proxy_anchor,0.5,20260508,single_vmf,1,1,1,1620,128,660.8727496126063,1.0,721.6580023211383,1,True
internvl3.5-8b,dash-b,proxy_anchor,0.5,20260508,single_vmf,1,1,1,361,128,831.1588406880203,1.0,892.4642613066271,1,True
minicpm-v-2_6,repope,proxy_anchor,0.5,20260506,single_vmf,1,1,1,1529,128,460.815177057428,1.0,520.5514853546638,1,True
minicpm-v-2_6,pope,proxy_anchor,0.5,20260506,single_vmf,1,1,1,1582,128,443.04359094838213,1.0,502.6459986033019,1,True
minicpm-v-2_6,dash-b,proxy_anchor,0.5,20260506,single_vmf,1,1,1,394,128,2435.0263448017145,1.0,2497.7434606167944,1,True
minicpm-v-2_6,repope,proxy_anchor,0.5,20260507,single_vmf,1,1,1,1529,128,2205.204886268944,1.0,2267.84253066912,1,True
minicpm-v-2_6,pope,proxy_anchor,0.5,20260507,single_vmf,1,1,1,1582,128,2120.584666190481,1.0,2183.1888267532413,1,True
minicpm-v-2_6,dash-b,proxy_anchor,0.5,20260507,single_vmf,1,1,1,394,128,9615.939788543543,1.0,9679.237972448214,1,True
minicpm-v-2_6,repope,proxy_anchor,0.5,20260508,single_vmf,1,1,1,1529,128,776.7139766494523,1.0,837.8762038554269,1,True
minicpm-v-2_6,pope,proxy_anchor,0.5,20260508,single_vmf,1,1,1,1582,128,711.592436461798,1.0,772.5567362845204,1,True
minicpm-v-2_6,dash-b,proxy_anchor,0.5,20260508,single_vmf,1,1,1,394,128,1172.8068139217633,1.0,1234.7214094596077,1,True
gemma-3-12b-it,repope,proxy_anchor,0.5,20260506,mixture_vmf,8,8,8,1443,128,534.6641609397346,0.9951724137931034;0.000689655172413793;0.000689655172413793;0.000689655172413793;0.000689655172413793;0.000689655172413793;0.000689655172413793;0.000689655172413793,594.8753247774824;1.0;1.0;1.0;1.0;1.0;1.0;1.0,4,True
gemma-3-12b-it,pope,proxy_anchor,0.5,20260506,mixture_vmf,8,8,8,1543,128,455.64630392192464,0.9954838709677419;0.0006451612903225806;0.0006451612903225806;0.0006451612903225806;0.0006451612903225806;0.0006451612903225806;0.0006451612903225806;0.0006451612903225806,515.3491883280825;1.0;1.0;1.0;1.0;1.0;1.0;1.0,4,True
gemma-3-12b-it,dash-b,proxy_anchor,0.5,20260506,mixture_vmf,8,8,8,326,128,1030.6233513461882,0.9789789789789791;0.0030030030030030034;0.0030030030030030034;0.0030030030030030034;0.0030030030030030034;0.0030030030030030034;0.0030030030030030034;0.0030030030030030034,1092.3521878791607;1.0;1.0;1.0;1.0;1.0;1.0;1.0,3,True
gemma-3-12b-it,repope,proxy_anchor,0.5,20260507,mixture_vmf,2,2,2,1443,128,1566.0748188423063,0.9993074792243768;0.0006925207756232688,1628.3739238203123;1.0,3,True
gemma-3-12b-it,pope,proxy_anchor,0.5,20260507,mixture_vmf,2,2,2,1543,128,1326.157225568729,0.9993523316062176;0.0006476683937823834,1388.2480789779602;1.0,3,True
gemma-3-12b-it,dash-b,proxy_anchor,0.5,20260507,mixture_vmf,2,2,2,326,128,2130.467101440981,0.9969418960244648;0.0030581039755351682,2193.0783699940575;1.0,3,True
gemma-3-12b-it,repope,proxy_anchor,0.5,20260508,single_vmf,1,1,1,1443,128,742.7993184372982,1.0,803.8624908071146,1,True
gemma-3-12b-it,pope,proxy_anchor,0.5,20260508,single_vmf,1,1,1,1543,128,646.0328784466911,1.0,706.7608547916874,1,True
gemma-3-12b-it,dash-b,proxy_anchor,0.5,20260508,single_vmf,1,1,1,326,128,1260.8024930376328,1.0,1322.8228515824048,1,True
gemma-4-12b-it,repope,proxy_anchor,0.5,20260506,single_vmf,1,1,1,1138,128,1234.5970024136536,1.0,1296.5873702751069,1,True
gemma-4-12b-it,pope,proxy_anchor,0.5,20260506,single_vmf,1,1,1,1180,128,1091.9924478177527,1.0,1153.7956488068126,1,True
gemma-4-12b-it,dash-b,proxy_anchor,0.5,20260506,single_vmf,1,1,1,397,128,26887.405301544215,1.0,26950.832839272513,1,True
gemma-4-12b-it,repope,proxy_anchor,0.5,20260507,single_vmf,1,1,1,1138,128,1017.6299673822366,1.0,1079.3158727233397,1,True
gemma-4-12b-it,pope,proxy_anchor,0.5,20260507,single_vmf,1,1,1,1180,128,950.9868794097396,1.0,1012.5529655770204,1,True
gemma-4-12b-it,dash-b,proxy_anchor,0.5,20260507,single_vmf,1,1,1,397,128,32200.928108734654,1.0,32264.36758157032,1,True
gemma-4-12b-it,repope,proxy_anchor,0.5,20260508,single_vmf,1,1,1,1138,128,43355.216282981666,1.0,43418.67130675496,1,True
gemma-4-12b-it,pope,proxy_anchor,0.5,20260508,single_vmf,1,1,1,1180,128,34238.98400492262,1.0,34302.42707436762,1,True
gemma-4-12b-it,dash-b,proxy_anchor,0.5,20260508,single_vmf,1,1,1,397,128,838561.0294550088,1.0,838624.5271266312,1,True
qwen3.5-4b,repope,proxy_anchor,0.5,20260506,mixture_vmf,4,4,4,1548,128,1012.0556651788527,0.9980657640232108;0.0006447453255963894;0.0006447453255963894;0.0006447453255963894,1073.7340600987739;1.0;1.0;1.0,3,True
qwen3.5-4b,pope,proxy_anchor,0.5,20260506,mixture_vmf,4,4,4,1622,128,856.1724290834641,0.9981538461538462;0.0006153846153846154;0.0006153846153846154;0.0006153846153846154,917.5397640845845;1.0;1.0;1.0,5,True
qwen3.5-4b,dash-b,proxy_anchor,0.5,20260506,mixture_vmf,4,4,4,361,128,3056.9993923466054,0.9917582417582418;0.0027472527472527475;0.0027472527472527475;0.0027472527472527475,3119.881060039699;1.0;1.0;1.0,5,True
qwen3.5-4b,repope,proxy_anchor,0.5,20260507,single_vmf,1,1,1,1548,128,2156.303773532489,1.0,2218.922380059098,1,True
qwen3.5-4b,pope,proxy_anchor,0.5,20260507,single_vmf,1,1,1,1622,128,1776.778217335292,1.0,1839.2145750920258,1,True
qwen3.5-4b,dash-b,proxy_anchor,0.5,20260507,single_vmf,1,1,1,361,128,6740.968374955949,1.0,6804.181235472342,1,True
qwen3.5-4b,repope,proxy_anchor,0.5,20260508,single_vmf,1,1,1,1548,128,1988.2225319405088,1.0,2050.768764619645,1,True
qwen3.5-4b,pope,proxy_anchor,0.5,20260508,single_vmf,1,1,1,1622,128,1588.1455755903037,1.0,1650.4600925252887,1,True
qwen3.5-4b,dash-b,proxy_anchor,0.5,20260508,single_vmf,1,1,1,361,128,4006.5154901666456,1.0,4069.5352274016514,1,True
qwen3.5-9b,repope,proxy_anchor,0.5,20260506,single_vmf,1,1,1,1554,128,1932.2557852120663,1.0,1994.7752069066744,1,True
qwen3.5-9b,pope,proxy_anchor,0.5,20260506,single_vmf,1,1,1,1642,128,1215.3441258638588,1.0,1277.3116731286545,1,True
qwen3.5-9b,dash-b,proxy_anchor,0.5,20260506,single_vmf,1,1,1,349,128,5599.7264393038495,1.0,5662.881391799978,1,True
qwen3.5-9b,repope,proxy_anchor,0.5,20260507,single_vmf,1,1,1,1554,128,1482.1705410472414,1.0,1544.4035143953536,1,True
qwen3.5-9b,pope,proxy_anchor,0.5,20260507,single_vmf,1,1,1,1642,128,1293.7252876654097,1.0,1355.7816760057417,1,True
qwen3.5-9b,dash-b,proxy_anchor,0.5,20260507,single_vmf,1,1,1,349,128,5233.7487218378155,1.0,5296.879815974344,1,True
qwen3.5-9b,repope,proxy_anchor,0.5,20260508,single_vmf,1,1,1,1554,128,1021.3958391368881,1.0,1083.088073292635,1,True
qwen3.5-9b,pope,proxy_anchor,0.5,20260508,single_vmf,1,1,1,1642,128,740.8899289158694,1.0,801.9472740234353,1,True
qwen3.5-9b,dash-b,proxy_anchor,0.5,20260508,single_vmf,1,1,1,349,128,4271.865691464278,1.0,4334.914853758072,1,True
phi-4-multimodal-instruct,repope,proxy_anchor,0.5,20260506,single_vmf,1,1,1,1496,128,644.5532014592984,1.0,705.2753338133425,1,True
phi-4-multimodal-instruct,pope,proxy_anchor,0.5,20260506,single_vmf,1,1,1,1572,128,546.9925135634796,1.0,607.2660477973558,1,True
phi-4-multimodal-instruct,dash-b,proxy_anchor,0.5,20260506,single_vmf,1,1,1,305,128,882.8918308818281,1.0,944.3179404890061,1,True
phi-4-multimodal-instruct,repope,proxy_anchor,0.5,20260507,single_vmf,1,1,1,1496,128,2455.1911837799207,1.0,2517.914579068325,1,True
phi-4-multimodal-instruct,pope,proxy_anchor,0.5,20260507,single_vmf,1,1,1,1572,128,2092.6010576006747,1.0,2155.1935655163375,1,True
phi-4-multimodal-instruct,dash-b,proxy_anchor,0.5,20260507,single_vmf,1,1,1,305,128,3120.762242068749,1.0,3183.648197617272,1,True
phi-4-multimodal-instruct,repope,proxy_anchor,0.5,20260508,single_vmf,1,1,1,1496,128,2786.120999998553,1.0,2848.9347301841112,1,True
phi-4-multimodal-instruct,pope,proxy_anchor,0.5,20260508,single_vmf,1,1,1,1572,128,1984.7889284598446,1.0,2047.333558557493,1,True
phi-4-multimodal-instruct,dash-b,proxy_anchor,0.5,20260508,single_vmf,1,1,1,305,128,1419.0377482908434,1.0,1481.216581690144,1,True
phi-3.5-vision-instruct,repope,proxy_anchor,0.5,20260506,single_vmf,1,1,1,1475,128,1005.7606739258168,1.0,1067.4263387159972,1,True
phi-3.5-vision-instruct,pope,proxy_anchor,0.5,20260506,single_vmf,1,1,1,1545,128,781.1191477169313,1.0,842.2936526864063,1,True
phi-3.5-vision-instruct,dash-b,proxy_anchor,0.5,20260506,single_vmf,1,1,1,334,128,719.8616316337386,1.0,780.8529046818358,1,True
phi-3.5-vision-instruct,repope,proxy_anchor,0.5,20260507,single_vmf,1,1,1,1475,128,2561.388912457073,1.0,2624.1437834335366,1,True
phi-3.5-vision-instruct,pope,proxy_anchor,0.5,20260507,single_vmf,1,1,1,1545,128,2200.9530394225926,1.0,2263.589061231939,1,True
phi-3.5-vision-instruct,dash-b,proxy_anchor,0.5,20260507,single_vmf,1,1,1,334,128,3545.3245806956634,1.0,3608.2828664661015,1,True
phi-3.5-vision-instruct,repope,proxy_anchor,0.5,20260508,single_vmf,1,1,1,1475,128,1267.5787678501574,1.0,1329.6066884616516,1,True
phi-3.5-vision-instruct,pope,proxy_anchor,0.5,20260508,single_vmf,1,1,1,1545,128,938.6439304657882,1.0,1000.186064914518,1,True
phi-3.5-vision-instruct,dash-b,proxy_anchor,0.5,20260508,single_vmf,1,1,1,334,128,408.02047654330494,1.0,467.3289007560337,1,True
gemma-3-4b-it,repope,proxy_anchor,0.5,20260506,single_vmf,1,1,1,1438,128,1885.4714666761288,1.0,1947.9672915147057,1,True
gemma-3-4b-it,pope,proxy_anchor,0.5,20260506,single_vmf,1,1,1,1538,128,1723.1136351912814,1.0,1785.5179565549224,1,True
gemma-3-4b-it,dash-b,proxy_anchor,0.5,20260506,single_vmf,1,1,1,305,128,5003.385624255177,1.0,5066.499931808345,1,True
gemma-3-4b-it,repope,proxy_anchor,0.5,20260507,mixture_vmf,2,2,2,1438,128,966.8855449746127,0.9993050729673383;0.0006949270326615704,1028.482328467021;1.0,4,True
gemma-3-4b-it,pope,proxy_anchor,0.5,20260507,mixture_vmf,2,2,2,1538,128,874.2406148824069,0.9993502274204028;0.000649772579597141,935.6481270251933;1.0,4,True
gemma-3-4b-it,dash-b,proxy_anchor,0.5,20260507,mixture_vmf,2,2,2,305,128,1724.1537863264784,0.9967320261437909;0.0032679738562091504,1786.5620223034305;1.0,3,True
gemma-3-4b-it,repope,proxy_anchor,0.5,20260508,single_vmf,1,1,1,1438,128,589.5111445845623,1.0,649.9968573587389,1,True
gemma-3-4b-it,pope,proxy_anchor,0.5,20260508,single_vmf,1,1,1,1538,128,504.26432317413855,1.0,564.2921715356487,1,True
gemma-3-4b-it,dash-b,proxy_anchor,0.5,20260508,single_vmf,1,1,1,305,128,881.8826484511404,1.0,943.3065309086046,1,True
molmo-7b-d-0924,repope,proxy_anchor,0.5,20260506,single_vmf,1,1,1,1513,128,1672.001134472649,1.0,1734.3730951653781,1,True
molmo-7b-d-0924,pope,proxy_anchor,0.5,20260506,single_vmf,1,1,1,1624,128,1209.3689073899686,1.0,1271.3292311609705,1,True
molmo-7b-d-0924,dash-b,proxy_anchor,0.5,20260506,single_vmf,1,1,1,346,128,3417.2644874161747,1.0,3480.2028172858404,1,True
molmo-7b-d-0924,repope,proxy_anchor,0.5,20260507,mixture_vmf,2,2,2,1513,128,13010.694179220067,0.9041639123832362;0.09583608761676371,523.5819026247373;25175.532079592616,100,False
molmo-7b-d-0924,pope,proxy_anchor,0.5,20260507,mixture_vmf,2,2,2,1624,128,9971.766612588559,0.8909704190876601;0.10902958091233997,531.2820593247967;20216.91825489941,100,False
molmo-7b-d-0924,dash-b,proxy_anchor,0.5,20260507,mixture_vmf,2,2,2,346,128,3129.0670769279945,0.9971181556195966;0.0028818443804034585,3191.9575186293773;1.0,3,True
molmo-7b-d-0924,repope,proxy_anchor,0.5,20260508,single_vmf,1,1,1,1513,128,1521.5710539582394,1.0,1583.835622193775,1,True
molmo-7b-d-0924,pope,proxy_anchor,0.5,20260508,single_vmf,1,1,1,1624,128,1220.7259404398449,1.0,1282.6999360288744,1,True
molmo-7b-d-0924,dash-b,proxy_anchor,0.5,20260508,single_vmf,1,1,1,346,128,4848.495205027474,1.0,4911.597339641026,1,True
minicpm-v-4_5,repope,proxy_anchor,0.5,20260506,single_vmf,1,1,1,1530,128,1284.222775398903,1.0,1346.268945939453,1,True
minicpm-v-4_5,pope,proxy_anchor,0.5,20260506,single_vmf,1,1,1,1587,128,936.1396132895958,1.0,997.6768154285442,1,True
minicpm-v-4_5,dash-b,proxy_anchor,0.5,20260506,single_vmf,1,1,1,391,128,1963.494160820673,1.0,2026.0287303532925,1,True
minicpm-v-4_5,repope,proxy_anchor,0.5,20260507,single_vmf,1,1,1,1530,128,739.7494492242207,1.0,800.8033003743125,1,True
minicpm-v-4_5,pope,proxy_anchor,0.5,20260507,single_vmf,1,1,1,1587,128,557.2893156722672,1.0,617.6169340480781,1,True
minicpm-v-4_5,dash-b,proxy_anchor,0.5,20260507,single_vmf,1,1,1,391,128,741.7425975391203,1.0,802.8025483487634,1,True
minicpm-v-4_5,repope,proxy_anchor,0.5,20260508,single_vmf,1,1,1,1530,128,430.7712431421954,1.0,490.2754642712791,1,True
minicpm-v-4_5,pope,proxy_anchor,0.5,20260508,single_vmf,1,1,1,1587,128,368.8244909657438,1.0,427.7462188046498,1,True
minicpm-v-4_5,dash-b,proxy_anchor,0.5,20260508,single_vmf,1,1,1,391,128,817.3281494726807,1.0,878.5988845085438,1,True
llava-v1.5-7b,repope,proxy_anchor,0.5,20260506,single_vmf,1,1,1,1461,128,7033.692193270663,1.0,7096.91690404366,1,True
llava-v1.5-7b,pope,proxy_anchor,0.5,20260506,single_vmf,1,1,1,1562,128,6051.146136852455,1.0,6114.3265809076565,1,True
llava-v1.5-7b,dash-b,proxy_anchor,0.5,20260506,single_vmf,1,1,1,281,128,20332.649525335804,1.0,20396.05377095419,1,True
llava-v1.5-7b,repope,proxy_anchor,0.5,20260507,single_vmf,1,1,1,1461,128,23218.91349648248,1.0,23282.329614660564,1,True
llava-v1.5-7b,pope,proxy_anchor,0.5,20260507,single_vmf,1,1,1,1562,128,22018.101233736645,1.0,22081.512789505534,1,True
llava-v1.5-7b,dash-b,proxy_anchor,0.5,20260507,single_vmf,1,1,1,281,128,151261.35342572347,1.0,151324.84052184227,1,True
llava-v1.5-7b,repope,proxy_anchor,0.5,20260508,mixture_vmf,2,2,2,1461,128,5394.819562292927,0.9993160054719562;0.0006839945280437756,5457.962235540564;1.0,3,True
llava-v1.5-7b,pope,proxy_anchor,0.5,20260508,mixture_vmf,2,2,2,1562,128,4827.916590008968,0.9993602047344851;0.0006397952655150352,4891.01768931756;1.0,3,True
llava-v1.5-7b,dash-b,proxy_anchor,0.5,20260508,mixture_vmf,2,2,2,281,128,12490.756369921,0.9964539007092198;0.0035460992907801413,12554.104335985992;1.0,4,True
qwen2.5-vl-7b,repope,proxy_anchor,0.5,20260506,single_vmf,1,1,1,1531,128,1246.0593806225422,1.0,1308.063014856758,1,True
qwen2.5-vl-7b,pope,proxy_anchor,0.5,20260506,single_vmf,1,1,1,1588,128,1074.4480668420442,1.0,1136.2249833510164,1,True
qwen2.5-vl-7b,dash-b,proxy_anchor,0.5,20260506,single_vmf,1,1,1,384,128,2919.92803888757,1.0,2982.7725957542857,1,True
qwen2.5-vl-7b,repope,proxy_anchor,0.5,20260507,single_vmf,1,1,1,1531,128,63160.114555977496,1.0,63223.58366954497,1,True
qwen2.5-vl-7b,pope,proxy_anchor,0.5,20260507,single_vmf,1,1,1,1588,128,60657.339454109184,1.0,60720.80729452165,1,True
qwen2.5-vl-7b,dash-b,proxy_anchor,0.5,20260507,single_vmf,1,1,1,384,128,283979.3541355871,1.0,284042.84726108506,1,True
qwen2.5-vl-7b,repope,proxy_anchor,0.5,20260508,single_vmf,1,1,1,1531,128,1195.0877601341817,1.0,1257.0305401441296,1,True
qwen2.5-vl-7b,pope,proxy_anchor,0.5,20260508,single_vmf,1,1,1,1588,128,1073.9663315833022,1.0,1135.7425148721168,1,True
qwen2.5-vl-7b,dash-b,proxy_anchor,0.5,20260508,single_vmf,1,1,1,384,128,4433.759907209478,1.0,4496.825314913201,1,True
