model_alias,seed,negative_budget_seed,selected_k,selected_K,best_k,best_K,reference_test_pr_auc,best_test_pr_auc,stability_drop_tolerance,stability_band_min_k,stability_band_max_k,stability_band_min_K,stability_band_max_K,stability_band_size,stability_band_values,metric_status,failure_reason
gemma-3-12b-it,20260506,20260506,8,8,1,1,0.736456434544031,0.736456434544031,0.02,4,8,4,8,2,4;8,passed,
gemma-3-12b-it,20260507,20260507,2,2,2,2,0.6791266445807349,0.6791266445807349,0.02,1,8,1,8,4,1;2;4;8,passed,
gemma-3-12b-it,20260508,20260508,1,1,1,1,0.7481414622191944,0.7481414622191944,0.02,1,8,1,8,4,1;2;4;8,passed,
gemma-3-4b-it,20260506,20260506,1,1,4,4,0.6336209705396364,0.6336209705396365,0.02,1,8,1,8,4,1;2;4;8,passed,
gemma-3-4b-it,20260507,20260507,2,2,1,1,0.6026776164934454,0.6026776164934454,0.02,1,8,1,8,4,1;2;4;8,passed,
gemma-3-4b-it,20260508,20260508,1,1,1,1,0.5940865923262071,0.5940865923262071,0.02,1,1,1,1,1,1,passed,
gemma-4-12b-it,20260506,20260506,1,1,1,1,0.22062268580349298,0.22062268580349298,0.02,1,8,1,8,4,1;2;4;8,passed,
gemma-4-12b-it,20260507,20260507,1,1,1,1,0.23369001197253228,0.23369001197253228,0.02,1,8,1,8,4,1;2;4;8,passed,
gemma-4-12b-it,20260508,20260508,1,1,2,2,0.20641255637537134,0.20641255637537137,0.02,1,8,1,8,4,1;2;4;8,passed,
internvl3.5-8b,20260506,20260506,1,1,1,1,0.6578509873858334,0.6578509873858334,0.02,1,8,1,8,4,1;2;4;8,passed,
internvl3.5-8b,20260507,20260507,1,1,1,1,0.5892663403602666,0.5892663403602666,0.02,1,1,1,1,1,1,passed,
internvl3.5-8b,20260508,20260508,1,1,1,1,0.5670664513861955,0.5670664513861955,0.02,1,1,1,1,1,1,passed,
llava-onevision-qwen2-7b-ov-hf,20260506,20260506,1,1,1,1,0.5148725911096345,0.5148725911096345,0.02,1,1,1,1,1,1,passed,
llava-onevision-qwen2-7b-ov-hf,20260507,20260507,1,1,1,1,0.39930513660985417,0.39930513660985417,0.02,1,1,1,1,1,1,passed,
llava-onevision-qwen2-7b-ov-hf,20260508,20260508,1,1,1,1,0.4179420968695417,0.4179420968695417,0.02,1,8,1,8,4,1;2;4;8,passed,
llava-v1.5-7b,20260506,20260506,1,1,2,2,0.505976747412435,0.5059767474124351,0.02,1,8,1,8,4,1;2;4;8,passed,
llava-v1.5-7b,20260507,20260507,1,1,2,2,0.18039374171281952,0.18039393245612717,0.02,1,8,1,8,4,1;2;4;8,passed,
llava-v1.5-7b,20260508,20260508,2,2,1,1,0.425192303078308,0.425192303078308,0.02,1,8,1,8,4,1;2;4;8,passed,
minicpm-v-2_6,20260506,20260506,1,1,1,1,0.23649702285904695,0.23649702285904695,0.02,1,8,1,8,4,1;2;4;8,passed,
minicpm-v-2_6,20260507,20260507,1,1,1,1,0.12960906607340944,0.12960906607340944,0.02,1,8,1,8,4,1;2;4;8,passed,
minicpm-v-2_6,20260508,20260508,1,1,1,1,0.33679012532011376,0.33679012532011376,0.02,1,1,1,1,1,1,passed,
minicpm-v-4_5,20260506,20260506,1,1,4,4,0.37054462543405087,0.370586855706545,0.02,1,1,1,1,1,1,passed,
minicpm-v-4_5,20260507,20260507,1,1,1,1,0.3451918964116023,0.3451918964116023,0.02,1,1,1,1,1,1,passed,
minicpm-v-4_5,20260508,20260508,1,1,1,1,0.36777815211422027,0.36777815211422027,0.02,1,1,1,1,1,1,passed,
molmo-7b-d-0924,20260506,20260506,1,1,2,2,0.4053676560526853,0.4053676560526854,0.02,1,8,1,8,4,1;2;4;8,passed,
molmo-7b-d-0924,20260507,20260507,2,2,2,2,0.4992904305553361,0.4992904305553361,0.02,2,2,2,2,1,2,passed,
molmo-7b-d-0924,20260508,20260508,1,1,1,1,0.4668673741908014,0.4668673741908014,0.02,1,8,1,8,4,1;2;4;8,passed,
phi-3.5-vision-instruct,20260506,20260506,1,1,1,1,0.46305369239174676,0.46305369239174676,0.02,1,1,1,1,1,1,passed,
phi-3.5-vision-instruct,20260507,20260507,1,1,1,1,0.41963962556391887,0.41963962556391887,0.02,1,8,1,8,4,1;2;4;8,passed,
phi-3.5-vision-instruct,20260508,20260508,1,1,8,8,0.48504673501438644,0.48708890990285947,0.02,1,1,1,1,1,1,passed,
phi-4-multimodal-instruct,20260506,20260506,1,1,1,1,0.3861656438046078,0.3861656438046078,0.02,1,1,1,1,1,1,passed,
phi-4-multimodal-instruct,20260507,20260507,1,1,1,1,0.32118882617662814,0.32118882617662814,0.02,1,8,1,8,4,1;2;4;8,passed,
phi-4-multimodal-instruct,20260508,20260508,1,1,1,1,0.3681597766079722,0.3681597766079722,0.02,1,1,1,1,1,1,passed,
qwen2.5-vl-7b,20260506,20260506,1,1,1,1,0.21956642839802942,0.21956642839802942,0.02,1,8,1,8,4,1;2;4;8,passed,
qwen2.5-vl-7b,20260507,20260507,1,1,1,1,0.10634503772023211,0.10634503772023211,0.02,1,8,1,8,4,1;2;4;8,passed,
qwen2.5-vl-7b,20260508,20260508,1,1,1,1,0.13623052570036434,0.13623052570036434,0.02,1,8,1,8,4,1;2;4;8,passed,
qwen3-vl-8b,20260506,20260506,1,1,1,1,0.5442748795189642,0.5442748795189642,0.02,1,8,1,8,4,1;2;4;8,passed,
qwen3-vl-8b,20260507,20260507,1,1,1,1,0.04087426269649359,0.04087426269649359,0.02,1,8,1,8,4,1;2;4;8,passed,
qwen3-vl-8b,20260508,20260508,1,1,1,1,0.5983253469338009,0.5983253469338009,0.02,1,8,1,8,4,1;2;4;8,passed,
qwen3.5-4b,20260506,20260506,4,4,2,2,0.337934302781252,0.3379343027812521,0.02,1,8,1,8,4,1;2;4;8,passed,
qwen3.5-4b,20260507,20260507,1,1,1,1,0.3032548728875506,0.3032548728875506,0.02,1,8,1,8,4,1;2;4;8,passed,
qwen3.5-4b,20260508,20260508,1,1,1,1,0.2508492732829946,0.2508492732829946,0.02,1,8,1,8,4,1;2;4;8,passed,
qwen3.5-9b,20260506,20260506,1,1,1,1,0.25752900905873205,0.25752900905873205,0.02,1,1,1,1,1,1,passed,
qwen3.5-9b,20260507,20260507,1,1,1,1,0.27460986856219666,0.27460986856219666,0.02,1,8,1,8,4,1;2;4;8,passed,
qwen3.5-9b,20260508,20260508,1,1,1,1,0.21265578807039065,0.21265578807039065,0.02,1,2,1,2,2,1;2,passed,
