model_alias,model_name,dataset_family,encoder_family,objective,method,readout,support_family,method_role,eval_split,metric_split,eval_scope,negative_budget_ratio,negative_budget_seed,selected_k,selected_K,selected_rho,selected_C,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,training_dataset_family,num_encoder_train_correct,num_encoder_train_hard_hallucination_available,num_encoder_train_hard_hallucination_used,num_encoder_train,num_encoder_train_hard_hallucination,num_excluded_false_negative,num_excluded_parsed_none
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,single_vmf,StageC-single_vmf,single_vmf,support_estimator,test,test,pooled,0.5,20260506,,,,,passed,,0.660863140566128,0.5912467006239052,0.7209968326670053,0.646587714066627,0.5914783910997004,0.6984996781665992,0.6621088659152456,0.08247422680412371,0.9380165289256198,436,242,194,326,repope,3833,138,69,3902,69,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,mixture_vmf,StageC-mixture_vmf,mixture_vmf,support_estimator,test,test,pooled,0.5,20260506,,2,,,passed,,0.29711975613574193,0.26224285080103077,0.33527044365051945,0.20105222799693276,0.16282177555652688,0.23983809291999159,0.29876756100565527,0.0,0.9958677685950413,436,242,194,326,repope,3833,138,69,3902,69,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,knn,StageC-knn,knn,support_estimator,test,test,pooled,0.5,20260506,16,,,,passed,,0.6953524662042776,0.6294738809176671,0.7551620406739895,0.7262290193405471,0.6823376980815747,0.7705117199904732,0.6965998971926582,0.08247422680412371,0.8347107438016529,436,242,194,326,repope,3833,138,69,3902,69,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,radius_ball,StageC-radius_ball,radius_ball,support_estimator,test,test,pooled,0.5,20260506,,,0.009274823873345717,,passed,,0.7449187323089532,0.7047283924946576,0.7824182219776856,0.6962490414927153,0.6510760574032893,0.7373106078764099,0.5754557895690224,0.0,0.7603305785123967,436,242,194,326,repope,3833,138,69,3902,69,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,logistic,StageC-logistic,supervised_comparator,supervised_comparator,test,test,pooled,0.5,20260506,,,,0.1,passed,,0.736648898671284,0.6725053394415162,0.7943724771140082,0.7879568884723525,0.7466672520447393,0.8277931251962054,0.7354402322761806,0.08247422680412371,0.7644628099173554,436,242,194,326,repope,3833,138,69,3902,69,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,single_vmf,StageC-single_vmf,single_vmf,support_estimator,test,test,pooled,0.5,20260507,,,,,passed,,0.6795904732904038,0.6111874828525151,0.7445514465032343,0.6919783590355286,0.6412096667899932,0.7411576005758319,0.6818118109406329,0.12886597938144329,0.8925619834710744,436,242,194,326,repope,3833,138,69,3902,69,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,mixture_vmf,StageC-mixture_vmf,mixture_vmf,support_estimator,test,test,pooled,0.5,20260507,,2,,,passed,,0.6795904732904038,0.6111874828525151,0.7445514465032343,0.6919783590355286,0.6412096667899932,0.7411576005758319,0.6818118109406329,0.12886597938144329,0.8925619834710744,436,242,194,326,repope,3833,138,69,3902,69,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,knn,StageC-knn,knn,support_estimator,test,test,pooled,0.5,20260507,32,,,,passed,,0.7039084633140057,0.6359922372581381,0.769676446932619,0.7555167419272386,0.7118408239396079,0.800482342763763,0.7061528291969642,0.12886597938144329,0.8057851239669421,436,242,194,326,repope,3833,138,69,3902,69,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,radius_ball,StageC-radius_ball,radius_ball,support_estimator,test,test,pooled,0.5,20260507,,,0.005555495945128048,,passed,,0.7357142934773355,0.7110293563889877,0.7601737342327206,0.5648057425236431,0.5416034920549746,0.5882433724811773,0.4794713782306385,0.0,0.8553719008264463,436,242,194,326,repope,3833,138,69,3902,69,7,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,dash-b,Sphere-Traj-LSTM,proxy_anchor,logistic,StageC-logistic,supervised_comparator,supervised_comparator,test,test,pooled,0.5,20260507,,,,0.1,passed,,0.7519206437811133,0.6850052256243827,0.8155588229623845,0.8146246911476527,0.7747495849798715,0.8532647191067655,0.7540713182930203,0.11855670103092783,0.5702479338842975,436,242,194,326,repope,3833,138,69,3902,69,7,0
