row_type,model_alias,objective,method,selected_on,frozen_for_test,selection_metric,selection_pr_auc,selection_roc_auc,negative_budget_ratio,negative_budget_seed,metric_status,parameter_name,parameter_value,selected_k,k
selected,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,knn,repope/cal,True,pr_auc,0.7373512107430367,0.9758064516129032,0.5,20260506,passed,k,16,16,16
selected,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,knn,repope/cal,True,pr_auc,0.5795835332724828,0.9718279569892474,0.5,20260507,passed,k,32,32,32
selected,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,knn,repope/cal,True,pr_auc,0.5513009334041159,0.9360215053763441,0.5,20260508,passed,k,16,16,16
selected,qwen3-vl-8b,proxy_anchor,knn,repope/cal,True,pr_auc,0.8566389474339432,0.9898076923076923,0.5,20260506,passed,k,32,32,32
selected,qwen3-vl-8b,proxy_anchor,knn,repope/cal,True,pr_auc,0.2127073449982575,0.8721794871794872,0.5,20260507,passed,k,4,4,4
selected,qwen3-vl-8b,proxy_anchor,knn,repope/cal,True,pr_auc,0.8444867077680418,0.9919230769230769,0.5,20260508,passed,k,32,32,32
selected,internvl3.5-8b,proxy_anchor,knn,repope/cal,True,pr_auc,0.7732041475537226,0.972648373805558,0.5,20260506,passed,k,32,32,32
selected,internvl3.5-8b,proxy_anchor,knn,repope/cal,True,pr_auc,0.7583917447480926,0.9759577452441484,0.5,20260507,passed,k,32,32,32
selected,internvl3.5-8b,proxy_anchor,knn,repope/cal,True,pr_auc,0.7970166771286368,0.9752783378627159,0.5,20260508,passed,k,32,32,32
selected,minicpm-v-2_6,proxy_anchor,knn,repope/cal,True,pr_auc,0.021935929323013532,0.5289291882556131,0.5,20260506,passed,k,16,16,16
selected,minicpm-v-2_6,proxy_anchor,knn,repope/cal,True,pr_auc,0.2440554393594187,0.8824481865284974,0.5,20260507,passed,k,32,32,32
selected,minicpm-v-2_6,proxy_anchor,knn,repope/cal,True,pr_auc,0.14485768506492744,0.8849309153713298,0.5,20260508,passed,k,4,4,4
selected,gemma-3-12b-it,proxy_anchor,knn,repope/cal,True,pr_auc,0.7851451573904319,0.9598231316108895,0.5,20260506,passed,k,32,32,32
selected,gemma-3-12b-it,proxy_anchor,knn,repope/cal,True,pr_auc,0.7919630526362761,0.967348708167158,0.5,20260507,passed,k,32,32,32
selected,gemma-3-12b-it,proxy_anchor,knn,repope/cal,True,pr_auc,0.7965411592402257,0.9608115137853304,0.5,20260508,passed,k,32,32,32
selected,gemma-4-12b-it,proxy_anchor,knn,repope/cal,True,pr_auc,0.22890452153784274,0.8705656759348034,0.5,20260506,passed,k,8,8,8
selected,gemma-4-12b-it,proxy_anchor,knn,repope/cal,True,pr_auc,0.06299752426975054,0.8319750719079578,0.5,20260507,passed,k,1,1,1
selected,gemma-4-12b-it,proxy_anchor,knn,repope/cal,True,pr_auc,0.1732532547902882,0.9053211888782359,0.5,20260508,passed,k,32,32,32
selected,qwen3.5-4b,proxy_anchor,knn,repope/cal,True,pr_auc,0.22885765579784167,0.9680346175321048,0.5,20260506,passed,k,32,32,32
selected,qwen3.5-4b,proxy_anchor,knn,repope/cal,True,pr_auc,0.37695828875758974,0.9451423785594639,0.5,20260507,passed,k,32,32,32
selected,qwen3.5-4b,proxy_anchor,knn,repope/cal,True,pr_auc,0.2582719837790742,0.9106644332774987,0.5,20260508,passed,k,2,2,2
selected,qwen3.5-9b,proxy_anchor,knn,repope/cal,True,pr_auc,0.7480146504472708,0.9854033290653009,0.5,20260506,passed,k,1,1,1
selected,qwen3.5-9b,proxy_anchor,knn,repope/cal,True,pr_auc,0.33430214998887636,0.8620998719590268,0.5,20260507,passed,k,32,32,32
selected,qwen3.5-9b,proxy_anchor,knn,repope/cal,True,pr_auc,0.541282767772302,0.9855313700384123,0.5,20260508,passed,k,32,32,32
selected,phi-4-multimodal-instruct,proxy_anchor,knn,repope/cal,True,pr_auc,0.5136207939482182,0.894500768049155,0.5,20260506,passed,k,4,4,4
selected,phi-4-multimodal-instruct,proxy_anchor,knn,repope/cal,True,pr_auc,0.4980329790320432,0.9424270353302612,0.5,20260507,passed,k,8,8,8
selected,phi-4-multimodal-instruct,proxy_anchor,knn,repope/cal,True,pr_auc,0.5231657715348708,0.9623348694316436,0.5,20260508,passed,k,32,32,32
selected,phi-3.5-vision-instruct,proxy_anchor,knn,repope/cal,True,pr_auc,0.3272298721301054,0.9191432396251673,0.5,20260506,passed,k,16,16,16
selected,phi-3.5-vision-instruct,proxy_anchor,knn,repope/cal,True,pr_auc,0.4111280162228133,0.9078982597054887,0.5,20260507,passed,k,16,16,16
selected,phi-3.5-vision-instruct,proxy_anchor,knn,repope/cal,True,pr_auc,0.477260444033443,0.9422132976349844,0.5,20260508,passed,k,16,16,16
selected,gemma-3-4b-it,proxy_anchor,knn,repope/cal,True,pr_auc,0.6081791789157674,0.8875971862273232,0.5,20260506,passed,k,32,32,32
selected,gemma-3-4b-it,proxy_anchor,knn,repope/cal,True,pr_auc,0.5576717950487001,0.926360607182525,0.5,20260507,passed,k,4,4,4
