row_type,model_alias,objective,method,selected_on,frozen_for_test,selection_metric,selection_pr_auc,selection_roc_auc,negative_budget_ratio,negative_budget_seed,metric_status,parameter_name,parameter_value,selected_C,C
selected,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,logistic,repope/cal,True,pr_auc,0.7282630754378057,0.930537634408602,0.5,20260506,passed,C,0.1,0.1,0.1
selected,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,logistic,repope/cal,True,pr_auc,0.6395931724119794,0.9820430107526882,0.5,20260507,passed,C,0.1,0.1,0.1
selected,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,logistic,repope/cal,True,pr_auc,0.6467487475111204,0.9811290322580645,0.5,20260508,passed,C,0.1,0.1,0.1
selected,qwen3-vl-8b,proxy_anchor,logistic,repope/cal,True,pr_auc,0.8993072029206939,0.9933974358974359,0.5,20260506,passed,C,10.0,10.0,10.0
selected,qwen3-vl-8b,proxy_anchor,logistic,repope/cal,True,pr_auc,0.9205651221204139,0.9967948717948718,0.5,20260507,passed,C,10.0,10.0,10.0
selected,qwen3-vl-8b,proxy_anchor,logistic,repope/cal,True,pr_auc,0.8531516599727808,0.9933974358974359,0.5,20260508,passed,C,0.1,0.1,0.1
selected,internvl3.5-8b,proxy_anchor,logistic,repope/cal,True,pr_auc,0.8068129707968995,0.980034189532743,0.5,20260506,passed,C,0.1,0.1,0.1
selected,internvl3.5-8b,proxy_anchor,logistic,repope/cal,True,pr_auc,0.7527313950236101,0.9796835276584553,0.5,20260507,passed,C,0.1,0.1,0.1
selected,internvl3.5-8b,proxy_anchor,logistic,repope/cal,True,pr_auc,0.8165134935712066,0.9818094152713246,0.5,20260508,passed,C,0.1,0.1,0.1
selected,minicpm-v-2_6,proxy_anchor,logistic,repope/cal,True,pr_auc,0.5116335991058556,0.9659974093264249,0.5,20260506,passed,C,10.0,10.0,10.0
selected,minicpm-v-2_6,proxy_anchor,logistic,repope/cal,True,pr_auc,0.4484780978952102,0.9486183074265977,0.5,20260507,passed,C,0.1,0.1,0.1
selected,minicpm-v-2_6,proxy_anchor,logistic,repope/cal,True,pr_auc,0.1220602730609899,0.7955526770293609,0.5,20260508,passed,C,0.1,0.1,0.1
selected,gemma-3-12b-it,proxy_anchor,logistic,repope/cal,True,pr_auc,0.8341524510085152,0.9773625801976765,0.5,20260506,passed,C,0.1,0.1,0.1
selected,gemma-3-12b-it,proxy_anchor,logistic,repope/cal,True,pr_auc,0.8263309947392299,0.9782902722385989,0.5,20260507,passed,C,0.1,0.1,0.1
selected,gemma-3-12b-it,proxy_anchor,logistic,repope/cal,True,pr_auc,0.8309160171352665,0.9768510490723079,0.5,20260508,passed,C,0.1,0.1,0.1
selected,gemma-4-12b-it,proxy_anchor,logistic,repope/cal,True,pr_auc,0.24645359340554515,0.924496644295302,0.5,20260506,passed,C,0.1,0.1,0.1
selected,gemma-4-12b-it,proxy_anchor,logistic,repope/cal,True,pr_auc,0.32989018694338046,0.8988494726749761,0.5,20260507,passed,C,1.0,1.0,1.0
