row_type,model_alias,objective,method,selected_on,frozen_for_test,selection_metric,selection_pr_auc,selection_roc_auc,negative_budget_ratio,negative_budget_seed,metric_status,parameter_name,parameter_value,selected_rho,rho
selected,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.5952380952380952,0.9341935483870967,0.5,20260506,passed,rho,0.009274823873345717,0.009274823873345717,0.009274823873345717
selected,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.5346820809248555,0.792258064516129,0.5,20260507,passed,rho,0.005555495945128048,0.005555495945128048,0.005555495945128048
selected,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.5515021459227468,0.8651612903225806,0.5,20260508,passed,rho,0.007315083619536806,0.007315083619536806,0.007315083619536806
selected,qwen3-vl-8b,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.5373674888977872,0.9028205128205128,0.5,20260506,passed,rho,0.00751669285605182,0.00751669285605182,0.00751669285605182
selected,qwen3-vl-8b,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.4399655419324971,0.8123076923076923,0.5,20260507,passed,rho,0.0046911122675140976,0.0046911122675140976,0.0046911122675140976
selected,qwen3-vl-8b,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.54877518155378,0.9712820512820513,0.5,20260508,passed,rho,0.015686477413006203,0.015686477413006203,0.015686477413006203
selected,internvl3.5-8b,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.5865271418710691,0.9385684228982204,0.5,20260506,passed,rho,0.015126563937934564,0.015126563937934564,0.015126563937934564
selected,internvl3.5-8b,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.647345921213708,0.9613724029104935,0.5,20260507,passed,rho,0.01814310545981271,0.01814310545981271,0.01814310545981271
selected,internvl3.5-8b,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.6202696869362654,0.950337512054002,0.5,20260508,passed,rho,0.017936525230252572,0.017936525230252572,0.017936525230252572
selected,minicpm-v-2_6,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.015256204757552022,0.5293069948186528,0.5,20260506,passed,rho,0.015450013581692538,0.015450013581692538,0.015450013581692538
selected,minicpm-v-2_6,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.3556585367247132,0.7715889464594128,0.5,20260507,passed,rho,0.007575214267842335,0.007575214267842335,0.007575214267842335
selected,minicpm-v-2_6,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.47864973287227963,0.7960924006908462,0.5,20260508,passed,rho,0.00906405868349422,0.00906405868349422,0.00906405868349422
selected,gemma-3-12b-it,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.6900187776329111,0.9397607074735564,0.5,20260506,passed,rho,0.01482555265630899,0.01482555265630899,0.01482555265630899
selected,gemma-3-12b-it,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.6723472106337879,0.9239812727588,0.5,20260507,passed,rho,0.008543779056727218,0.008543779056727218,0.008543779056727218
selected,gemma-3-12b-it,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.6743546767799106,0.915501994104387,0.5,20260508,passed,rho,0.007050916620418831,0.007050916620418831,0.007050916620418831
selected,gemma-4-12b-it,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.39595965069599504,0.8912991371045063,0.5,20260506,passed,rho,0.012223404758435247,0.012223404758435247,0.012223404758435247
selected,gemma-4-12b-it,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.3782402186689615,0.8080057526366251,0.5,20260507,passed,rho,0.00785452629462825,0.00785452629462825,0.00785452629462825
selected,gemma-4-12b-it,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.5269230769230769,0.8968120805369127,0.5,20260508,passed,rho,0.003669485013849859,0.003669485013849859,0.003669485013849859
selected,qwen3.5-4b,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.5160142348754448,0.8291457286432161,0.5,20260506,passed,rho,0.00637488285998241,0.00637488285998241,0.00637488285998241
selected,qwen3.5-4b,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.5272727272727272,0.9020100502512562,0.5,20260507,passed,rho,0.006548727216977208,0.006548727216977208,0.006548727216977208
selected,qwen3.5-4b,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.45916296111917515,0.7907593523171412,0.5,20260508,passed,rho,0.005997844922609379,0.005997844922609379,0.005997844922609379
selected,qwen3.5-9b,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.6376121635094715,0.9823943661971832,0.5,20260506,passed,rho,0.01632956357765619,0.01632956357765619,0.01632956357765619
selected,qwen3.5-9b,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.3116334074613608,0.7403008962868117,0.5,20260507,passed,rho,0.007057172805022567,0.007057172805022567,0.007057172805022567
selected,qwen3.5-9b,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.53125,0.8079385403329066,0.5,20260508,passed,rho,0.005549295555194952,0.005549295555194952,0.005549295555194952
selected,phi-4-multimodal-instruct,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.46766934635910645,0.8142857142857143,0.5,20260506,passed,rho,0.010536207423065968,0.010536207423065968,0.010536207423065968
selected,phi-4-multimodal-instruct,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.5206978063528435,0.9563133640552995,0.5,20260507,passed,rho,0.011085827296444634,0.011085827296444634,0.011085827296444634
selected,phi-4-multimodal-instruct,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.5351170568561873,0.8206451612903225,0.5,20260508,passed,rho,0.00474060353489238,0.00474060353489238,0.00474060353489238
selected,phi-3.5-vision-instruct,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.5447761194029851,0.7958500669344043,0.5,20260506,passed,rho,0.0045445769844614245,0.0045445769844614245,0.0045445769844614245
selected,phi-3.5-vision-instruct,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.5474683544303798,0.8085676037483266,0.5,20260507,passed,rho,0.0046471937989704445,0.0046471937989704445,0.0046471937989704445
selected,phi-3.5-vision-instruct,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.545045045045045,0.7971887550200802,0.5,20260508,passed,rho,0.004644788319728706,0.004644788319728706,0.004644788319728706
selected,gemma-3-4b-it,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.5923352458153153,0.8664661236579045,0.5,20260506,passed,rho,0.003465976237625795,0.003465976237625795,0.003465976237625795
selected,gemma-3-4b-it,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.6306290899737022,0.9305349870418363,0.5,20260507,passed,rho,0.006876079449919129,0.006876079449919129,0.006876079449919129
selected,gemma-3-4b-it,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.6412238333299626,0.9118937430581266,0.5,20260508,passed,rho,0.013000022709410515,0.013000022709410515,0.013000022709410515
selected,molmo-7b-d-0924,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.5413821254950231,0.8768735883923071,0.5,20260506,passed,rho,0.008743154007144063,0.008743154007144063,0.008743154007144063
selected,molmo-7b-d-0924,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.12225503543234548,0.5064163986037916,0.5,20260507,passed,rho,0.015284176194246359,0.015284176194246359,0.015284176194246359
selected,molmo-7b-d-0924,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.4982122701403552,0.8288618164396687,0.5,20260508,passed,rho,0.009307093733428255,0.009307093733428255,0.009307093733428255
selected,minicpm-v-4_5,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.5441860465116279,0.8735483870967742,0.5,20260506,passed,rho,0.008026064962796932,0.008026064962796932,0.008026064962796932
selected,minicpm-v-4_5,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.5285285285285285,0.7974193548387096,0.5,20260507,passed,rho,0.0068080780171184815,0.0068080780171184815,0.0068080780171184815
selected,minicpm-v-4_5,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.5038940341532738,0.7979966044142615,0.5,20260508,passed,rho,0.00945636738008863,0.00945636738008863,0.00945636738008863
selected,llava-v1.5-7b,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.5824649777654892,0.842562127170104,0.5,20260506,passed,rho,0.002572835750065754,0.002572835750065754,0.002572835750065754
selected,llava-v1.5-7b,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.12307160798053314,0.46593371318513765,0.5,20260507,passed,rho,0.0018549772871999698,0.0018549772871999698,0.0018549772871999698
selected,llava-v1.5-7b,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.4517072855123348,0.7774924430891047,0.5,20260508,passed,rho,0.004177570018503184,0.004177570018503184,0.004177570018503184
selected,qwen2.5-vl-7b,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.5525843960990247,0.9388554904497375,0.5,20260506,passed,rho,0.009782693911408609,0.009782693911408609,0.009782693911408609
selected,qwen2.5-vl-7b,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.45225512061060485,0.8394338330416254,0.5,20260507,passed,rho,0.0016092239929056198,0.0016092239929056198,0.0016092239929056198
selected,qwen2.5-vl-7b,proxy_anchor,radius_ball,repope/cal,True,pr_auc,0.5491926182237601,0.9360779240544859,0.5,20260508,passed,rho,0.008223312693649879,0.008223312693649879,0.008223312693649879
