model_alias,model_name,dataset_family,encoder_family,objective,method,readout,support_family,method_role,eval_split,metric_split,eval_scope,negative_budget_ratio,negative_budget_seed,selected_k,selected_K,selected_rho,selected_C,metric_status,failure_reason,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_bank_correct,training_dataset_family,num_encoder_train_correct,num_encoder_train_hard_hallucination_available,num_encoder_train_hard_hallucination_used,num_encoder_train,num_encoder_train_hard_hallucination,num_excluded_false_negative,num_excluded_parsed_none
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,single_vmf,StageC-single_vmf,single_vmf,support_estimator,test,test,pooled,0.5,20260506,,,,,passed,,0.5148725911096345,0.384692054632682,0.6435318231470075,0.9616741500962156,0.9485025191449552,0.9740012853169031,0.5219204729884471,0.36538461538461536,0.12957023733162285,1611,1559,52,1545,repope,3833,138,69,3902,69,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,mixture_vmf,StageC-mixture_vmf,mixture_vmf,support_estimator,test,test,pooled,0.5,20260506,,2,,,passed,,0.42924197183482676,0.3045837864345298,0.5524876962024091,0.9596634923767702,0.9467371152860026,0.9720137236118437,0.4382182581906329,0.15384615384615385,0.1276459268762027,1611,1559,52,1545,repope,3833,138,69,3902,69,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,knn,StageC-knn,knn,support_estimator,test,test,pooled,0.5,20260506,16,,,,passed,,0.4889212027370718,0.36099352462528184,0.6186789137688311,0.9527557112547491,0.9385125772655474,0.9663052440577281,0.4954777070114367,0.36538461538461536,0.12636305323925592,1611,1559,52,1545,repope,3833,138,69,3902,69,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,radius_ball,StageC-radius_ball,radius_ball,support_estimator,test,test,pooled,0.5,20260506,,,0.009274823873345717,,passed,,0.5102724353023766,0.4522841759339785,0.5625248005309396,0.9063872304731831,0.8917973914519697,0.9200511617450833,0.151035187631495,0.0,0.1725465041693393,1611,1559,52,1545,repope,3833,138,69,3902,69,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,repope,Sphere-Traj-LSTM,proxy_anchor,logistic,StageC-logistic,supervised_comparator,supervised_comparator,test,test,pooled,0.5,20260506,,,,0.1,passed,,0.4640213048650055,0.32759865356100504,0.5996565387531615,0.8556767158434895,0.7922198734586026,0.917019767519454,0.4706078382303231,0.36538461538461536,0.6286080821039127,1611,1559,52,1545,repope,3833,138,69,3902,69,29,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,proxy_anchor,single_vmf,StageC-single_vmf,single_vmf,support_estimator,test,test,pooled,0.5,20260506,,,,,passed,,0.20593504375563712,0.12885453311832887,0.30461298231359607,0.8666790823274708,0.8129329563961023,0.9151305222558982,0.21385086358589925,0.11320754716981132,0.7495373226403454,1674,1621,53,1653,repope,3833,138,69,3902,69,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,proxy_anchor,mixture_vmf,StageC-mixture_vmf,mixture_vmf,support_estimator,test,test,pooled,0.5,20260506,,2,,,passed,,0.05472774179406242,0.030280309313101394,0.08857327122171457,0.44062016225716716,0.32503206168783255,0.5575115146123142,0.058695893470968305,0.018867924528301886,0.9981492905613819,1674,1621,53,1653,repope,3833,138,69,3902,69,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,proxy_anchor,knn,StageC-knn,knn,support_estimator,test,test,pooled,0.5,20260506,16,,,,passed,,0.19857259569639735,0.12663157395262428,0.2962836477157249,0.9046826440701639,0.8834499049223054,0.9256701951216229,0.20611370092395898,0.11320754716981132,0.25848241826033314,1674,1621,53,1653,repope,3833,138,69,3902,69,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,proxy_anchor,radius_ball,StageC-radius_ball,radius_ball,support_estimator,test,test,pooled,0.5,20260506,,,0.009274823873345717,,passed,,0.5056829650868034,0.4573768586730113,0.5502773222455691,0.8868157321941964,0.8720506712630995,0.9020014354480413,0.12681035482612976,0.0,0.20851326341764342,1674,1621,53,1653,repope,3833,138,69,3902,69,126,0
llava-onevision-qwen2-7b-ov-hf,llava-onevision-qwen2-7b-ov-hf,pope,Sphere-Traj-LSTM,proxy_anchor,logistic,StageC-logistic,supervised_comparator,supervised_comparator,test,test,pooled,0.5,20260506,,,,0.1,passed,,0.18653901571342663,0.11236106812928782,0.281408623459959,0.7903576874279794,0.7076941520874869,0.8622489660357306,0.17777378146275336,0.11320754716981132,0.9814929056138186,1674,1621,53,1653,repope,3833,138,69,3902,69,126,0
