row_type,model_alias,objective,method,selected_on,frozen_for_test,selection_metric,selection_pr_auc,selection_roc_auc,negative_budget_ratio,negative_budget_seed,metric_status,parameter_name,parameter_value,selected_K,K
selected,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,mixture_vmf,repope/cal,True,pr_auc,0.4883790202798018,0.9583870967741936,0.5,20260506,passed,K,2,2,2
selected,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,mixture_vmf,repope/cal,True,pr_auc,0.01528184533818819,0.017849462365591387,0.5,20260507,passed,K,2,2,2
selected,llava-onevision-qwen2-7b-ov-hf,proxy_anchor,mixture_vmf,repope/cal,True,pr_auc,0.652097164754391,0.9816129032258064,0.5,20260508,passed,K,2,2,2
selected,qwen3-vl-8b,proxy_anchor,mixture_vmf,repope/cal,True,pr_auc,0.8892099964935615,0.9936538461538461,0.5,20260506,passed,K,2,2,2
selected,qwen3-vl-8b,proxy_anchor,mixture_vmf,repope/cal,True,pr_auc,0.09963917912373303,0.6808333333333333,0.5,20260507,passed,K,2,2,2
selected,qwen3-vl-8b,proxy_anchor,mixture_vmf,repope/cal,True,pr_auc,0.8525712821496244,0.9932051282051282,0.5,20260508,passed,K,2,2,2
selected,internvl3.5-8b,proxy_anchor,mixture_vmf,repope/cal,True,pr_auc,0.7952959849768276,0.9690321732269659,0.5,20260506,passed,K,2,2,2
selected,internvl3.5-8b,proxy_anchor,mixture_vmf,repope/cal,True,pr_auc,0.03906422799797227,0.02557640045586044,0.5,20260507,passed,K,2,2,2
selected,internvl3.5-8b,proxy_anchor,mixture_vmf,repope/cal,True,pr_auc,0.8008371968313828,0.9649338125712281,0.5,20260508,passed,K,4,4,4
selected,minicpm-v-2_6,proxy_anchor,mixture_vmf,repope/cal,True,pr_auc,0.46365672268392366,0.9265975820379966,0.5,20260506,passed,K,2,2,2
selected,minicpm-v-2_6,proxy_anchor,mixture_vmf,repope/cal,True,pr_auc,0.33663127187527603,0.9007987910189983,0.5,20260507,passed,K,2,2,2
selected,minicpm-v-2_6,proxy_anchor,mixture_vmf,repope/cal,True,pr_auc,0.008049194270547688,0.08732728842832471,0.5,20260508,passed,K,2,2,2
selected,gemma-3-12b-it,proxy_anchor,mixture_vmf,repope/cal,True,pr_auc,0.8312459423627748,0.9727934801456564,0.5,20260506,passed,K,8,8,8
selected,gemma-3-12b-it,proxy_anchor,mixture_vmf,repope/cal,True,pr_auc,0.8159207471680529,0.973539101786024,0.5,20260507,passed,K,2,2,2
selected,gemma-3-12b-it,proxy_anchor,mixture_vmf,repope/cal,True,pr_auc,0.8377721854836093,0.9732443211375066,0.5,20260508,passed,K,4,4,4
selected,gemma-4-12b-it,proxy_anchor,mixture_vmf,repope/cal,True,pr_auc,0.24290650508966338,0.9173058485139022,0.5,20260506,passed,K,2,2,2
