model_alias,protocol,source_dataset,target_dataset,method,tier,training_budget,calibration_scope,diagnostic_only,selected_parameter,metric_status,failure_reason,negative_budget_ratio,negative_budget_seed,pr_auc,pr_auc_ci_low,pr_auc_ci_high,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,tpr_at_1pct_fpr,fpr_at_95pct_tpr,num_test,num_test_correct,num_test_hard_hallucination,num_encoder_train_correct,num_encoder_train_hard_hallucination,num_encoder_train_hard_hallucination_available,num_excluded_false_negative,num_excluded_parsed_none
llava-onevision-qwen2-7b-ov-hf,pope_to_dashb,pope,dash-b,MIND-main,tierA,50pct_hard_negatives,source_calibration,False,rho=0.0069624728240743426,passed,,0.5,20260506,0.7383029968185575,0.7148689489739589,0.7619766509997982,0.5690977251427112,0.5462070974576271,0.5926494561942008,0.4821225808416282,0.0,0.8512396694214877,436,242,194,4014,73,147,7,0
llava-onevision-qwen2-7b-ov-hf,pope_to_dashb,pope,dash-b,MIND-param,tierA,50pct_hard_negatives,source_calibration,False,single_vmf,passed,,0.5,20260506,0.7895889703266362,0.7362680840965116,0.836516806385494,0.8186078214194427,0.7799822915600795,0.8565230576759729,0.790273087316282,0.19072164948453607,0.6074380165289256,436,242,194,4014,73,147,7,0
llava-onevision-qwen2-7b-ov-hf,pope_to_dashb,pope,dash-b,logistic(z),tierA,50pct_hard_negatives,source_calibration,False,C=0.1,passed,,0.5,20260506,0.7624467250950466,0.7059434085317683,0.8120464040371248,0.7495633466814349,0.7050551275381638,0.7920428144910934,0.7170950332308788,0.0,1.0,436,242,194,4014,73,147,7,0
llava-onevision-qwen2-7b-ov-hf,pope_to_dashb,pope,dash-b,final-hidden linear probe,tierA,same_constraint_linear_or_cached,source_calibration,False,C=10.0,passed,,0.5,20260506,0.7342252458589977,0.6796958879608298,0.7853483616104128,0.6861208145181903,0.6429439939878642,0.7283024422444294,0.5985783776272358,0.0,1.0,436,242,194,4014,73,147,7,0
llava-onevision-qwen2-7b-ov-hf,pope_to_dashb,pope,dash-b,output-confidence,tierA,same_constraint_linear_or_cached,source_calibration,False,negative_top2_margin,passed,,0.5,20260506,0.49305225068195896,0.4337445796009439,0.5553701020344741,0.6163840845190424,0.5633034475293839,0.6674216078356916,0.49683825912720025,0.0,0.7479338842975206,436,242,194,4014,73,147,7,0
llava-onevision-qwen2-7b-ov-hf,pope_to_dashb,pope,dash-b,HALP-lite,tierA,same_constraint_linear_or_cached,source_calibration,False,C=10.0,passed,,0.5,20260506,0.6275182067530501,0.5282721305298338,0.7158329638925277,0.5396609014228508,0.5155010831935094,0.5644200393171949,0.4779745578359973,0.0,1.0,436,242,194,4014,73,147,7,0
llava-onevision-qwen2-7b-ov-hf,pope_to_dashb,pope,dash-b,MIND-main,tierA,50pct_hard_negatives,oracle_target_calibration,True,rho=0.012598588528489602,passed,,0.5,20260506,0.6709050179072252,0.6178881641866332,0.7156596608529535,0.6567478912839738,0.6117308854470116,0.7004503788234182,0.5622541010227842,0.0,0.8264462809917356,436,242,194,4014,73,147,7,0
llava-onevision-qwen2-7b-ov-hf,pope_to_dashb,pope,dash-b,MIND-param,tierA,50pct_hard_negatives,oracle_target_calibration,True,single_vmf,passed,,0.5,20260506,0.7895889703266362,0.7362680840965116,0.836516806385494,0.8186078214194427,0.7799822915600795,0.8565230576759729,0.790273087316282,0.19072164948453607,0.6074380165289256,436,242,194,4014,73,147,7,0
llava-onevision-qwen2-7b-ov-hf,pope_to_dashb,pope,dash-b,logistic(z),tierA,50pct_hard_negatives,oracle_target_calibration,True,C=0.1,passed,,0.5,20260506,0.7624467250950466,0.7059434085317683,0.8120464040371248,0.7495633466814349,0.7050551275381638,0.7920428144910934,0.7170950332308788,0.0,1.0,436,242,194,4014,73,147,7,0
llava-onevision-qwen2-7b-ov-hf,pope_to_dashb,pope,dash-b,final-hidden linear probe,tierA,same_constraint_linear_or_cached,oracle_target_calibration,True,C=0.1,passed,,0.5,20260506,0.7801736590798258,0.7270860200411606,0.8231071032068858,0.7592442702564539,0.7176677627597727,0.800368209902332,0.7392540906053857,0.28865979381443296,1.0,436,242,194,4014,73,147,7,0
llava-onevision-qwen2-7b-ov-hf,pope_to_dashb,pope,dash-b,output-confidence,tierA,same_constraint_linear_or_cached,oracle_target_calibration,True,negative_top2_margin,passed,,0.5,20260506,0.49305225068195896,0.4337445796009439,0.5553701020344741,0.6163840845190424,0.5633034475293839,0.6674216078356916,0.49683825912720025,0.0,0.7479338842975206,436,242,194,4014,73,147,7,0
llava-onevision-qwen2-7b-ov-hf,pope_to_dashb,pope,dash-b,HALP-lite,tierA,same_constraint_linear_or_cached,oracle_target_calibration,True,C=10.0,passed,,0.5,20260506,0.6275182067530501,0.5282721305298338,0.7158329638925277,0.5396609014228508,0.5155010831935094,0.5644200393171949,0.4779745578359973,0.0,1.0,436,242,194,4014,73,147,7,0
llava-onevision-qwen2-7b-ov-hf,pope_to_dashb,pope,dash-b,MIND-main,tierA,50pct_hard_negatives,source_calibration,False,rho=0.005952949178610536,passed,,0.5,20260507,0.7293060365020299,0.7039973660821279,0.7544457482262767,0.5471159580812813,0.5243151164464168,0.568577302631579,0.46988092618910987,0.0,0.8842975206611571,436,242,194,4014,73,147,7,0
llava-onevision-qwen2-7b-ov-hf,pope_to_dashb,pope,dash-b,MIND-param,tierA,50pct_hard_negatives,source_calibration,False,single_vmf,passed,,0.5,20260507,0.7781031770705638,0.7250534480581027,0.8281406821203459,0.800481383658516,0.7572068181619966,0.8417151638337338,0.7787927839556406,0.21649484536082475,0.7520661157024794,436,242,194,4014,73,147,7,0
llava-onevision-qwen2-7b-ov-hf,pope_to_dashb,pope,dash-b,logistic(z),tierA,50pct_hard_negatives,source_calibration,False,C=10.0,passed,,0.5,20260507,0.7336503693189131,0.6793107250969365,0.7858074817361168,0.6583028031013036,0.6242992620019081,0.6939727082175964,0.5857798378226763,0.0,1.0,436,242,194,4014,73,147,7,0
llava-onevision-qwen2-7b-ov-hf,pope_to_dashb,pope,dash-b,final-hidden linear probe,tierA,same_constraint_linear_or_cached,source_calibration,False,C=1.0,passed,,0.5,20260507,0.7092659716435091,0.6561663418926323,0.7625715887323203,0.6738945215983643,0.6286531037173938,0.7175090501697391,0.5828991826206396,0.0,1.0,436,242,194,4014,73,147,7,0
llava-onevision-qwen2-7b-ov-hf,pope_to_dashb,pope,dash-b,output-confidence,tierA,same_constraint_linear_or_cached,source_calibration,False,negative_top2_margin,passed,,0.5,20260507,0.49305225068195896,0.431599699276342,0.5626564192228989,0.6163840845190424,0.5668345854793616,0.6680460889262126,0.49683825912720025,0.0,0.7479338842975206,436,242,194,4014,73,147,7,0
llava-onevision-qwen2-7b-ov-hf,pope_to_dashb,pope,dash-b,HALP-lite,tierA,same_constraint_linear_or_cached,source_calibration,False,C=1.0,passed,,0.5,20260507,0.7383309704912414,0.6808783472457345,0.7864492227308074,0.608396523813581,0.5785989129781494,0.6378763770945619,0.5546929791022343,0.0,1.0,436,242,194,4014,73,147,7,0
llava-onevision-qwen2-7b-ov-hf,pope_to_dashb,pope,dash-b,MIND-main,tierA,50pct_hard_negatives,oracle_target_calibration,True,rho=0.010463319062989213,passed,,0.5,20260507,0.6616864539139953,0.6044983739663575,0.71629436322612,0.6568863423362018,0.605926763343766,0.7051816688239694,0.5638343301571556,0.0,0.8223140495867769,436,242,194,4014,73,147,7,0
llava-onevision-qwen2-7b-ov-hf,pope_to_dashb,pope,dash-b,MIND-param,tierA,50pct_hard_negatives,oracle_target_calibration,True,single_vmf,passed,,0.5,20260507,0.7781031770705638,0.7250534480581027,0.8281406821203459,0.800481383658516,0.7572068181619966,0.8417151638337338,0.7787927839556406,0.21649484536082475,0.7520661157024794,436,242,194,4014,73,147,7,0
