row_index,population_key,image_id,subset,split,label,row_order_hash
0,"[""qwen3-vl-8b"",""repope"",""adversarial"",""1""]",310196,adversarial,test,0,c9075b79b2c9daab3fa0acae1d4977495ef33c0acfac4ba778984f5be2cad0ca
1,"[""qwen3-vl-8b"",""repope"",""adversarial"",""2""]",310196,adversarial,test,0,c9075b79b2c9daab3fa0acae1d4977495ef33c0acfac4ba778984f5be2cad0ca
2,"[""qwen3-vl-8b"",""repope"",""adversarial"",""3""]",310196,adversarial,test,0,c9075b79b2c9daab3fa0acae1d4977495ef33c0acfac4ba778984f5be2cad0ca
3,"[""qwen3-vl-8b"",""repope"",""adversarial"",""4""]",310196,adversarial,test,0,c9075b79b2c9daab3fa0acae1d4977495ef33c0acfac4ba778984f5be2cad0ca
4,"[""qwen3-vl-8b"",""repope"",""adversarial"",""5""]",310196,adversarial,test,0,c9075b79b2c9daab3fa0acae1d4977495ef33c0acfac4ba778984f5be2cad0ca
5,"[""qwen3-vl-8b"",""repope"",""adversarial"",""6""]",310196,adversarial,test,0,c9075b79b2c9daab3fa0acae1d4977495ef33c0acfac4ba778984f5be2cad0ca
6,"[""qwen3-vl-8b"",""repope"",""adversarial"",""7""]",210789,adversarial,train,0,c9075b79b2c9daab3fa0acae1d4977495ef33c0acfac4ba778984f5be2cad0ca
7,"[""qwen3-vl-8b"",""repope"",""adversarial"",""9""]",210789,adversarial,train,0,c9075b79b2c9daab3fa0acae1d4977495ef33c0acfac4ba778984f5be2cad0ca
8,"[""qwen3-vl-8b"",""repope"",""adversarial"",""10""]",210789,adversarial,train,0,c9075b79b2c9daab3fa0acae1d4977495ef33c0acfac4ba778984f5be2cad0ca
9,"[""qwen3-vl-8b"",""repope"",""adversarial"",""11""]",210789,adversarial,train,0,c9075b79b2c9daab3fa0acae1d4977495ef33c0acfac4ba778984f5be2cad0ca
10,"[""qwen3-vl-8b"",""repope"",""adversarial"",""12""]",210789,adversarial,train,0,c9075b79b2c9daab3fa0acae1d4977495ef33c0acfac4ba778984f5be2cad0ca
11,"[""qwen3-vl-8b"",""repope"",""adversarial"",""13""]",429109,adversarial,test,0,c9075b79b2c9daab3fa0acae1d4977495ef33c0acfac4ba778984f5be2cad0ca
12,"[""qwen3-vl-8b"",""repope"",""adversarial"",""14""]",429109,adversarial,test,0,c9075b79b2c9daab3fa0acae1d4977495ef33c0acfac4ba778984f5be2cad0ca
13,"[""qwen3-vl-8b"",""repope"",""adversarial"",""15""]",429109,adversarial,test,0,c9075b79b2c9daab3fa0acae1d4977495ef33c0acfac4ba778984f5be2cad0ca
14,"[""qwen3-vl-8b"",""repope"",""adversarial"",""16""]",429109,adversarial,test,0,c9075b79b2c9daab3fa0acae1d4977495ef33c0acfac4ba778984f5be2cad0ca
15,"[""qwen3-vl-8b"",""repope"",""adversarial"",""17""]",429109,adversarial,test,0,c9075b79b2c9daab3fa0acae1d4977495ef33c0acfac4ba778984f5be2cad0ca
16,"[""qwen3-vl-8b"",""repope"",""adversarial"",""19""]",211674,adversarial,validation,0,c9075b79b2c9daab3fa0acae1d4977495ef33c0acfac4ba778984f5be2cad0ca
17,"[""qwen3-vl-8b"",""repope"",""adversarial"",""20""]",211674,adversarial,validation,0,c9075b79b2c9daab3fa0acae1d4977495ef33c0acfac4ba778984f5be2cad0ca
18,"[""qwen3-vl-8b"",""repope"",""adversarial"",""22""]",211674,adversarial,validation,0,c9075b79b2c9daab3fa0acae1d4977495ef33c0acfac4ba778984f5be2cad0ca
