config_name,method_family,model_name,dataset_name,subset_scope,train_samples,val_samples,test_samples,train_pos,val_pos,test_pos,feature_shape,classifier,wavelet,wavelet_level,transform,feature_seconds,train_eval_seconds,total_seconds,pr_auc,average_precision,roc_auc,best_val_threshold,test_f1,test_precision,test_recall,balanced_accuracy,tpr_at_1pct_fpr,fpr_at_95pct_tpr,status,failure_reason
teacher_bagua_haar_l1_lstm,teacher_bagua,qwen3-vl-8b,repope,"popular,random,adversarial",4795,1579,1612,192,48,38,7986x9x114688,lstm,haar,1,,715.9063899221364,224.34840798890218,940.2566479649395,0.02911711167836548,0.03184973545929547,0.5909349294455962,0.4455353021621704,0.04977079240340537,0.02552048354600403,1.0,0.5390724269377383,0.02631578947368421,0.8030495552731893,success,
teacher_bagua_db2_l1_lstm,teacher_bagua,qwen3-vl-8b,repope,"popular,random,adversarial",4795,1579,1612,192,48,38,7986x9x114688,lstm,db2,1,,690.3514017178677,243.58495989697985,933.9383473568596,0.023663235446484562,0.025724477659915708,0.49435731960141777,0.46070241928100586,0.03986710963455149,0.022813688212927757,0.15789473684210525,0.4973082324617134,0.0,0.9142312579415502,success,
teacher_bagua_db4_l1_lstm,teacher_bagua,qwen3-vl-8b,repope,"popular,random,adversarial",4795,1579,1612,192,48,38,7986x9x114688,lstm,db4,1,,742.1002384559251,191.91824095905758,934.0206553239841,0.02216748943992889,0.024462884776707,0.4706413428743396,0.4581719636917114,0.035856573705179286,0.01939655172413793,0.23684210526315788,0.4738848391627098,0.0,0.9822109275730623,success,
ours_db2_swt_l2_logreg,ours_wavelet,qwen3-vl-8b,repope,"popular,random,adversarial",4795,1579,1612,192,48,38,7986x174,logreg,db2,2,swt,57.40194187615998,3.217387185897678,60.61934060114436,0.39757361369212124,0.41438063362046135,0.968668494616465,0.9296300411224365,0.4634146341463415,0.4318181818181818,0.5,0.7420584498094027,0.3684210526315789,0.08831003811944091,success,
ours_db2_swt_l3_logreg,ours_wavelet,qwen3-vl-8b,repope,"popular,random,adversarial",,,,,,,,logreg,db2,3,swt,0.7162761420477182,,0.7162801758386195,,,,,,,,,,,failure,wavelet_config_error: SWT level 3 is not feasible for trace length 36; max level is 2
ours_sym4_swt_l2_logreg,ours_wavelet,qwen3-vl-8b,repope,"popular,random,adversarial",4795,1579,1612,192,48,38,7986x174,logreg,sym4,2,swt,38.62033454491757,3.8349312499631196,42.45526911015622,0.312771975990232,0.33410394324945364,0.9612953922289842,0.9297568202018738,0.3956043956043956,0.33962264150943394,0.47368421052631576,0.7257239349963218,0.21052631578947367,0.10292249047013977,success,
ours_db2_swt_l2_xgb,ours_wavelet,qwen3-vl-8b,repope,"popular,random,adversarial",,,,,,,,xgb,db2,2,swt,35.76483379304409,0.005018276162445545,35.76985559798777,,,,,,,,,,,failure,xgboost_not_installed
ours_db2_swt_l3_xgb,ours_wavelet,qwen3-vl-8b,repope,"popular,random,adversarial",,,,,,,,xgb,db2,3,swt,0.8042269188445061,,0.8042316071223468,,,,,,,,,,,failure,wavelet_config_error: SWT level 3 is not feasible for trace length 36; max level is 2
ours_sym4_swt_l2_xgb,ours_wavelet,qwen3-vl-8b,repope,"popular,random,adversarial",,,,,,,,xgb,sym4,2,swt,35.034572649979964,0.0031019761227071285,35.037680325098336,,,,,,,,,,,failure,xgboost_not_installed
final_hidden_logreg,mind_baseline,qwen3-vl-8b,repope,"popular,random,adversarial",4795,1579,1612,192,48,38,7986x4096,logreg,,,final_hidden_logreg,5.695526979863644,4.963882399024442,10.65941341011785,0.5414553636477906,0.5504009695543886,0.9628335451080051,0.8875237703323364,0.5,0.45652173913043476,0.5526315789473685,0.768374239283087,0.4473684210526316,0.14294790343074967,success,
mean_layer_hidden_logreg,mind_baseline,qwen3-vl-8b,repope,"popular,random,adversarial",4795,1579,1612,192,48,38,7986x4096,logreg,,,mean_layer_hidden_logreg,3.3697746118996292,3.1834637520369142,6.553243682021275,0.5037352006418447,0.51955111405081,0.9591887915468468,0.9232459664344788,0.6075949367088608,0.5853658536585366,0.631578947368421,0.8103892195546044,0.42105263157894735,0.1340533672172808,success,
norm_traj_logreg,mind_baseline,qwen3-vl-8b,repope,"popular,random,adversarial",4795,1579,1612,192,48,38,7986x36,logreg,,,norm_traj_logreg,3.606419188901782,0.07068051910027862,3.6771034840494394,0.33741134949148316,0.34801595986086986,0.9606767872667692,0.8852139711380005,0.3963963963963964,0.3013698630136986,0.5789473684210527,0.773272921821708,0.23684210526315788,0.09720457433290978,success,
sphere_traj_meanpool_logreg,mind_baseline,qwen3-vl-8b,repope,"popular,random,adversarial",4795,1579,1612,192,48,38,7986x4096,logreg,,,sphere_traj_meanpool_logreg,4.776504378998652,2.9593938048928976,7.735901952954009,0.4141539998979404,0.43150752554759886,0.9367852604828462,0.8091132640838623,0.44155844155844154,0.4358974358974359,0.4473684210526316,0.7166956463585903,0.42105263157894735,0.43519695044472684,success,
